,,,,,,,,
,,,,,,,,
"  Zon : Zon 1 - Limbang, Sundar, Trusan, Lawas",,,,,,,,
43,12/2/2017,5:08,5:18,6:32,12:36,15:56,18:34,19:45
44,13/2/2017,5:08,5:18,6:31,12:36,15:56,18:34,19:45
45,14/2/2017,5:08,5:18,6:31,12:36,15:56,18:34,19:45
46,15/2/2017,5:07,5:17,6:31,12:36,15:56,18:34,19:45
47,16/2/2017,5:07,5:17,6:31,12:36,15:55,18:35,19:45
48,17/2/2017,5:07,5:17,6:31,12:36,15:55,18:35,19:45
49,18/2/2017,5:07,5:17,6:31,12:36,15:55,18:35,19:45
50,19/2/2017,5:07,5:17,6:30,12:36,15:54,18:35,19:45
51,20/2/2017,5:07,5:17,6:30,12:36,15:54,18:35,19:45
52,21/2/2017,5:07,5:17,6:30,12:36,15:54,18:35,19:45
53,22/2/2017,5:07,5:17,6:30,12:36,15:53,18:35,19:44
54,23/2/2017,5:06,5:16,6:29,12:36,15:53,18:35,19:44
55,24/2/2017,5:06,5:16,6:29,12:35,15:53,18:35,19:44
56,25/2/2017,5:06,5:16,6:29,12:35,15:52,18:35,19:44
57,26/2/2017,5:06,5:16,6:29,12:35,15:52,18:35,19:44
58,27/2/2017,5:06,5:16,6:28,12:35,15:51,18:35,19:44
59,28/2/2017,5:05,5:15,6:28,12:35,15:51,18:34,19:44
60,1/3/2017,5:05,5:15,6:28,12:35,15:50,18:34,19:44
61,2/3/2017,5:05,5:15,6:27,12:34,15:50,18:34,19:44
62,3/3/2017,5:05,5:15,6:27,12:34,15:49,18:34,19:44
63,4/3/2017,5:04,5:14,6:27,12:34,15:49,18:34,19:43
64,5/3/2017,5:04,5:14,6:26,12:34,15:48,18:34,19:43
65,6/3/2017,5:04,5:14,6:26,12:33,15:47,18:34,19:43
66,7/3/2017,5:03,5:13,6:26,12:33,15:47,18:34,19:43
67,8/3/2017,5:03,5:13,6:25,12:33,15:46,18:34,19:43
68,9/3/2017,5:03,5:13,6:25,12:33,15:45,18:34,19:43
69,10/3/2017,5:02,5:12,6:24,12:33,15:45,18:33,19:42
70,11/3/2017,5:02,5:12,6:24,12:32,15:44,18:33,19:42
71,12/3/2017,5:02,5:12,6:24,12:32,15:43,18:33,19:42
72,13/3/2017,5:01,5:11,6:23,12:32,15:43,18:33,19:42
73,14/3/2017,5:01,5:11,6:23,12:31,15:42,18:33,19:42
74,15/3/2017,5:00,5:10,6:22,12:31,15:41,18:33,19:42
75,16/3/2017,5:00,5:10,6:22,12:31,15:40,18:33,19:42
76,17/3/2017,5:00,5:10,6:22,12:31,15:40,18:32,19:41
77,18/3/2017,4:59,5:09,6:21,12:30,15:39,18:32,19:41
78,19/3/2017,4:59,5:09,6:21,12:30,15:38,18:32,19:41
79,20/3/2017,4:58,5:08,6:20,12:30,15:37,18:32,19:41
80,21/3/2017,4:58,5:08,6:20,12:29,15:36,18:32,19:41
81,22/3/2017,4:57,5:07,6:19,12:29,15:35,18:32,19:41
82,23/3/2017,4:57,5:07,6:19,12:29,15:34,18:31,19:40
83,24/3/2017,4:57,5:07,6:19,12:29,15:34,18:31,19:40
84,25/3/2017,4:56,5:06,6:18,12:28,15:33,18:31,19:40
85,26/3/2017,4:56,5:06,6:18,12:28,15:32,18:31,19:40
86,27/3/2017,4:55,5:05,6:17,12:28,15:31,18:31,19:40
87,28/3/2017,4:55,5:05,6:17,12:27,15:30,18:31,19:40
88,29/3/2017,4:54,5:04,6:16,12:27,15:29,18:30,19:40
89,30/3/2017,4:54,5:04,6:16,12:27,15:28,18:30,19:39
90,31/3/2017,4:53,5:03,6:16,12:26,15:27,18:30,19:39
91,1/4/2017,4:53,5:03,6:15,12:26,15:26,18:30,19:39
92,2/4/2017,4:52,5:02,6:15,12:26,15:26,18:30,19:39
93,3/4/2017,4:52,5:02,6:14,12:26,15:27,18:30,19:39
94,4/4/2017,4:51,5:01,6:14,12:25,15:27,18:29,19:39
95,5/4/2017,4:51,5:01,6:13,12:25,15:28,18:29,19:39
96,6/4/2017,4:50,5:00,6:13,12:25,15:28,18:29,19:39
97,7/4/2017,4:50,5:00,6:13,12:24,15:29,18:29,19:39
98,8/4/2017,4:49,4:59,6:12,12:24,15:29,18:29,19:39
99,9/4/2017,4:49,4:59,6:12,12:24,15:29,18:29,19:38
100,10/4/2017,4:48,4:58,6:11,12:24,15:30,18:29,19:38
101,11/4/2017,4:48,4:58,6:11,12:23,15:30,18:28,19:38
102,12/4/2017,4:47,4:57,6:11,12:23,15:31,18:28,19:38
103,13/4/2017,4:47,4:57,6:10,12:23,15:31,18:28,19:38
104,14/4/2017,4:47,4:57,6:10,12:23,15:31,18:28,19:38
105,15/4/2017,4:46,4:56,6:09,12:22,15:32,18:28,19:38
106,16/4/2017,4:46,4:56,6:09,12:22,15:32,18:28,19:38
107,17/4/2017,4:45,4:55,6:09,12:22,15:32,18:28,19:38
108,18/4/2017,4:45,4:55,6:08,12:22,15:33,18:28,19:38
109,19/4/2017,4:44,4:54,6:08,12:21,15:33,18:28,19:38
110,20/4/2017,4:44,4:54,6:08,12:21,15:33,18:27,19:38
111,21/4/2017,4:43,4:53,6:07,12:21,15:34,18:27,19:38
112,22/4/2017,4:43,4:53,6:07,12:21,15:34,18:27,19:38
113,23/4/2017,4:42,4:52,6:07,12:21,15:34,18:27,19:38
114,24/4/2017,4:42,4:52,6:06,12:20,15:35,18:27,19:38
115,25/4/2017,4:42,4:52,6:06,12:20,15:35,18:27,19:38
116,26/4/2017,4:41,4:51,6:06,12:20,15:35,18:27,19:38
117,27/4/2017,4:41,4:51,6:06,12:20,15:36,18:27,19:38
118,28/4/2017,4:40,4:50,6:05,12:20,15:36,18:27,19:38
119,29/4/2017,4:40,4:50,6:05,12:20,15:36,18:27,19:39
120,30/4/2017,4:40,4:50,6:05,12:19,15:36,18:27,19:39
121,1/5/2017,4:39,4:49,6:05,12:19,15:37,18:27,19:39
122,2/5/2017,4:39,4:49,6:04,12:19,15:37,18:27,19:39
123,3/5/2017,4:39,4:49,6:04,12:19,15:37,18:27,19:39
124,4/5/2017,4:38,4:48,6:04,12:19,15:37,18:27,19:39
125,5/5/2017,4:38,4:48,6:04,12:19,15:38,18:27,19:39
126,6/5/2017,4:38,4:48,6:04,12:19,15:38,18:27,19:39
127,7/5/2017,4:37,4:47,6:03,12:19,15:38,18:27,19:40
128,8/5/2017,4:37,4:47,6:03,12:19,15:39,18:27,19:40
129,9/5/2017,4:37,4:47,6:03,12:19,15:39,18:27,19:40
130,10/5/2017,4:36,4:46,6:03,12:19,15:39,18:27,19:40
131,11/5/2017,4:36,4:46,6:03,12:19,15:39,18:27,19:40
132,12/5/2017,4:36,4:46,6:03,12:19,15:40,18:27,19:40
133,13/5/2017,4:36,4:46,6:03,12:19,15:40,18:27,19:41
134,14/5/2017,4:35,4:45,6:02,12:19,15:40,18:28,19:41
135,15/5/2017,4:35,4:45,6:02,12:19,15:40,18:28,19:41
136,16/5/2017,4:35,4:45,6:02,12:19,15:41,18:28,19:41
137,17/5/2017,4:35,4:45,6:02,12:19,15:41,18:28,19:42
138,18/5/2017,4:35,4:45,6:02,12:19,15:41,18:28,19:42
139,19/5/2017,4:35,4:45,6:02,12:19,15:41,18:28,19:42
140,20/5/2017,4:34,4:44,6:02,12:19,15:42,18:28,19:42
141,21/5/2017,4:34,4:44,6:02,12:19,15:42,18:28,19:43
142,22/5/2017,4:34,4:44,6:02,12:19,15:42,18:29,19:43
143,23/5/2017,4:34,4:44,6:02,12:19,15:43,18:29,19:43
144,24/5/2017,4:34,4:44,6:02,12:19,15:43,18:29,19:43
145,25/5/2017,4:34,4:44,6:02,12:19,15:43,18:29,19:44
146,26/5/2017,4:34,4:44,6:02,12:19,15:43,18:29,19:44
147,27/5/2017,4:34,4:44,6:02,12:19,15:44,18:29,19:44
148,28/5/2017,4:34,4:44,6:02,12:20,15:44,18:30,19:44
149,29/5/2017,4:34,4:44,6:02,12:20,15:44,18:30,19:45
150,30/5/2017,4:34,4:44,6:02,12:20,15:44,18:30,19:45
151,31/5/2017,4:34,4:44,6:03,12:20,15:45,18:30,19:45
152,1/6/2017,4:34,4:44,6:03,12:20,15:45,18:30,19:46
153,2/6/2017,4:34,4:44,6:03,12:20,15:45,18:31,19:46
154,3/6/2017,4:34,4:44,6:03,12:20,15:46,18:31,19:46
155,4/6/2017,4:34,4:44,6:03,12:21,15:46,18:31,19:46
156,5/6/2017,4:34,4:44,6:03,12:21,15:46,18:31,19:47
157,6/6/2017,4:34,4:44,6:03,12:21,15:46,18:31,19:47
158,7/6/2017,4:34,4:44,6:03,12:21,15:47,18:32,19:47
159,8/6/2017,4:34,4:44,6:04,12:21,15:47,18:32,19:48
160,9/6/2017,4:34,4:44,6:04,12:21,15:47,18:32,19:48
161,10/6/2017,4:34,4:44,6:04,12:22,15:47,18:32,19:48
162,11/6/2017,4:34,4:44,6:04,12:22,15:48,18:33,19:48
163,12/6/2017,4:34,4:44,6:04,12:22,15:48,18:33,19:49
164,13/6/2017,4:35,4:45,6:04,12:22,15:48,18:33,19:49
165,14/6/2017,4:35,4:45,6:05,12:23,15:48,18:33,19:49
166,15/6/2017,4:35,4:45,6:05,12:23,15:49,18:34,19:49
167,16/6/2017,4:35,4:45,6:05,12:23,15:49,18:34,19:50
168,17/6/2017,4:35,4:45,6:05,12:23,15:49,18:34,19:50
169,18/6/2017,4:35,4:45,6:05,12:23,15:49,18:34,19:50
170,19/6/2017,4:36,4:46,6:06,12:24,15:50,18:34,19:50
171,20/6/2017,4:36,4:46,6:06,12:24,15:50,18:35,19:51
172,21/6/2017,4:36,4:46,6:06,12:24,15:50,18:35,19:51
173,22/6/2017,4:36,4:46,6:06,12:24,15:50,18:35,19:51
174,23/6/2017,4:37,4:47,6:06,12:24,15:51,18:35,19:51
175,24/6/2017,4:37,4:47,6:07,12:25,15:51,18:36,19:51
176,25/6/2017,4:37,4:47,6:07,12:25,15:51,18:36,19:52
177,26/6/2017,4:37,4:47,6:07,12:25,15:51,18:36,19:52
178,27/6/2017,4:38,4:48,6:07,12:25,15:51,18:36,19:52
179,28/6/2017,4:38,4:48,6:08,12:26,15:51,18:36,19:52
180,29/6/2017,4:38,4:48,6:08,12:26,15:52,18:37,19:52
181,30/6/2017,4:38,4:48,6:08,12:26,15:52,18:37,19:52
182,1/7/2017,4:39,4:49,6:08,12:26,15:52,18:37,19:53
183,2/7/2017,4:39,4:49,6:08,12:26,15:52,18:37,19:53
184,3/7/2017,4:39,4:49,6:09,12:26,15:52,18:37,19:53
185,4/7/2017,4:39,4:49,6:09,12:27,15:52,18:37,19:53
186,5/7/2017,4:40,4:50,6:09,12:27,15:52,18:37,19:53
187,6/7/2017,4:40,4:50,6:09,12:27,15:52,18:38,19:53
188,7/7/2017,4:40,4:50,6:10,12:27,15:52,18:38,19:53
189,8/7/2017,4:41,4:51,6:10,12:27,15:53,18:38,19:53
190,9/7/2017,4:41,4:51,6:10,12:27,15:53,18:38,19:53
191,10/7/2017,4:41,4:51,6:10,12:28,15:53,18:38,19:53
192,11/7/2017,4:41,4:51,6:10,12:28,15:53,18:38,19:53
193,12/7/2017,4:42,4:52,6:11,12:28,15:53,18:38,19:53
194,13/7/2017,4:42,4:52,6:11,12:28,15:53,18:38,19:53
195,14/7/2017,4:42,4:52,6:11,12:28,15:53,18:38,19:53
196,15/7/2017,4:42,4:52,6:11,12:28,15:53,18:38,19:53
197,16/7/2017,4:43,4:53,6:11,12:28,15:52,18:38,19:53
198,17/7/2017,4:43,4:53,6:11,12:28,15:52,18:38,19:53
199,18/7/2017,4:43,4:53,6:12,12:28,15:52,18:38,19:53
200,19/7/2017,4:43,4:53,6:12,12:29,15:52,18:38,19:53
201,20/7/2017,4:44,4:54,6:12,12:29,15:52,18:38,19:53
202,21/7/2017,4:44,4:54,6:12,12:29,15:52,18:38,19:52
203,22/7/2017,4:44,4:54,6:12,12:29,15:52,18:38,19:52
204,23/7/2017,4:44,4:54,6:12,12:29,15:52,18:38,19:52
205,24/7/2017,4:45,4:55,6:12,12:29,15:51,18:38,19:52
206,25/7/2017,4:45,4:55,6:12,12:29,15:51,18:38,19:52
207,26/7/2017,4:45,4:55,6:12,12:29,15:51,18:38,19:52
208,27/7/2017,4:45,4:55,6:13,12:29,15:51,18:38,19:51
209,28/7/2017,4:46,4:56,6:13,12:29,15:50,18:38,19:51
210,29/7/2017,4:46,4:56,6:13,12:29,15:50,18:38,19:51
211,30/7/2017,4:46,4:56,6:13,12:29,15:50,18:38,19:51
212,31/7/2017,4:46,4:56,6:13,12:29,15:49,18:37,19:50
213,1/8/2017,4:46,4:56,6:13,12:29,15:49,18:37,19:50
214,2/8/2017,4:46,4:56,6:13,12:28,15:49,18:37,19:50
215,3/8/2017,4:47,4:57,6:13,12:28,15:48,18:37,19:50
216,4/8/2017,4:47,4:57,6:13,12:28,15:48,18:37,19:49
217,5/8/2017,4:47,4:57,6:13,12:28,15:48,18:36,19:49
218,6/8/2017,4:47,4:57,6:13,12:28,15:47,18:36,19:49
219,7/8/2017,4:47,4:57,6:13,12:28,15:47,18:36,19:48
220,8/8/2017,4:47,4:57,6:13,12:28,15:46,18:36,19:48
221,9/8/2017,4:47,4:57,6:13,12:28,15:46,18:36,19:48
222,10/8/2017,4:47,4:57,6:13,12:28,15:45,18:35,19:47
223,11/8/2017,4:48,4:58,6:13,12:27,15:45,18:35,19:47
224,12/8/2017,4:48,4:58,6:13,12:27,15:44,18:35,19:46
225,13/8/2017,4:48,4:58,6:13,12:27,15:43,18:34,19:46
226,14/8/2017,4:48,4:58,6:13,12:27,15:43,18:34,19:46
227,15/8/2017,4:48,4:58,6:12,12:27,15:42,18:34,19:45
228,16/8/2017,4:48,4:58,6:12,12:26,15:42,18:34,19:45
229,17/8/2017,4:48,4:58,6:12,12:26,15:41,18:33,19:44
230,18/8/2017,4:48,4:58,6:12,12:26,15:40,18:33,19:44
231,19/8/2017,4:48,4:58,6:12,12:26,15:40,18:32,19:43
232,20/8/2017,4:48,4:58,6:12,12:26,15:39,18:32,19:43
233,21/8/2017,4:48,4:58,6:12,12:25,15:38,18:32,19:43
234,22/8/2017,4:48,4:58,6:12,12:25,15:37,18:31,19:42
235,23/8/2017,4:48,4:58,6:12,12:25,15:36,18:31,19:42
236,24/8/2017,4:48,4:58,6:11,12:25,15:36,18:31,19:41
237,25/8/2017,4:48,4:58,6:11,12:24,15:35,18:30,19:41
238,26/8/2017,4:48,4:58,6:11,12:24,15:34,18:30,19:40
239,27/8/2017,4:48,4:58,6:11,12:24,15:33,18:29,19:40
240,28/8/2017,4:47,4:57,6:11,12:23,15:32,18:29,19:39
241,29/8/2017,4:47,4:57,6:11,12:23,15:31,18:29,19:39
242,30/8/2017,4:47,4:57,6:10,12:23,15:30,18:28,19:38
243,31/8/2017,4:47,4:57,6:10,12:23,15:29,18:28,19:38
244,1/9/2017,4:47,4:57,6:10,12:22,15:28,18:27,19:37
245,2/9/2017,4:47,4:57,6:10,12:22,15:27,18:27,19:37
246,3/9/2017,4:47,4:57,6:10,12:22,15:26,18:26,19:36
247,4/9/2017,4:47,4:57,6:09,12:21,15:25,18:26,19:35
248,5/9/2017,4:47,4:57,6:09,12:21,15:24,18:25,19:35
249,6/9/2017,4:46,4:56,6:09,12:21,15:23,18:25,19:34
250,7/9/2017,4:46,4:56,6:09,12:20,15:22,18:24,19:34
251,8/9/2017,4:46,4:56,6:09,12:20,15:21,18:24,19:33
252,9/9/2017,4:46,4:56,6:08,12:20,15:20,18:24,19:33
253,10/9/2017,4:46,4:56,6:08,12:19,15:19,18:23,19:32
254,11/9/2017,4:46,4:56,6:08,12:19,15:19,18:23,19:32
255,12/9/2017,4:46,4:56,6:08,12:18,15:20,18:22,19:31
256,13/9/2017,4:45,4:55,6:08,12:18,15:20,18:22,19:31
257,14/9/2017,4:45,4:55,6:07,12:18,15:20,18:21,19:30
258,15/9/2017,4:45,4:55,6:07,12:17,15:20,18:21,19:30
259,16/9/2017,4:45,4:55,6:07,12:17,15:21,18:20,19:29
260,17/9/2017,4:45,4:55,6:07,12:17,15:21,18:20,19:29
261,18/9/2017,4:44,4:54,6:06,12:16,15:21,18:19,19:28
262,19/9/2017,4:44,4:54,6:06,12:16,15:21,18:19,19:28
263,20/9/2017,4:44,4:54,6:06,12:16,15:22,18:18,19:27
264,21/9/2017,4:44,4:54,6:06,12:15,15:22,18:18,19:27
265,22/9/2017,4:44,4:54,6:05,12:15,15:22,18:17,19:26
266,23/9/2017,4:43,4:53,6:05,12:15,15:22,18:17,19:26
267,24/9/2017,4:43,4:53,6:05,12:14,15:23,18:16,19:25
268,25/9/2017,4:43,4:53,6:05,12:14,15:23,18:16,19:25
269,26/9/2017,4:43,4:53,6:05,12:14,15:23,18:15,19:24
270,27/9/2017,4:42,4:52,6:04,12:13,15:23,18:15,19:24
271,28/9/2017,4:42,4:52,6:04,12:13,15:23,18:14,19:23
272,29/9/2017,4:42,4:52,6:04,12:13,15:23,18:14,19:23
273,30/9/2017,4:42,4:52,6:04,12:12,15:23,18:13,19:22
274,1/10/2017,4:42,4:52,6:04,12:12,15:24,18:13,19:22
275,2/10/2017,4:41,4:51,6:03,12:12,15:24,18:13,19:22
276,3/10/2017,4:41,4:51,6:03,12:11,15:24,18:12,19:21
277,4/10/2017,4:41,4:51,6:03,12:11,15:24,18:12,19:21
278,5/10/2017,4:41,4:51,6:03,12:11,15:24,18:11,19:20
279,6/10/2017,4:41,4:51,6:03,12:10,15:24,18:11,19:20
280,7/10/2017,4:40,4:50,6:03,12:10,15:24,18:10,19:20
281,8/10/2017,4:40,4:50,6:02,12:10,15:24,18:10,19:19
282,9/10/2017,4:40,4:50,6:02,12:09,15:24,18:10,19:19
283,10/10/2017,4:40,4:50,6:02,12:09,15:24,18:09,19:19
284,11/10/2017,4:40,4:50,6:02,12:09,15:24,18:09,19:18
285,12/10/2017,4:39,4:49,6:02,12:09,15:25,18:08,19:18
286,13/10/2017,4:39,4:49,6:02,12:08,15:25,18:08,19:18
287,14/10/2017,4:39,4:49,6:02,12:08,15:25,18:08,19:17
288,15/10/2017,4:39,4:49,6:01,12:08,15:25,18:07,19:17
289,16/10/2017,4:39,4:49,6:01,12:08,15:25,18:07,19:17
290,17/10/2017,4:38,4:48,6:01,12:08,15:25,18:07,19:16
291,18/10/2017,4:38,4:48,6:01,12:07,15:25,18:06,19:16
292,19/10/2017,4:38,4:48,6:01,12:07,15:25,18:06,19:16
293,20/10/2017,4:38,4:48,6:01,12:07,15:25,18:06,19:16
294,21/10/2017,4:38,4:48,6:01,12:07,15:25,18:06,19:16
295,22/10/2017,4:38,4:48,6:01,12:07,15:25,18:05,19:15
296,23/10/2017,4:38,4:48,6:01,12:07,15:25,18:05,19:15
297,24/10/2017,4:38,4:48,6:01,12:06,15:25,18:05,19:15
298,25/10/2017,4:37,4:47,6:01,12:06,15:25,18:04,19:15
299,26/10/2017,4:37,4:47,6:01,12:06,15:25,18:04,19:15
300,27/10/2017,4:37,4:47,6:01,12:06,15:26,18:04,19:15
301,28/10/2017,4:37,4:47,6:01,12:06,15:26,18:04,19:15
302,29/10/2017,4:37,4:47,6:01,12:06,15:26,18:04,19:14
303,30/10/2017,4:37,4:47,6:01,12:06,15:26,18:04,19:14
304,31/10/2017,4:37,4:47,6:01,12:06,15:26,18:03,19:14
305,1/11/2017,4:37,4:47,6:01,12:06,15:26,18:03,19:14
306,2/11/2017,4:37,4:47,6:01,12:06,15:26,18:03,19:14
307,3/11/2017,4:37,4:47,6:01,12:06,15:26,18:03,19:14
308,4/11/2017,4:37,4:47,6:02,12:06,15:26,18:03,19:14
309,5/11/2017,4:37,4:47,6:02,12:06,15:27,18:03,19:14
310,6/11/2017,4:37,4:47,6:02,12:06,15:27,18:03,19:14
311,7/11/2017,4:37,4:47,6:02,12:06,15:27,18:03,19:14
312,8/11/2017,4:37,4:47,6:02,12:06,15:27,18:03,19:14
313,9/11/2017,4:37,4:47,6:02,12:06,15:27,18:03,19:15
314,10/11/2017,4:37,4:47,6:03,12:06,15:27,18:03,19:15
315,11/11/2017,4:37,4:47,6:03,12:06,15:27,18:03,19:15
316,12/11/2017,4:37,4:47,6:03,12:06,15:28,18:03,19:15
317,13/11/2017,4:37,4:47,6:03,12:07,15:28,18:03,19:15
318,14/11/2017,4:38,4:48,6:03,12:07,15:28,18:03,19:15
319,15/11/2017,4:38,4:48,6:04,12:07,15:28,18:03,19:15
320,16/11/2017,4:38,4:48,6:04,12:07,15:29,18:03,19:16
321,17/11/2017,4:38,4:48,6:04,12:07,15:29,18:03,19:16
322,18/11/2017,4:38,4:48,6:05,12:07,15:29,18:03,19:16
323,19/11/2017,4:38,4:48,6:05,12:08,15:29,18:03,19:16
324,20/11/2017,4:39,4:49,6:05,12:08,15:30,18:03,19:16
325,21/11/2017,4:39,4:49,6:05,12:08,15:30,18:04,19:17
326,22/11/2017,4:39,4:49,6:06,12:08,15:30,18:04,19:17
327,23/11/2017,4:39,4:49,6:06,12:09,15:30,18:04,19:17
328,24/11/2017,4:40,4:50,6:06,12:09,15:31,18:04,19:18
329,25/11/2017,4:40,4:50,6:07,12:09,15:31,18:04,19:18
330,26/11/2017,4:40,4:50,6:07,12:10,15:31,18:05,19:18
331,27/11/2017,4:40,4:50,6:08,12:10,15:32,18:05,19:19
332,28/11/2017,4:41,4:51,6:08,12:10,15:32,18:05,19:19
333,29/11/2017,4:41,4:51,6:08,12:11,15:32,18:06,19:19
334,30/11/2017,4:41,4:51,6:09,12:11,15:33,18:06,19:20
335,1/12/2017,4:42,4:52,6:09,12:11,15:33,18:06,19:20
336,2/12/2017,4:42,4:52,6:10,12:12,15:34,18:06,19:21
337,3/12/2017,4:42,4:52,6:10,12:12,15:34,18:07,19:21
338,4/12/2017,4:43,4:53,6:11,12:12,15:34,18:07,19:21
339,5/12/2017,4:43,4:53,6:11,12:13,15:35,18:08,19:22
340,6/12/2017,4:43,4:53,6:12,12:13,15:35,18:08,19:22
341,7/12/2017,4:44,4:54,6:12,12:14,15:36,18:08,19:23
342,8/12/2017,4:44,4:54,6:12,12:14,15:36,18:09,19:23
343,9/12/2017,4:45,4:55,6:13,12:15,15:36,18:09,19:24
344,10/12/2017,4:45,4:55,6:13,12:15,15:37,18:09,19:24
345,11/12/2017,4:46,4:56,6:14,12:16,15:37,18:10,19:25
346,12/12/2017,4:46,4:56,6:14,12:16,15:38,18:10,19:25
347,13/12/2017,4:46,4:56,6:15,12:16,15:38,18:11,19:26
348,14/12/2017,4:47,4:57,6:15,12:17,15:39,18:11,19:26
349,15/12/2017,4:47,4:57,6:16,12:17,15:39,18:12,19:27
350,16/12/2017,4:48,4:58,6:16,12:18,15:40,18:12,19:27
351,17/12/2017,4:48,4:58,6:17,12:18,15:40,18:13,19:28
352,18/12/2017,4:49,4:59,6:17,12:19,15:41,18:13,19:28
353,19/12/2017,4:49,4:59,6:18,12:19,15:41,18:14,19:29
354,20/12/2017,4:50,5:00,6:18,12:20,15:42,18:14,19:29
355,21/12/2017,4:50,5:00,6:19,12:20,15:42,18:15,19:29
356,22/12/2017,4:51,5:01,6:19,12:21,15:43,18:15,19:30
357,23/12/2017,4:51,5:01,6:20,12:21,15:43,18:16,19:30
358,24/12/2017,4:52,5:02,6:20,12:22,15:44,18:16,19:31
359,25/12/2017,4:52,5:02,6:21,12:22,15:44,18:17,19:31
360,26/12/2017,4:53,5:03,6:21,12:23,15:45,18:17,19:32
361,27/12/2017,4:53,5:03,6:22,12:23,15:45,18:18,19:32
362,28/12/2017,4:54,5:04,6:22,12:24,15:46,18:18,19:33
363,29/12/2017,4:54,5:04,6:23,12:24,15:46,18:19,19:33
364,30/12/2017,4:55,5:05,6:23,12:25,15:47,18:19,19:34
365,31/12/2017,4:55,5:05,6:24,12:25,15:47,18:20,19:34
