,,,,,,,,
,,,,,,,,
"  Zon : Zon 7 - Samarahan, Simunjan, Serian, Sebuyau, Meludam",,,,,,,,
43,12/2/2017,5:22,5:32,6:46,12:54,16:13,18:55,20:05
44,13/2/2017,5:22,5:32,6:46,12:54,16:12,18:55,20:05
45,14/2/2017,5:22,5:32,6:46,12:54,16:12,18:55,20:05
46,15/2/2017,5:22,5:32,6:46,12:54,16:12,18:55,20:05
47,16/2/2017,5:22,5:32,6:45,12:54,16:11,18:55,20:05
48,17/2/2017,5:22,5:32,6:45,12:54,16:11,18:55,20:05
49,18/2/2017,5:22,5:32,6:45,12:54,16:11,18:55,20:05
50,19/2/2017,5:22,5:32,6:45,12:53,16:10,18:55,20:05
51,20/2/2017,5:22,5:32,6:45,12:53,16:10,18:55,20:04
52,21/2/2017,5:22,5:32,6:45,12:53,16:09,18:54,20:04
53,22/2/2017,5:22,5:32,6:45,12:53,16:09,18:54,20:04
54,23/2/2017,5:22,5:32,6:45,12:53,16:08,18:54,20:04
55,24/2/2017,5:22,5:32,6:44,12:53,16:08,18:54,20:04
56,25/2/2017,5:22,5:32,6:44,12:53,16:07,18:54,20:04
57,26/2/2017,5:21,5:31,6:44,12:53,16:07,18:54,20:03
58,27/2/2017,5:21,5:31,6:44,12:52,16:06,18:54,20:03
59,28/2/2017,5:21,5:31,6:44,12:52,16:05,18:54,20:03
60,1/3/2017,5:21,5:31,6:43,12:52,16:05,18:53,20:03
61,2/3/2017,5:21,5:31,6:43,12:52,16:04,18:53,20:03
62,3/3/2017,5:21,5:31,6:43,12:52,16:03,18:53,20:02
63,4/3/2017,5:20,5:30,6:43,12:51,16:03,18:53,20:02
64,5/3/2017,5:20,5:30,6:42,12:51,16:02,18:53,20:02
65,6/3/2017,5:20,5:30,6:42,12:51,16:01,18:53,20:02
66,7/3/2017,5:20,5:30,6:42,12:51,16:00,18:52,20:01
67,8/3/2017,5:20,5:30,6:41,12:50,16:00,18:52,20:01
68,9/3/2017,5:19,5:29,6:41,12:50,15:59,18:52,20:01
69,10/3/2017,5:19,5:29,6:41,12:50,15:58,18:52,20:01
70,11/3/2017,5:19,5:29,6:41,12:50,15:57,18:52,20:00
71,12/3/2017,5:18,5:28,6:40,12:49,15:56,18:51,20:00
72,13/3/2017,5:18,5:28,6:40,12:49,15:55,18:51,20:00
73,14/3/2017,5:18,5:28,6:40,12:49,15:55,18:51,20:00
74,15/3/2017,5:18,5:28,6:39,12:49,15:54,18:51,19:59
75,16/3/2017,5:17,5:27,6:39,12:48,15:53,18:50,19:59
76,17/3/2017,5:17,5:27,6:39,12:48,15:52,18:50,19:59
77,18/3/2017,5:17,5:27,6:38,12:48,15:51,18:50,19:59
78,19/3/2017,5:16,5:26,6:38,12:47,15:50,18:50,19:58
79,20/3/2017,5:16,5:26,6:38,12:47,15:49,18:49,19:58
80,21/3/2017,5:16,5:26,6:37,12:47,15:48,18:49,19:58
81,22/3/2017,5:15,5:25,6:37,12:47,15:47,18:49,19:58
82,23/3/2017,5:15,5:25,6:37,12:46,15:46,18:49,19:57
83,24/3/2017,5:15,5:25,6:36,12:46,15:45,18:48,19:57
84,25/3/2017,5:14,5:24,6:36,12:46,15:46,18:48,19:57
85,26/3/2017,5:14,5:24,6:36,12:45,15:46,18:48,19:57
86,27/3/2017,5:13,5:23,6:35,12:45,15:47,18:48,19:56
87,28/3/2017,5:13,5:23,6:35,12:45,15:47,18:47,19:56
88,29/3/2017,5:13,5:23,6:35,12:44,15:47,18:47,19:56
89,30/3/2017,5:12,5:22,6:34,12:44,15:48,18:47,19:56
90,31/3/2017,5:12,5:22,6:34,12:44,15:48,18:47,19:55
91,1/4/2017,5:12,5:22,6:34,12:43,15:49,18:46,19:55
92,2/4/2017,5:11,5:21,6:33,12:43,15:49,18:46,19:55
93,3/4/2017,5:11,5:21,6:33,12:43,15:49,18:46,19:55
94,4/4/2017,5:10,5:20,6:33,12:43,15:50,18:46,19:55
95,5/4/2017,5:10,5:20,6:32,12:42,15:50,18:45,19:54
96,6/4/2017,5:10,5:20,6:32,12:42,15:50,18:45,19:54
97,7/4/2017,5:09,5:19,6:32,12:42,15:51,18:45,19:54
98,8/4/2017,5:09,5:19,6:31,12:41,15:51,18:45,19:54
99,9/4/2017,5:08,5:18,6:31,12:41,15:51,18:44,19:54
100,10/4/2017,5:08,5:18,6:31,12:41,15:51,18:44,19:54
101,11/4/2017,5:08,5:18,6:30,12:41,15:52,18:44,19:53
102,12/4/2017,5:07,5:17,6:30,12:40,15:52,18:44,19:53
103,13/4/2017,5:07,5:17,6:30,12:40,15:52,18:43,19:53
104,14/4/2017,5:07,5:17,6:29,12:40,15:52,18:43,19:53
105,15/4/2017,5:06,5:16,6:29,12:40,15:53,18:43,19:53
106,16/4/2017,5:06,5:16,6:29,12:39,15:53,18:43,19:53
107,17/4/2017,5:05,5:15,6:29,12:39,15:53,18:43,19:53
108,18/4/2017,5:05,5:15,6:28,12:39,15:53,18:42,19:53
109,19/4/2017,5:05,5:15,6:28,12:39,15:54,18:42,19:52
110,20/4/2017,5:04,5:14,6:28,12:39,15:54,18:42,19:52
111,21/4/2017,5:04,5:14,6:28,12:38,15:54,18:42,19:52
112,22/4/2017,5:04,5:14,6:27,12:38,15:54,18:42,19:52
113,23/4/2017,5:03,5:13,6:27,12:38,15:54,18:42,19:52
114,24/4/2017,5:03,5:13,6:27,12:38,15:55,18:41,19:52
115,25/4/2017,5:03,5:13,6:27,12:38,15:55,18:41,19:52
116,26/4/2017,5:02,5:12,6:27,12:37,15:55,18:41,19:52
117,27/4/2017,5:02,5:12,6:26,12:37,15:55,18:41,19:52
118,28/4/2017,5:02,5:12,6:26,12:37,15:55,18:41,19:52
119,29/4/2017,5:01,5:11,6:26,12:37,15:55,18:41,19:52
120,30/4/2017,5:01,5:11,6:26,12:37,15:56,18:41,19:52
121,1/5/2017,5:01,5:11,6:26,12:37,15:56,18:41,19:52
122,2/5/2017,5:01,5:11,6:25,12:37,15:56,18:41,19:52
123,3/5/2017,5:00,5:10,6:25,12:37,15:56,18:41,19:52
124,4/5/2017,5:00,5:10,6:25,12:36,15:56,18:41,19:52
125,5/5/2017,5:00,5:10,6:25,12:36,15:57,18:40,19:52
126,6/5/2017,5:00,5:10,6:25,12:36,15:57,18:40,19:52
127,7/5/2017,4:59,5:09,6:25,12:36,15:57,18:40,19:52
128,8/5/2017,4:59,5:09,6:25,12:36,15:57,18:40,19:53
129,9/5/2017,4:59,5:09,6:25,12:36,15:57,18:40,19:53
130,10/5/2017,4:59,5:09,6:25,12:36,15:57,18:40,19:53
131,11/5/2017,4:59,5:09,6:25,12:36,15:58,18:40,19:53
132,12/5/2017,4:58,5:08,6:24,12:36,15:58,18:40,19:53
133,13/5/2017,4:58,5:08,6:24,12:36,15:58,18:40,19:53
134,14/5/2017,4:58,5:08,6:24,12:36,15:58,18:40,19:53
135,15/5/2017,4:58,5:08,6:24,12:36,15:58,18:40,19:53
136,16/5/2017,4:58,5:08,6:24,12:36,15:59,18:41,19:54
137,17/5/2017,4:58,5:08,6:24,12:36,15:59,18:41,19:54
138,18/5/2017,4:58,5:08,6:24,12:36,15:59,18:41,19:54
139,19/5/2017,4:57,5:07,6:24,12:36,15:59,18:41,19:54
140,20/5/2017,4:57,5:07,6:24,12:36,15:59,18:41,19:54
141,21/5/2017,4:57,5:07,6:24,12:36,16:00,18:41,19:54
142,22/5/2017,4:57,5:07,6:25,12:36,16:00,18:41,19:55
143,23/5/2017,4:57,5:07,6:25,12:36,16:00,18:41,19:55
144,24/5/2017,4:57,5:07,6:25,12:36,16:00,18:41,19:55
145,25/5/2017,4:57,5:07,6:25,12:37,16:00,18:41,19:55
146,26/5/2017,4:57,5:07,6:25,12:37,16:01,18:41,19:55
147,27/5/2017,4:57,5:07,6:25,12:37,16:01,18:42,19:56
148,28/5/2017,4:57,5:07,6:25,12:37,16:01,18:42,19:56
149,29/5/2017,4:57,5:07,6:25,12:37,16:01,18:42,19:56
150,30/5/2017,4:57,5:07,6:25,12:37,16:01,18:42,19:56
151,31/5/2017,4:57,5:07,6:25,12:37,16:02,18:42,19:57
152,1/6/2017,4:57,5:07,6:25,12:37,16:02,18:42,19:57
153,2/6/2017,4:57,5:07,6:26,12:38,16:02,18:43,19:57
154,3/6/2017,4:57,5:07,6:26,12:38,16:02,18:43,19:57
155,4/6/2017,4:57,5:07,6:26,12:38,16:03,18:43,19:58
156,5/6/2017,4:57,5:07,6:26,12:38,16:03,18:43,19:58
157,6/6/2017,4:58,5:08,6:26,12:38,16:03,18:43,19:58
158,7/6/2017,4:58,5:08,6:26,12:38,16:03,18:44,19:58
159,8/6/2017,4:58,5:08,6:27,12:39,16:04,18:44,19:59
160,9/6/2017,4:58,5:08,6:27,12:39,16:04,18:44,19:59
161,10/6/2017,4:58,5:08,6:27,12:39,16:04,18:44,19:59
162,11/6/2017,4:58,5:08,6:27,12:39,16:04,18:44,19:59
163,12/6/2017,4:58,5:08,6:27,12:39,16:05,18:45,20:00
164,13/6/2017,4:58,5:08,6:28,12:40,16:05,18:45,20:00
165,14/6/2017,4:59,5:09,6:28,12:40,16:05,18:45,20:00
166,15/6/2017,4:59,5:09,6:28,12:40,16:05,18:45,20:00
167,16/6/2017,4:59,5:09,6:28,12:40,16:06,18:45,20:01
168,17/6/2017,4:59,5:09,6:28,12:41,16:06,18:46,20:01
169,18/6/2017,4:59,5:09,6:29,12:41,16:06,18:46,20:01
170,19/6/2017,5:00,5:10,6:29,12:41,16:06,18:46,20:01
171,20/6/2017,5:00,5:10,6:29,12:41,16:06,18:46,20:02
172,21/6/2017,5:00,5:10,6:29,12:41,16:07,18:47,20:02
173,22/6/2017,5:00,5:10,6:29,12:42,16:07,18:47,20:02
174,23/6/2017,5:00,5:10,6:30,12:42,16:07,18:47,20:02
175,24/6/2017,5:01,5:11,6:30,12:42,16:07,18:47,20:02
176,25/6/2017,5:01,5:11,6:30,12:42,16:07,18:47,20:03
177,26/6/2017,5:01,5:11,6:30,12:42,16:08,18:48,20:03
178,27/6/2017,5:01,5:11,6:31,12:43,16:08,18:48,20:03
179,28/6/2017,5:02,5:12,6:31,12:43,16:08,18:48,20:03
180,29/6/2017,5:02,5:12,6:31,12:43,16:08,18:48,20:03
181,30/6/2017,5:02,5:12,6:31,12:43,16:08,18:48,20:03
182,1/7/2017,5:02,5:12,6:31,12:44,16:09,18:49,20:04
183,2/7/2017,5:03,5:13,6:32,12:44,16:09,18:49,20:04
184,3/7/2017,5:03,5:13,6:32,12:44,16:09,18:49,20:04
185,4/7/2017,5:03,5:13,6:32,12:44,16:09,18:49,20:04
186,5/7/2017,5:03,5:13,6:32,12:44,16:09,18:49,20:04
187,6/7/2017,5:04,5:14,6:32,12:44,16:09,18:49,20:04
188,7/7/2017,5:04,5:14,6:32,12:45,16:09,18:50,20:04
189,8/7/2017,5:04,5:14,6:33,12:45,16:09,18:50,20:04
190,9/7/2017,5:04,5:14,6:33,12:45,16:09,18:50,20:04
191,10/7/2017,5:05,5:15,6:33,12:45,16:10,18:50,20:05
192,11/7/2017,5:05,5:15,6:33,12:45,16:10,18:50,20:05
193,12/7/2017,5:05,5:15,6:33,12:45,16:10,18:50,20:05
194,13/7/2017,5:05,5:15,6:33,12:45,16:10,18:50,20:05
195,14/7/2017,5:06,5:16,6:34,12:46,16:10,18:50,20:05
196,15/7/2017,5:06,5:16,6:34,12:46,16:10,18:50,20:05
197,16/7/2017,5:06,5:16,6:34,12:46,16:10,18:51,20:05
198,17/7/2017,5:06,5:16,6:34,12:46,16:10,18:51,20:05
199,18/7/2017,5:06,5:16,6:34,12:46,16:10,18:51,20:05
200,19/7/2017,5:07,5:17,6:34,12:46,16:10,18:51,20:04
201,20/7/2017,5:07,5:17,6:34,12:46,16:09,18:51,20:04
202,21/7/2017,5:07,5:17,6:34,12:46,16:09,18:51,20:04
203,22/7/2017,5:07,5:17,6:34,12:46,16:09,18:51,20:04
204,23/7/2017,5:07,5:17,6:34,12:46,16:09,18:51,20:04
205,24/7/2017,5:08,5:18,6:34,12:46,16:09,18:51,20:04
206,25/7/2017,5:08,5:18,6:35,12:46,16:09,18:51,20:04
207,26/7/2017,5:08,5:18,6:35,12:46,16:09,18:51,20:04
208,27/7/2017,5:08,5:18,6:35,12:46,16:09,18:51,20:04
209,28/7/2017,5:08,5:18,6:35,12:46,16:08,18:51,20:03
210,29/7/2017,5:08,5:18,6:35,12:46,16:08,18:51,20:03
211,30/7/2017,5:08,5:18,6:35,12:46,16:08,18:50,20:03
212,31/7/2017,5:08,5:18,6:35,12:46,16:08,18:50,20:03
213,1/8/2017,5:09,5:19,6:35,12:46,16:07,18:50,20:03
214,2/8/2017,5:09,5:19,6:34,12:46,16:07,18:50,20:03
215,3/8/2017,5:09,5:19,6:34,12:46,16:07,18:50,20:02
216,4/8/2017,5:09,5:19,6:34,12:46,16:07,18:50,20:02
217,5/8/2017,5:09,5:19,6:34,12:46,16:06,18:50,20:02
218,6/8/2017,5:09,5:19,6:34,12:46,16:06,18:50,20:02
219,7/8/2017,5:09,5:19,6:34,12:45,16:05,18:50,20:01
220,8/8/2017,5:09,5:19,6:34,12:45,16:05,18:49,20:01
221,9/8/2017,5:09,5:19,6:34,12:45,16:05,18:49,20:01
222,10/8/2017,5:09,5:19,6:34,12:45,16:04,18:49,20:00
223,11/8/2017,5:09,5:19,6:34,12:45,16:04,18:49,20:00
224,12/8/2017,5:09,5:19,6:34,12:45,16:03,18:49,20:00
225,13/8/2017,5:09,5:19,6:33,12:44,16:03,18:48,20:00
226,14/8/2017,5:09,5:19,6:33,12:44,16:02,18:48,19:59
227,15/8/2017,5:09,5:19,6:33,12:44,16:02,18:48,19:59
228,16/8/2017,5:09,5:19,6:33,12:44,16:01,18:48,19:59
229,17/8/2017,5:09,5:19,6:33,12:44,16:01,18:47,19:58
230,18/8/2017,5:09,5:19,6:33,12:43,16:00,18:47,19:58
231,19/8/2017,5:09,5:19,6:32,12:43,16:00,18:47,19:57
232,20/8/2017,5:09,5:19,6:32,12:43,15:59,18:47,19:57
233,21/8/2017,5:08,5:18,6:32,12:43,15:58,18:46,19:57
234,22/8/2017,5:08,5:18,6:32,12:43,15:58,18:46,19:56
235,23/8/2017,5:08,5:18,6:32,12:42,15:57,18:46,19:56
236,24/8/2017,5:08,5:18,6:31,12:42,15:56,18:45,19:56
237,25/8/2017,5:08,5:18,6:31,12:42,15:56,18:45,19:55
238,26/8/2017,5:08,5:18,6:31,12:41,15:55,18:45,19:55
239,27/8/2017,5:08,5:18,6:31,12:41,15:54,18:44,19:54
240,28/8/2017,5:08,5:18,6:30,12:41,15:53,18:44,19:54
241,29/8/2017,5:07,5:17,6:30,12:41,15:53,18:44,19:53
242,30/8/2017,5:07,5:17,6:30,12:40,15:52,18:43,19:53
243,31/8/2017,5:07,5:17,6:30,12:40,15:51,18:43,19:53
244,1/9/2017,5:07,5:17,6:29,12:40,15:50,18:43,19:52
245,2/9/2017,5:07,5:17,6:29,12:39,15:49,18:42,19:52
246,3/9/2017,5:06,5:16,6:29,12:39,15:48,18:42,19:51
247,4/9/2017,5:06,5:16,6:29,12:39,15:47,18:42,19:51
248,5/9/2017,5:06,5:16,6:28,12:38,15:47,18:41,19:50
249,6/9/2017,5:06,5:16,6:28,12:38,15:46,18:41,19:50
250,7/9/2017,5:05,5:15,6:28,12:38,15:45,18:41,19:50
251,8/9/2017,5:05,5:15,6:27,12:37,15:44,18:40,19:49
252,9/9/2017,5:05,5:15,6:27,12:37,15:43,18:40,19:49
253,10/9/2017,5:05,5:15,6:27,12:37,15:42,18:39,19:48
254,11/9/2017,5:04,5:14,6:26,12:36,15:41,18:39,19:48
255,12/9/2017,5:04,5:14,6:26,12:36,15:40,18:39,19:47
256,13/9/2017,5:04,5:14,6:26,12:36,15:39,18:38,19:47
257,14/9/2017,5:04,5:14,6:25,12:35,15:38,18:38,19:47
258,15/9/2017,5:03,5:13,6:25,12:35,15:37,18:37,19:46
259,16/9/2017,5:03,5:13,6:25,12:34,15:36,18:37,19:46
260,17/9/2017,5:03,5:13,6:24,12:34,15:35,18:37,19:45
261,18/9/2017,5:02,5:12,6:24,12:34,15:34,18:36,19:45
262,19/9/2017,5:02,5:12,6:24,12:33,15:33,18:36,19:45
263,20/9/2017,5:02,5:12,6:24,12:33,15:33,18:35,19:44
264,21/9/2017,5:02,5:12,6:23,12:33,15:34,18:35,19:44
265,22/9/2017,5:01,5:11,6:23,12:32,15:34,18:35,19:43
266,23/9/2017,5:01,5:11,6:23,12:32,15:34,18:34,19:43
267,24/9/2017,5:01,5:11,6:22,12:32,15:35,18:34,19:43
268,25/9/2017,5:00,5:10,6:22,12:31,15:35,18:33,19:42
269,26/9/2017,5:00,5:10,6:22,12:31,15:35,18:33,19:42
270,27/9/2017,5:00,5:10,6:21,12:31,15:35,18:33,19:41
271,28/9/2017,4:59,5:09,6:21,12:30,15:36,18:32,19:41
272,29/9/2017,4:59,5:09,6:21,12:30,15:36,18:32,19:41
273,30/9/2017,4:59,5:09,6:21,12:30,15:36,18:32,19:40
274,1/10/2017,4:58,5:08,6:20,12:29,15:37,18:31,19:40
275,2/10/2017,4:58,5:08,6:20,12:29,15:37,18:31,19:40
276,3/10/2017,4:58,5:08,6:20,12:29,15:37,18:30,19:39
277,4/10/2017,4:57,5:07,6:19,12:28,15:37,18:30,19:39
278,5/10/2017,4:57,5:07,6:19,12:28,15:38,18:30,19:39
279,6/10/2017,4:57,5:07,6:19,12:28,15:38,18:29,19:38
280,7/10/2017,4:57,5:07,6:19,12:27,15:38,18:29,19:38
281,8/10/2017,4:56,5:06,6:18,12:27,15:38,18:29,19:38
282,9/10/2017,4:56,5:06,6:18,12:27,15:38,18:29,19:38
283,10/10/2017,4:56,5:06,6:18,12:27,15:39,18:28,19:37
284,11/10/2017,4:55,5:05,6:18,12:26,15:39,18:28,19:37
285,12/10/2017,4:55,5:05,6:17,12:26,15:39,18:28,19:37
286,13/10/2017,4:55,5:05,6:17,12:26,15:39,18:27,19:37
287,14/10/2017,4:55,5:05,6:17,12:26,15:39,18:27,19:36
288,15/10/2017,4:54,5:04,6:17,12:25,15:40,18:27,19:36
289,16/10/2017,4:54,5:04,6:17,12:25,15:40,18:27,19:36
290,17/10/2017,4:54,5:04,6:16,12:25,15:40,18:26,19:36
291,18/10/2017,4:54,5:04,6:16,12:25,15:40,18:26,19:36
292,19/10/2017,4:53,5:03,6:16,12:25,15:40,18:26,19:36
293,20/10/2017,4:53,5:03,6:16,12:24,15:41,18:26,19:36
294,21/10/2017,4:53,5:03,6:16,12:24,15:41,18:25,19:35
295,22/10/2017,4:53,5:03,6:16,12:24,15:41,18:25,19:35
296,23/10/2017,4:52,5:02,6:16,12:24,15:41,18:25,19:35
297,24/10/2017,4:52,5:02,6:16,12:24,15:41,18:25,19:35
298,25/10/2017,4:52,5:02,6:15,12:24,15:41,18:25,19:35
299,26/10/2017,4:52,5:02,6:15,12:24,15:42,18:25,19:35
300,27/10/2017,4:52,5:02,6:15,12:24,15:42,18:25,19:35
301,28/10/2017,4:52,5:02,6:15,12:23,15:42,18:24,19:35
302,29/10/2017,4:51,5:01,6:15,12:23,15:42,18:24,19:35
303,30/10/2017,4:51,5:01,6:15,12:23,15:42,18:24,19:35
304,31/10/2017,4:51,5:01,6:15,12:23,15:43,18:24,19:35
305,1/11/2017,4:51,5:01,6:15,12:23,15:43,18:24,19:35
306,2/11/2017,4:51,5:01,6:15,12:23,15:43,18:24,19:35
307,3/11/2017,4:51,5:01,6:15,12:23,15:43,18:24,19:35
308,4/11/2017,4:51,5:01,6:15,12:23,15:43,18:24,19:35
309,5/11/2017,4:51,5:01,6:15,12:23,15:44,18:24,19:35
310,6/11/2017,4:51,5:01,6:15,12:23,15:44,18:24,19:35
311,7/11/2017,4:51,5:01,6:15,12:23,15:44,18:24,19:36
312,8/11/2017,4:50,5:00,6:16,12:23,15:44,18:24,19:36
313,9/11/2017,4:50,5:00,6:16,12:23,15:45,18:24,19:36
314,10/11/2017,4:50,5:00,6:16,12:24,15:45,18:24,19:36
315,11/11/2017,4:50,5:00,6:16,12:24,15:45,18:24,19:36
316,12/11/2017,4:50,5:00,6:16,12:24,15:45,18:24,19:37
317,13/11/2017,4:51,5:01,6:16,12:24,15:46,18:24,19:37
318,14/11/2017,4:51,5:01,6:16,12:24,15:46,18:25,19:37
319,15/11/2017,4:51,5:01,6:17,12:24,15:46,18:25,19:37
320,16/11/2017,4:51,5:01,6:17,12:24,15:47,18:25,19:37
321,17/11/2017,4:51,5:01,6:17,12:25,15:47,18:25,19:38
322,18/11/2017,4:51,5:01,6:17,12:25,15:47,18:25,19:38
323,19/11/2017,4:51,5:01,6:17,12:25,15:48,18:25,19:38
324,20/11/2017,4:51,5:01,6:18,12:25,15:48,18:26,19:39
325,21/11/2017,4:51,5:01,6:18,12:26,15:48,18:26,19:39
326,22/11/2017,4:51,5:01,6:18,12:26,15:49,18:26,19:39
327,23/11/2017,4:52,5:02,6:19,12:26,15:49,18:26,19:40
328,24/11/2017,4:52,5:02,6:19,12:26,15:49,18:27,19:40
329,25/11/2017,4:52,5:02,6:19,12:27,15:50,18:27,19:40
330,26/11/2017,4:52,5:02,6:20,12:27,15:50,18:27,19:41
331,27/11/2017,4:53,5:03,6:20,12:27,15:50,18:28,19:41
332,28/11/2017,4:53,5:03,6:20,12:28,15:51,18:28,19:42
333,29/11/2017,4:53,5:03,6:21,12:28,15:51,18:28,19:42
334,30/11/2017,4:53,5:03,6:21,12:28,15:52,18:29,19:42
335,1/12/2017,4:54,5:04,6:21,12:29,15:52,18:29,19:43
336,2/12/2017,4:54,5:04,6:22,12:29,15:53,18:29,19:43
337,3/12/2017,4:54,5:04,6:22,12:29,15:53,18:30,19:44
338,4/12/2017,4:55,5:05,6:23,12:30,15:53,18:30,19:44
339,5/12/2017,4:55,5:05,6:23,12:30,15:54,18:30,19:45
340,6/12/2017,4:55,5:05,6:23,12:31,15:54,18:31,19:45
341,7/12/2017,4:56,5:06,6:24,12:31,15:55,18:31,19:46
342,8/12/2017,4:56,5:06,6:24,12:32,15:55,18:32,19:46
343,9/12/2017,4:56,5:06,6:25,12:32,15:56,18:32,19:47
344,10/12/2017,4:57,5:07,6:25,12:32,15:56,18:33,19:47
345,11/12/2017,4:57,5:07,6:26,12:33,15:57,18:33,19:48
346,12/12/2017,4:58,5:08,6:26,12:33,15:57,18:33,19:48
347,13/12/2017,4:58,5:08,6:27,12:34,15:58,18:34,19:49
348,14/12/2017,4:59,5:09,6:27,12:34,15:58,18:34,19:49
349,15/12/2017,4:59,5:09,6:28,12:35,15:59,18:35,19:50
350,16/12/2017,4:59,5:09,6:28,12:35,15:59,18:35,19:50
351,17/12/2017,5:00,5:10,6:29,12:36,16:00,18:36,19:51
352,18/12/2017,5:00,5:10,6:29,12:36,16:00,18:36,19:51
353,19/12/2017,5:01,5:11,6:30,12:37,16:01,18:37,19:52
354,20/12/2017,5:01,5:11,6:30,12:37,16:01,18:37,19:52
355,21/12/2017,5:02,5:12,6:31,12:38,16:02,18:38,19:53
356,22/12/2017,5:02,5:12,6:31,12:38,16:02,18:38,19:53
357,23/12/2017,5:03,5:13,6:32,12:39,16:03,18:39,19:54
358,24/12/2017,5:03,5:13,6:32,12:39,16:03,18:39,19:54
359,25/12/2017,5:04,5:14,6:33,12:40,16:04,18:40,19:55
360,26/12/2017,5:04,5:14,6:33,12:40,16:04,18:40,19:55
361,27/12/2017,5:05,5:15,6:34,12:41,16:05,18:41,19:56
362,28/12/2017,5:05,5:15,6:34,12:41,16:05,18:41,19:56
363,29/12/2017,5:06,5:16,6:34,12:42,16:06,18:42,19:57
364,30/12/2017,5:06,5:16,6:35,12:42,16:06,18:42,19:57
365,31/12/2017,5:07,5:17,6:35,12:43,16:06,18:43,19:57
