,,,,,,,,
,,,,,,,,
"  Zon : Zon 1 - Sandakan, Bdr. Bkt. Garam, Semawang, Temanggong, Tambisan",,,,,,,,
42,11/2/2017,4:56,5:06,6:24,12:25,15:45,18:22,19:32
43,12/2/2017,4:56,5:06,6:24,12:25,15:44,18:22,19:32
44,13/2/2017,4:56,5:06,6:24,12:25,15:44,18:22,19:32
45,14/2/2017,4:56,5:06,6:24,12:25,15:44,18:22,19:32
46,15/2/2017,4:56,5:06,6:24,12:24,15:44,18:22,19:32
47,16/2/2017,4:56,5:06,6:24,12:24,15:44,18:22,19:32
48,17/2/2017,4:56,5:06,6:23,12:24,15:43,18:22,19:32
49,18/2/2017,4:56,5:06,6:23,12:24,15:43,18:22,19:32
50,19/2/2017,4:56,5:06,6:23,12:24,15:43,18:22,19:32
51,20/2/2017,4:56,5:06,6:23,12:24,15:43,18:22,19:32
52,21/2/2017,4:55,5:05,6:23,12:24,15:42,18:22,19:32
53,22/2/2017,4:55,5:05,6:22,12:24,15:42,18:22,19:32
54,23/2/2017,4:55,5:05,6:22,12:24,15:42,18:22,19:32
55,24/2/2017,4:55,5:05,6:22,12:24,15:41,18:22,19:32
56,25/2/2017,4:55,5:05,6:21,12:23,15:41,18:22,19:32
57,26/2/2017,4:54,5:04,6:21,12:23,15:40,18:22,19:32
58,27/2/2017,4:54,5:04,6:21,12:23,15:40,18:22,19:32
59,28/2/2017,4:54,5:04,6:20,12:23,15:39,18:22,19:32
60,1/3/2017,4:54,5:04,6:20,12:23,15:39,18:22,19:32
61,2/3/2017,4:53,5:03,6:20,12:22,15:38,18:22,19:31
62,3/3/2017,4:53,5:03,6:19,12:22,15:38,18:22,19:31
63,4/3/2017,4:53,5:03,6:19,12:22,15:37,18:22,19:31
64,5/3/2017,4:52,5:02,6:19,12:22,15:37,18:22,19:31
65,6/3/2017,4:52,5:02,6:18,12:22,15:36,18:22,19:31
66,7/3/2017,4:52,5:02,6:18,12:21,15:36,18:22,19:31
67,8/3/2017,4:51,5:01,6:18,12:21,15:35,18:22,19:31
68,9/3/2017,4:51,5:01,6:17,12:21,15:34,18:22,19:31
69,10/3/2017,4:51,5:01,6:17,12:21,15:34,18:21,19:30
70,11/3/2017,4:50,5:00,6:16,12:20,15:33,18:21,19:30
71,12/3/2017,4:50,5:00,6:16,12:20,15:32,18:21,19:30
72,13/3/2017,4:49,4:59,6:15,12:20,15:32,18:21,19:30
73,14/3/2017,4:49,4:59,6:15,12:20,15:31,18:21,19:30
74,15/3/2017,4:49,4:59,6:15,12:19,15:30,18:21,19:30
75,16/3/2017,4:48,4:58,6:14,12:19,15:29,18:21,19:30
76,17/3/2017,4:48,4:58,6:14,12:19,15:29,18:21,19:30
77,18/3/2017,4:47,4:57,6:13,12:18,15:28,18:20,19:29
78,19/3/2017,4:47,4:57,6:13,12:18,15:27,18:20,19:29
79,20/3/2017,4:46,4:56,6:12,12:18,15:26,18:20,19:29
80,21/3/2017,4:46,4:56,6:12,12:18,15:25,18:20,19:29
81,22/3/2017,4:45,4:55,6:12,12:17,15:25,18:20,19:29
82,23/3/2017,4:45,4:55,6:11,12:17,15:24,18:20,19:29
83,24/3/2017,4:44,4:54,6:11,12:17,15:23,18:20,19:29
84,25/3/2017,4:44,4:54,6:10,12:16,15:22,18:19,19:28
85,26/3/2017,4:44,4:54,6:10,12:16,15:21,18:19,19:28
86,27/3/2017,4:43,4:53,6:09,12:16,15:20,18:19,19:28
87,28/3/2017,4:43,4:53,6:09,12:15,15:19,18:19,19:28
88,29/3/2017,4:42,4:52,6:08,12:15,15:18,18:19,19:28
89,30/3/2017,4:42,4:52,6:08,12:15,15:17,18:19,19:28
90,31/3/2017,4:41,4:51,6:07,12:15,15:16,18:18,19:28
91,1/4/2017,4:41,4:51,6:07,12:14,15:15,18:18,19:28
92,2/4/2017,4:40,4:50,6:07,12:14,15:14,18:18,19:28
93,3/4/2017,4:40,4:50,6:06,12:14,15:13,18:18,19:28
94,4/4/2017,4:39,4:49,6:06,12:13,15:14,18:18,19:27
95,5/4/2017,4:39,4:49,6:05,12:13,15:14,18:18,19:27
96,6/4/2017,4:38,4:48,6:05,12:13,15:15,18:18,19:27
97,7/4/2017,4:38,4:48,6:04,12:12,15:15,18:18,19:27
98,8/4/2017,4:37,4:47,6:04,12:12,15:16,18:17,19:27
99,9/4/2017,4:37,4:47,6:03,12:12,15:16,18:17,19:27
100,10/4/2017,4:36,4:46,6:03,12:12,15:17,18:17,19:27
101,11/4/2017,4:36,4:46,6:03,12:11,15:17,18:17,19:27
102,12/4/2017,4:35,4:45,6:02,12:11,15:18,18:17,19:27
103,13/4/2017,4:35,4:45,6:02,12:11,15:18,18:17,19:27
104,14/4/2017,4:34,4:44,6:01,12:11,15:19,18:17,19:27
105,15/4/2017,4:34,4:44,6:01,12:10,15:19,18:17,19:27
106,16/4/2017,4:33,4:43,6:01,12:10,15:19,18:17,19:27
107,17/4/2017,4:33,4:43,6:00,12:10,15:20,18:16,19:27
108,18/4/2017,4:32,4:42,6:00,12:10,15:20,18:16,19:27
109,19/4/2017,4:32,4:42,6:00,12:09,15:20,18:16,19:27
110,20/4/2017,4:31,4:41,5:59,12:09,15:21,18:16,19:27
111,21/4/2017,4:31,4:41,5:59,12:09,15:21,18:16,19:27
112,22/4/2017,4:30,4:40,5:59,12:09,15:21,18:16,19:27
113,23/4/2017,4:30,4:40,5:58,12:09,15:22,18:16,19:27
114,24/4/2017,4:29,4:39,5:58,12:08,15:22,18:16,19:27
115,25/4/2017,4:29,4:39,5:58,12:08,15:22,18:16,19:27
116,26/4/2017,4:28,4:38,5:57,12:08,15:23,18:16,19:27
117,27/4/2017,4:28,4:38,5:57,12:08,15:23,18:16,19:27
118,28/4/2017,4:28,4:38,5:57,12:08,15:23,18:16,19:28
119,29/4/2017,4:27,4:37,5:56,12:08,15:24,18:16,19:28
120,30/4/2017,4:27,4:37,5:56,12:08,15:24,18:16,19:28
121,1/5/2017,4:26,4:36,5:56,12:07,15:24,18:16,19:28
122,2/5/2017,4:26,4:36,5:56,12:07,15:25,18:16,19:28
123,3/5/2017,4:26,4:36,5:55,12:07,15:25,18:16,19:28
124,4/5/2017,4:25,4:35,5:55,12:07,15:25,18:16,19:28
125,5/5/2017,4:25,4:35,5:55,12:07,15:25,18:16,19:28
126,6/5/2017,4:25,4:35,5:55,12:07,15:26,18:16,19:29
127,7/5/2017,4:24,4:34,5:55,12:07,15:26,18:16,19:29
128,8/5/2017,4:24,4:34,5:54,12:07,15:26,18:16,19:29
129,9/5/2017,4:24,4:34,5:54,12:07,15:27,18:16,19:29
130,10/5/2017,4:23,4:33,5:54,12:07,15:27,18:16,19:29
131,11/5/2017,4:23,4:33,5:54,12:07,15:27,18:16,19:30
132,12/5/2017,4:23,4:33,5:54,12:07,15:27,18:16,19:30
133,13/5/2017,4:23,4:33,5:54,12:07,15:28,18:17,19:30
134,14/5/2017,4:22,4:32,5:54,12:07,15:28,18:17,19:30
135,15/5/2017,4:22,4:32,5:54,12:07,15:28,18:17,19:30
136,16/5/2017,4:22,4:32,5:53,12:07,15:29,18:17,19:31
137,17/5/2017,4:22,4:32,5:53,12:07,15:29,18:17,19:31
138,18/5/2017,4:22,4:32,5:53,12:07,15:29,18:17,19:31
139,19/5/2017,4:21,4:31,5:53,12:07,15:29,18:17,19:31
140,20/5/2017,4:21,4:31,5:53,12:07,15:30,18:17,19:32
141,21/5/2017,4:21,4:31,5:53,12:07,15:30,18:18,19:32
142,22/5/2017,4:21,4:31,5:53,12:07,15:30,18:18,19:32
143,23/5/2017,4:21,4:31,5:53,12:07,15:31,18:18,19:32
144,24/5/2017,4:21,4:31,5:53,12:07,15:31,18:18,19:33
145,25/5/2017,4:21,4:31,5:53,12:07,15:31,18:18,19:33
146,26/5/2017,4:21,4:31,5:53,12:07,15:31,18:18,19:33
147,27/5/2017,4:20,4:30,5:53,12:08,15:32,18:19,19:34
148,28/5/2017,4:20,4:30,5:53,12:08,15:32,18:19,19:34
149,29/5/2017,4:20,4:30,5:53,12:08,15:32,18:19,19:34
150,30/5/2017,4:20,4:30,5:53,12:08,15:33,18:19,19:34
151,31/5/2017,4:20,4:30,5:53,12:08,15:33,18:20,19:35
152,1/6/2017,4:20,4:30,5:54,12:08,15:33,18:20,19:35
153,2/6/2017,4:20,4:30,5:54,12:08,15:33,18:20,19:35
154,3/6/2017,4:20,4:30,5:54,12:09,15:34,18:20,19:36
155,4/6/2017,4:20,4:30,5:54,12:09,15:34,18:20,19:36
156,5/6/2017,4:20,4:30,5:54,12:09,15:34,18:21,19:36
157,6/6/2017,4:20,4:30,5:54,12:09,15:35,18:21,19:37
158,7/6/2017,4:21,4:31,5:54,12:09,15:35,18:21,19:37
159,8/6/2017,4:21,4:31,5:54,12:09,15:35,18:21,19:37
160,9/6/2017,4:21,4:31,5:55,12:10,15:35,18:22,19:37
161,10/6/2017,4:21,4:31,5:55,12:10,15:36,18:22,19:38
162,11/6/2017,4:21,4:31,5:55,12:10,15:36,18:22,19:38
163,12/6/2017,4:21,4:31,5:55,12:10,15:36,18:22,19:38
164,13/6/2017,4:21,4:31,5:55,12:10,15:36,18:22,19:39
165,14/6/2017,4:21,4:31,5:55,12:11,15:37,18:23,19:39
166,15/6/2017,4:22,4:32,5:56,12:11,15:37,18:23,19:39
167,16/6/2017,4:22,4:32,5:56,12:11,15:37,18:23,19:39
168,17/6/2017,4:22,4:32,5:56,12:11,15:37,18:23,19:40
169,18/6/2017,4:22,4:32,5:56,12:12,15:38,18:24,19:40
170,19/6/2017,4:22,4:32,5:56,12:12,15:38,18:24,19:40
171,20/6/2017,4:23,4:33,5:57,12:12,15:38,18:24,19:40
172,21/6/2017,4:23,4:33,5:57,12:12,15:38,18:24,19:40
173,22/6/2017,4:23,4:33,5:57,12:12,15:39,18:25,19:41
174,23/6/2017,4:23,4:33,5:57,12:13,15:39,18:25,19:41
175,24/6/2017,4:23,4:33,5:58,12:13,15:39,18:25,19:41
176,25/6/2017,4:24,4:34,5:58,12:13,15:39,18:25,19:41
177,26/6/2017,4:24,4:34,5:58,12:13,15:39,18:25,19:41
178,27/6/2017,4:24,4:34,5:58,12:13,15:39,18:26,19:42
179,28/6/2017,4:24,4:34,5:58,12:14,15:40,18:26,19:42
180,29/6/2017,4:25,4:35,5:59,12:14,15:40,18:26,19:42
181,30/6/2017,4:25,4:35,5:59,12:14,15:40,18:26,19:42
182,1/7/2017,4:25,4:35,5:59,12:14,15:40,18:26,19:42
183,2/7/2017,4:26,4:36,5:59,12:14,15:40,18:26,19:42
184,3/7/2017,4:26,4:36,6:00,12:15,15:40,18:27,19:42
185,4/7/2017,4:26,4:36,6:00,12:15,15:40,18:27,19:42
186,5/7/2017,4:26,4:36,6:00,12:15,15:41,18:27,19:42
187,6/7/2017,4:27,4:37,6:00,12:15,15:41,18:27,19:43
188,7/7/2017,4:27,4:37,6:00,12:15,15:41,18:27,19:43
189,8/7/2017,4:27,4:37,6:01,12:15,15:41,18:27,19:43
190,9/7/2017,4:28,4:38,6:01,12:16,15:41,18:27,19:43
191,10/7/2017,4:28,4:38,6:01,12:16,15:41,18:27,19:43
192,11/7/2017,4:28,4:38,6:01,12:16,15:41,18:27,19:43
193,12/7/2017,4:28,4:38,6:01,12:16,15:41,18:27,19:43
194,13/7/2017,4:29,4:39,6:02,12:16,15:41,18:27,19:43
195,14/7/2017,4:29,4:39,6:02,12:16,15:41,18:28,19:43
196,15/7/2017,4:29,4:39,6:02,12:16,15:41,18:28,19:42
197,16/7/2017,4:30,4:40,6:02,12:16,15:41,18:28,19:42
198,17/7/2017,4:30,4:40,6:02,12:17,15:40,18:28,19:42
199,18/7/2017,4:30,4:40,6:03,12:17,15:40,18:28,19:42
200,19/7/2017,4:30,4:40,6:03,12:17,15:40,18:28,19:42
201,20/7/2017,4:31,4:41,6:03,12:17,15:40,18:28,19:42
202,21/7/2017,4:31,4:41,6:03,12:17,15:40,18:27,19:42
203,22/7/2017,4:31,4:41,6:03,12:17,15:40,18:27,19:42
204,23/7/2017,4:31,4:41,6:03,12:17,15:40,18:27,19:42
205,24/7/2017,4:32,4:42,6:03,12:17,15:39,18:27,19:41
206,25/7/2017,4:32,4:42,6:03,12:17,15:39,18:27,19:41
207,26/7/2017,4:32,4:42,6:04,12:17,15:39,18:27,19:41
208,27/7/2017,4:32,4:42,6:04,12:17,15:39,18:27,19:41
209,28/7/2017,4:33,4:43,6:04,12:17,15:38,18:27,19:40
210,29/7/2017,4:33,4:43,6:04,12:17,15:38,18:27,19:40
211,30/7/2017,4:33,4:43,6:04,12:17,15:38,18:27,19:40
212,31/7/2017,4:33,4:43,6:04,12:17,15:37,18:26,19:40
213,1/8/2017,4:33,4:43,6:04,12:17,15:37,18:26,19:39
214,2/8/2017,4:33,4:43,6:04,12:17,15:37,18:26,19:39
215,3/8/2017,4:34,4:44,6:04,12:17,15:36,18:26,19:39
216,4/8/2017,4:34,4:44,6:04,12:16,15:36,18:26,19:38
217,5/8/2017,4:34,4:44,6:04,12:16,15:35,18:25,19:38
218,6/8/2017,4:34,4:44,6:04,12:16,15:35,18:25,19:38
219,7/8/2017,4:34,4:44,6:04,12:16,15:34,18:25,19:37
220,8/8/2017,4:34,4:44,6:04,12:16,15:34,18:25,19:37
221,9/8/2017,4:34,4:44,6:04,12:16,15:33,18:24,19:37
222,10/8/2017,4:35,4:45,6:04,12:16,15:33,18:24,19:36
223,11/8/2017,4:35,4:45,6:04,12:16,15:32,18:24,19:36
224,12/8/2017,4:35,4:45,6:04,12:15,15:32,18:24,19:35
225,13/8/2017,4:35,4:45,6:04,12:15,15:31,18:23,19:35
226,14/8/2017,4:35,4:45,6:04,12:15,15:30,18:23,19:35
227,15/8/2017,4:35,4:45,6:04,12:15,15:30,18:23,19:34
228,16/8/2017,4:35,4:45,6:04,12:15,15:29,18:22,19:34
229,17/8/2017,4:35,4:45,6:04,12:14,15:28,18:22,19:33
230,18/8/2017,4:35,4:45,6:04,12:14,15:28,18:22,19:33
231,19/8/2017,4:35,4:45,6:04,12:14,15:27,18:21,19:32
232,20/8/2017,4:35,4:45,6:03,12:14,15:26,18:21,19:32
233,21/8/2017,4:35,4:45,6:03,12:13,15:25,18:21,19:31
234,22/8/2017,4:35,4:45,6:03,12:13,15:25,18:20,19:31
235,23/8/2017,4:35,4:45,6:03,12:13,15:24,18:20,19:30
236,24/8/2017,4:35,4:45,6:03,12:13,15:23,18:19,19:30
237,25/8/2017,4:35,4:45,6:03,12:12,15:22,18:19,19:29
238,26/8/2017,4:35,4:45,6:03,12:12,15:21,18:18,19:29
239,27/8/2017,4:35,4:45,6:03,12:12,15:20,18:18,19:28
240,28/8/2017,4:35,4:45,6:02,12:12,15:19,18:18,19:28
241,29/8/2017,4:35,4:45,6:02,12:11,15:18,18:17,19:27
242,30/8/2017,4:35,4:45,6:02,12:11,15:17,18:17,19:27
243,31/8/2017,4:35,4:45,6:02,12:11,15:16,18:16,19:26
244,1/9/2017,4:35,4:45,6:02,12:10,15:15,18:16,19:26
245,2/9/2017,4:35,4:45,6:02,12:10,15:14,18:15,19:25
246,3/9/2017,4:35,4:45,6:01,12:10,15:13,18:15,19:25
247,4/9/2017,4:34,4:44,6:01,12:09,15:12,18:14,19:24
248,5/9/2017,4:34,4:44,6:01,12:09,15:11,18:14,19:24
249,6/9/2017,4:34,4:44,6:01,12:09,15:10,18:13,19:23
250,7/9/2017,4:34,4:44,6:01,12:08,15:09,18:13,19:22
251,8/9/2017,4:34,4:44,6:00,12:08,15:08,18:12,19:22
252,9/9/2017,4:34,4:44,6:00,12:08,15:08,18:12,19:21
253,10/9/2017,4:34,4:44,6:00,12:07,15:08,18:11,19:21
254,11/9/2017,4:33,4:43,6:00,12:07,15:09,18:11,19:20
255,12/9/2017,4:33,4:43,6:00,12:07,15:09,18:10,19:20
256,13/9/2017,4:33,4:43,5:59,12:06,15:09,18:10,19:19
257,14/9/2017,4:33,4:43,5:59,12:06,15:10,18:09,19:19
258,15/9/2017,4:33,4:43,5:59,12:06,15:10,18:09,19:18
259,16/9/2017,4:33,4:43,5:59,12:05,15:10,18:08,19:18
260,17/9/2017,4:32,4:42,5:59,12:05,15:10,18:08,19:17
261,18/9/2017,4:32,4:42,5:58,12:04,15:11,18:07,19:16
262,19/9/2017,4:32,4:42,5:58,12:04,15:11,18:07,19:16
263,20/9/2017,4:32,4:42,5:58,12:04,15:11,18:06,19:15
264,21/9/2017,4:32,4:42,5:58,12:03,15:11,18:06,19:15
265,22/9/2017,4:32,4:42,5:58,12:03,15:11,18:05,19:14
266,23/9/2017,4:31,4:41,5:57,12:03,15:12,18:05,19:14
267,24/9/2017,4:31,4:41,5:57,12:02,15:12,18:04,19:13
268,25/9/2017,4:31,4:41,5:57,12:02,15:12,18:04,19:13
269,26/9/2017,4:31,4:41,5:57,12:02,15:12,18:03,19:12
270,27/9/2017,4:31,4:41,5:57,12:01,15:12,18:03,19:12
271,28/9/2017,4:30,4:40,5:56,12:01,15:12,18:02,19:11
272,29/9/2017,4:30,4:40,5:56,12:01,15:12,18:02,19:11
273,30/9/2017,4:30,4:40,5:56,12:00,15:12,18:01,19:11
274,1/10/2017,4:30,4:40,5:56,12:00,15:13,18:01,19:10
275,2/10/2017,4:30,4:40,5:56,12:00,15:13,18:01,19:10
276,3/10/2017,4:29,4:39,5:56,11:59,15:13,18:00,19:09
277,4/10/2017,4:29,4:39,5:55,11:59,15:13,18:00,19:09
278,5/10/2017,4:29,4:39,5:55,11:59,15:13,17:59,19:08
279,6/10/2017,4:29,4:39,5:55,11:58,15:13,17:59,19:08
280,7/10/2017,4:29,4:39,5:55,11:58,15:13,17:58,19:08
281,8/10/2017,4:28,4:38,5:55,11:58,15:13,17:58,19:07
282,9/10/2017,4:28,4:38,5:55,11:58,15:13,17:57,19:07
283,10/10/2017,4:28,4:38,5:55,11:57,15:13,17:57,19:06
284,11/10/2017,4:28,4:38,5:54,11:57,15:13,17:57,19:06
285,12/10/2017,4:28,4:38,5:54,11:57,15:13,17:56,19:06
286,13/10/2017,4:28,4:38,5:54,11:57,15:13,17:56,19:05
287,14/10/2017,4:27,4:37,5:54,11:56,15:13,17:55,19:05
288,15/10/2017,4:27,4:37,5:54,11:56,15:13,17:55,19:05
289,16/10/2017,4:27,4:37,5:54,11:56,15:13,17:55,19:04
290,17/10/2017,4:27,4:37,5:54,11:56,15:13,17:54,19:04
291,18/10/2017,4:27,4:37,5:54,11:56,15:13,17:54,19:04
292,19/10/2017,4:27,4:37,5:54,11:55,15:13,17:54,19:04
293,20/10/2017,4:27,4:37,5:54,11:55,15:13,17:53,19:03
294,21/10/2017,4:27,4:37,5:54,11:55,15:14,17:53,19:03
295,22/10/2017,4:26,4:36,5:54,11:55,15:14,17:53,19:03
296,23/10/2017,4:26,4:36,5:54,11:55,15:14,17:53,19:03
297,24/10/2017,4:26,4:36,5:54,11:55,15:14,17:52,19:03
298,25/10/2017,4:26,4:36,5:54,11:54,15:14,17:52,19:02
299,26/10/2017,4:26,4:36,5:54,11:54,15:14,17:52,19:02
300,27/10/2017,4:26,4:36,5:54,11:54,15:14,17:52,19:02
301,28/10/2017,4:26,4:36,5:54,11:54,15:14,17:51,19:02
302,29/10/2017,4:26,4:36,5:54,11:54,15:14,17:51,19:02
303,30/10/2017,4:26,4:36,5:54,11:54,15:14,17:51,19:02
304,31/10/2017,4:26,4:36,5:54,11:54,15:14,17:51,19:02
305,1/11/2017,4:26,4:36,5:54,11:54,15:14,17:51,19:02
306,2/11/2017,4:26,4:36,5:54,11:54,15:14,17:50,19:02
307,3/11/2017,4:26,4:36,5:54,11:54,15:14,17:50,19:02
308,4/11/2017,4:26,4:36,5:55,11:54,15:15,17:50,19:02
309,5/11/2017,4:26,4:36,5:55,11:54,15:15,17:50,19:02
310,6/11/2017,4:26,4:36,5:55,11:54,15:15,17:50,19:02
311,7/11/2017,4:26,4:36,5:55,11:54,15:15,17:50,19:02
312,8/11/2017,4:26,4:36,5:55,11:54,15:15,17:50,19:02
313,9/11/2017,4:26,4:36,5:55,11:54,15:15,17:50,19:02
314,10/11/2017,4:26,4:36,5:56,11:54,15:15,17:50,19:02
315,11/11/2017,4:26,4:36,5:56,11:54,15:15,17:50,19:02
316,12/11/2017,4:26,4:36,5:56,11:55,15:16,17:50,19:02
317,13/11/2017,4:27,4:37,5:56,11:55,15:16,17:50,19:02
318,14/11/2017,4:27,4:37,5:57,11:55,15:16,17:50,19:02
319,15/11/2017,4:27,4:37,5:57,11:55,15:16,17:50,19:03
320,16/11/2017,4:27,4:37,5:57,11:55,15:16,17:50,19:03
321,17/11/2017,4:27,4:37,5:57,11:55,15:17,17:50,19:03
322,18/11/2017,4:27,4:37,5:58,11:56,15:17,17:50,19:03
323,19/11/2017,4:28,4:38,5:58,11:56,15:17,17:50,19:03
324,20/11/2017,4:28,4:38,5:58,11:56,15:17,17:51,19:04
325,21/11/2017,4:28,4:38,5:59,11:56,15:18,17:51,19:04
326,22/11/2017,4:28,4:38,5:59,11:57,15:18,17:51,19:04
327,23/11/2017,4:28,4:38,5:59,11:57,15:18,17:51,19:04
328,24/11/2017,4:29,4:39,6:00,11:57,15:19,17:51,19:05
329,25/11/2017,4:29,4:39,6:00,11:57,15:19,17:51,19:05
330,26/11/2017,4:29,4:39,6:00,11:58,15:19,17:52,19:05
331,27/11/2017,4:30,4:40,6:01,11:58,15:19,17:52,19:06
332,28/11/2017,4:30,4:40,6:01,11:58,15:20,17:52,19:06
333,29/11/2017,4:30,4:40,6:02,11:59,15:20,17:53,19:06
334,30/11/2017,4:31,4:41,6:02,11:59,15:21,17:53,19:07
335,1/12/2017,4:31,4:41,6:03,11:59,15:21,17:53,19:07
336,2/12/2017,4:31,4:41,6:03,12:00,15:21,17:53,19:08
337,3/12/2017,4:32,4:42,6:03,12:00,15:22,17:54,19:08
338,4/12/2017,4:32,4:42,6:04,12:01,15:22,17:54,19:08
339,5/12/2017,4:32,4:42,6:04,12:01,15:22,17:54,19:09
340,6/12/2017,4:33,4:43,6:05,12:01,15:23,17:55,19:09
341,7/12/2017,4:33,4:43,6:05,12:02,15:23,17:55,19:10
342,8/12/2017,4:34,4:44,6:06,12:02,15:24,17:56,19:10
343,9/12/2017,4:34,4:44,6:06,12:03,15:24,17:56,19:11
344,10/12/2017,4:34,4:44,6:07,12:03,15:25,17:56,19:11
345,11/12/2017,4:35,4:45,6:07,12:04,15:25,17:57,19:12
346,12/12/2017,4:35,4:45,6:08,12:04,15:25,17:57,19:12
347,13/12/2017,4:36,4:46,6:08,12:05,15:26,17:58,19:12
348,14/12/2017,4:36,4:46,6:09,12:05,15:26,17:58,19:13
349,15/12/2017,4:37,4:47,6:09,12:06,15:27,17:59,19:13
350,16/12/2017,4:37,4:47,6:10,12:06,15:27,17:59,19:14
351,17/12/2017,4:38,4:48,6:10,12:06,15:28,18:00,19:14
352,18/12/2017,4:38,4:48,6:11,12:07,15:28,18:00,19:15
353,19/12/2017,4:39,4:49,6:11,12:07,15:29,18:01,19:15
354,20/12/2017,4:39,4:49,6:12,12:08,15:29,18:01,19:16
355,21/12/2017,4:40,4:50,6:12,12:08,15:30,18:01,19:16
356,22/12/2017,4:40,4:50,6:13,12:09,15:30,18:02,19:17
357,23/12/2017,4:41,4:51,6:13,12:09,15:31,18:02,19:17
358,24/12/2017,4:41,4:51,6:14,12:10,15:31,18:03,19:18
359,25/12/2017,4:42,4:52,6:14,12:10,15:32,18:04,19:18
360,26/12/2017,4:42,4:52,6:15,12:11,15:32,18:04,19:19
361,27/12/2017,4:43,4:53,6:15,12:11,15:33,18:05,19:19
362,28/12/2017,4:43,4:53,6:16,12:12,15:33,18:05,19:20
363,29/12/2017,4:44,4:54,6:16,12:12,15:34,18:06,19:20
364,30/12/2017,4:44,4:54,6:17,12:13,15:34,18:06,19:21
365,31/12/2017,4:45,4:55,6:17,12:13,15:35,18:07,19:21
