,,,,,,,,
,,,,,,,,
"  Zon : Zon 5 - Tanjung Manis, Belawai, Matu, Daro, Sarikei, Julau, Bintangor, Rajang",,,,,,,,
42,11/2/2017,5:20,5:30,6:44,12:51,16:10,18:51,20:02
43,12/2/2017,5:20,5:30,6:44,12:51,16:10,18:51,20:02
44,13/2/2017,5:20,5:30,6:43,12:51,16:10,18:51,20:02
45,14/2/2017,5:20,5:30,6:43,12:51,16:09,18:51,20:02
46,15/2/2017,5:20,5:30,6:43,12:51,16:09,18:51,20:02
47,16/2/2017,5:20,5:30,6:43,12:51,16:09,18:51,20:01
48,17/2/2017,5:20,5:30,6:43,12:51,16:08,18:51,20:01
49,18/2/2017,5:20,5:30,6:43,12:51,16:08,18:51,20:01
50,19/2/2017,5:20,5:30,6:43,12:51,16:08,18:51,20:01
51,20/2/2017,5:20,5:30,6:43,12:50,16:07,18:51,20:01
52,21/2/2017,5:20,5:30,6:42,12:50,16:07,18:51,20:01
53,22/2/2017,5:19,5:29,6:42,12:50,16:06,18:51,20:01
54,23/2/2017,5:19,5:29,6:42,12:50,16:06,18:51,20:00
55,24/2/2017,5:19,5:29,6:42,12:50,16:05,18:51,20:00
56,25/2/2017,5:19,5:29,6:42,12:50,16:05,18:51,20:00
57,26/2/2017,5:19,5:29,6:41,12:50,16:04,18:51,20:00
58,27/2/2017,5:19,5:29,6:41,12:49,16:04,18:50,20:00
59,28/2/2017,5:19,5:29,6:41,12:49,16:03,18:50,20:00
60,1/3/2017,5:18,5:28,6:41,12:49,16:02,18:50,19:59
61,2/3/2017,5:18,5:28,6:40,12:49,16:02,18:50,19:59
62,3/3/2017,5:18,5:28,6:40,12:49,16:01,18:50,19:59
63,4/3/2017,5:18,5:28,6:40,12:48,16:01,18:50,19:59
64,5/3/2017,5:18,5:28,6:40,12:48,16:00,18:50,19:59
65,6/3/2017,5:17,5:27,6:39,12:48,15:59,18:49,19:58
66,7/3/2017,5:17,5:27,6:39,12:48,15:58,18:49,19:58
67,8/3/2017,5:17,5:27,6:39,12:47,15:58,18:49,19:58
68,9/3/2017,5:17,5:27,6:38,12:47,15:57,18:49,19:58
69,10/3/2017,5:16,5:26,6:38,12:47,15:56,18:49,19:57
70,11/3/2017,5:16,5:26,6:38,12:47,15:55,18:48,19:57
71,12/3/2017,5:16,5:26,6:38,12:46,15:54,18:48,19:57
72,13/3/2017,5:15,5:25,6:37,12:46,15:54,18:48,19:57
73,14/3/2017,5:15,5:25,6:37,12:46,15:53,18:48,19:57
74,15/3/2017,5:15,5:25,6:37,12:46,15:52,18:48,19:56
75,16/3/2017,5:14,5:24,6:36,12:45,15:51,18:47,19:56
76,17/3/2017,5:14,5:24,6:36,12:45,15:50,18:47,19:56
77,18/3/2017,5:14,5:24,6:35,12:45,15:49,18:47,19:56
78,19/3/2017,5:13,5:23,6:35,12:44,15:48,18:47,19:55
79,20/3/2017,5:13,5:23,6:35,12:44,15:47,18:46,19:55
80,21/3/2017,5:13,5:23,6:34,12:44,15:46,18:46,19:55
81,22/3/2017,5:12,5:22,6:34,12:44,15:45,18:46,19:55
82,23/3/2017,5:12,5:22,6:34,12:43,15:44,18:46,19:54
83,24/3/2017,5:12,5:22,6:33,12:43,15:43,18:45,19:54
84,25/3/2017,5:11,5:21,6:33,12:43,15:42,18:45,19:54
85,26/3/2017,5:11,5:21,6:33,12:42,15:42,18:45,19:54
86,27/3/2017,5:10,5:20,6:32,12:42,15:42,18:45,19:54
87,28/3/2017,5:10,5:20,6:32,12:42,15:43,18:45,19:53
88,29/3/2017,5:10,5:20,6:31,12:41,15:43,18:44,19:53
89,30/3/2017,5:09,5:19,6:31,12:41,15:44,18:44,19:53
90,31/3/2017,5:09,5:19,6:31,12:41,15:44,18:44,19:53
91,1/4/2017,5:08,5:18,6:30,12:41,15:45,18:44,19:53
92,2/4/2017,5:08,5:18,6:30,12:40,15:45,18:43,19:52
93,3/4/2017,5:08,5:18,6:30,12:40,15:45,18:43,19:52
94,4/4/2017,5:07,5:17,6:29,12:40,15:46,18:43,19:52
95,5/4/2017,5:07,5:17,6:29,12:39,15:46,18:43,19:52
96,6/4/2017,5:06,5:16,6:29,12:39,15:46,18:42,19:52
97,7/4/2017,5:06,5:16,6:28,12:39,15:47,18:42,19:52
98,8/4/2017,5:05,5:15,6:28,12:39,15:47,18:42,19:51
99,9/4/2017,5:05,5:15,6:28,12:38,15:47,18:42,19:51
100,10/4/2017,5:05,5:15,6:27,12:38,15:48,18:42,19:51
101,11/4/2017,5:04,5:14,6:27,12:38,15:48,18:41,19:51
102,12/4/2017,5:04,5:14,6:27,12:37,15:48,18:41,19:51
103,13/4/2017,5:03,5:13,6:26,12:37,15:49,18:41,19:51
104,14/4/2017,5:03,5:13,6:26,12:37,15:49,18:41,19:51
105,15/4/2017,5:03,5:13,6:26,12:37,15:49,18:41,19:51
106,16/4/2017,5:02,5:12,6:25,12:36,15:49,18:40,19:50
107,17/4/2017,5:02,5:12,6:25,12:36,15:50,18:40,19:50
108,18/4/2017,5:01,5:11,6:25,12:36,15:50,18:40,19:50
109,19/4/2017,5:01,5:11,6:25,12:36,15:50,18:40,19:50
110,20/4/2017,5:01,5:11,6:24,12:36,15:50,18:40,19:50
111,21/4/2017,5:00,5:10,6:24,12:35,15:50,18:40,19:50
112,22/4/2017,5:00,5:10,6:24,12:35,15:51,18:40,19:50
113,23/4/2017,5:00,5:10,6:24,12:35,15:51,18:39,19:50
114,24/4/2017,4:59,5:09,6:23,12:35,15:51,18:39,19:50
115,25/4/2017,4:59,5:09,6:23,12:35,15:51,18:39,19:50
116,26/4/2017,4:59,5:09,6:23,12:34,15:52,18:39,19:50
117,27/4/2017,4:58,5:08,6:23,12:34,15:52,18:39,19:50
118,28/4/2017,4:58,5:08,6:22,12:34,15:52,18:39,19:50
119,29/4/2017,4:58,5:08,6:22,12:34,15:52,18:39,19:50
120,30/4/2017,4:57,5:07,6:22,12:34,15:52,18:39,19:50
121,1/5/2017,4:57,5:07,6:22,12:34,15:53,18:39,19:50
122,2/5/2017,4:57,5:07,6:22,12:34,15:53,18:39,19:50
123,3/5/2017,4:56,5:06,6:22,12:34,15:53,18:39,19:50
124,4/5/2017,4:56,5:06,6:21,12:33,15:53,18:38,19:50
125,5/5/2017,4:56,5:06,6:21,12:33,15:53,18:38,19:50
126,6/5/2017,4:56,5:06,6:21,12:33,15:54,18:38,19:50
127,7/5/2017,4:55,5:05,6:21,12:33,15:54,18:38,19:51
128,8/5/2017,4:55,5:05,6:21,12:33,15:54,18:38,19:51
129,9/5/2017,4:55,5:05,6:21,12:33,15:54,18:38,19:51
130,10/5/2017,4:55,5:05,6:21,12:33,15:54,18:38,19:51
131,11/5/2017,4:55,5:05,6:21,12:33,15:55,18:38,19:51
132,12/5/2017,4:54,5:04,6:21,12:33,15:55,18:38,19:51
133,13/5/2017,4:54,5:04,6:20,12:33,15:55,18:38,19:51
134,14/5/2017,4:54,5:04,6:20,12:33,15:55,18:39,19:51
135,15/5/2017,4:54,5:04,6:20,12:33,15:55,18:39,19:52
136,16/5/2017,4:54,5:04,6:20,12:33,15:56,18:39,19:52
137,17/5/2017,4:54,5:04,6:20,12:33,15:56,18:39,19:52
138,18/5/2017,4:53,5:03,6:20,12:33,15:56,18:39,19:52
139,19/5/2017,4:53,5:03,6:20,12:33,15:56,18:39,19:52
140,20/5/2017,4:53,5:03,6:20,12:33,15:56,18:39,19:53
141,21/5/2017,4:53,5:03,6:20,12:33,15:57,18:39,19:53
142,22/5/2017,4:53,5:03,6:20,12:33,15:57,18:39,19:53
143,23/5/2017,4:53,5:03,6:20,12:33,15:57,18:39,19:53
144,24/5/2017,4:53,5:03,6:21,12:34,15:57,18:39,19:53
145,25/5/2017,4:53,5:03,6:21,12:34,15:58,18:40,19:54
146,26/5/2017,4:53,5:03,6:21,12:34,15:58,18:40,19:54
147,27/5/2017,4:53,5:03,6:21,12:34,15:58,18:40,19:54
148,28/5/2017,4:53,5:03,6:21,12:34,15:58,18:40,19:54
149,29/5/2017,4:53,5:03,6:21,12:34,15:58,18:40,19:55
150,30/5/2017,4:53,5:03,6:21,12:34,15:59,18:40,19:55
151,31/5/2017,4:53,5:03,6:21,12:34,15:59,18:41,19:55
152,1/6/2017,4:53,5:03,6:21,12:35,15:59,18:41,19:55
153,2/6/2017,4:53,5:03,6:21,12:35,15:59,18:41,19:56
154,3/6/2017,4:53,5:03,6:22,12:35,16:00,18:41,19:56
155,4/6/2017,4:53,5:03,6:22,12:35,16:00,18:41,19:56
156,5/6/2017,4:53,5:03,6:22,12:35,16:00,18:41,19:56
157,6/6/2017,4:53,5:03,6:22,12:35,16:00,18:42,19:57
158,7/6/2017,4:53,5:03,6:22,12:36,16:01,18:42,19:57
159,8/6/2017,4:53,5:03,6:22,12:36,16:01,18:42,19:57
160,9/6/2017,4:54,5:04,6:23,12:36,16:01,18:42,19:57
161,10/6/2017,4:54,5:04,6:23,12:36,16:01,18:43,19:58
162,11/6/2017,4:54,5:04,6:23,12:36,16:02,18:43,19:58
163,12/6/2017,4:54,5:04,6:23,12:37,16:02,18:43,19:58
164,13/6/2017,4:54,5:04,6:23,12:37,16:02,18:43,19:58
165,14/6/2017,4:54,5:04,6:23,12:37,16:02,18:43,19:59
166,15/6/2017,4:54,5:04,6:24,12:37,16:03,18:44,19:59
167,16/6/2017,4:55,5:05,6:24,12:37,16:03,18:44,19:59
168,17/6/2017,4:55,5:05,6:24,12:38,16:03,18:44,19:59
169,18/6/2017,4:55,5:05,6:24,12:38,16:03,18:44,20:00
170,19/6/2017,4:55,5:05,6:25,12:38,16:04,18:44,20:00
171,20/6/2017,4:55,5:05,6:25,12:38,16:04,18:45,20:00
172,21/6/2017,4:56,5:06,6:25,12:38,16:04,18:45,20:00
173,22/6/2017,4:56,5:06,6:25,12:39,16:04,18:45,20:01
174,23/6/2017,4:56,5:06,6:25,12:39,16:04,18:45,20:01
175,24/6/2017,4:56,5:06,6:26,12:39,16:05,18:46,20:01
176,25/6/2017,4:57,5:07,6:26,12:39,16:05,18:46,20:01
177,26/6/2017,4:57,5:07,6:26,12:40,16:05,18:46,20:01
178,27/6/2017,4:57,5:07,6:26,12:40,16:05,18:46,20:02
179,28/6/2017,4:57,5:07,6:26,12:40,16:05,18:46,20:02
180,29/6/2017,4:58,5:08,6:27,12:40,16:06,18:47,20:02
181,30/6/2017,4:58,5:08,6:27,12:40,16:06,18:47,20:02
182,1/7/2017,4:58,5:08,6:27,12:41,16:06,18:47,20:02
183,2/7/2017,4:58,5:08,6:27,12:41,16:06,18:47,20:02
184,3/7/2017,4:59,5:09,6:28,12:41,16:06,18:47,20:02
185,4/7/2017,4:59,5:09,6:28,12:41,16:06,18:47,20:03
186,5/7/2017,4:59,5:09,6:28,12:41,16:06,18:48,20:03
187,6/7/2017,4:59,5:09,6:28,12:41,16:06,18:48,20:03
188,7/7/2017,5:00,5:10,6:28,12:42,16:07,18:48,20:03
189,8/7/2017,5:00,5:10,6:28,12:42,16:07,18:48,20:03
190,9/7/2017,5:00,5:10,6:29,12:42,16:07,18:48,20:03
191,10/7/2017,5:00,5:10,6:29,12:42,16:07,18:48,20:03
192,11/7/2017,5:01,5:11,6:29,12:42,16:07,18:48,20:03
193,12/7/2017,5:01,5:11,6:29,12:42,16:07,18:48,20:03
194,13/7/2017,5:01,5:11,6:29,12:42,16:07,18:49,20:03
195,14/7/2017,5:01,5:11,6:29,12:43,16:07,18:49,20:03
196,15/7/2017,5:02,5:12,6:30,12:43,16:07,18:49,20:03
197,16/7/2017,5:02,5:12,6:30,12:43,16:07,18:49,20:03
198,17/7/2017,5:02,5:12,6:30,12:43,16:07,18:49,20:03
199,18/7/2017,5:02,5:12,6:30,12:43,16:07,18:49,20:03
200,19/7/2017,5:02,5:12,6:30,12:43,16:07,18:49,20:03
201,20/7/2017,5:03,5:13,6:30,12:43,16:07,18:49,20:03
202,21/7/2017,5:03,5:13,6:30,12:43,16:07,18:49,20:03
203,22/7/2017,5:03,5:13,6:30,12:43,16:06,18:49,20:03
204,23/7/2017,5:03,5:13,6:30,12:43,16:06,18:49,20:02
205,24/7/2017,5:03,5:13,6:30,12:43,16:06,18:49,20:02
206,25/7/2017,5:04,5:14,6:30,12:43,16:06,18:49,20:02
207,26/7/2017,5:04,5:14,6:31,12:43,16:06,18:49,20:02
208,27/7/2017,5:04,5:14,6:31,12:43,16:06,18:49,20:02
209,28/7/2017,5:04,5:14,6:31,12:43,16:05,18:49,20:02
210,29/7/2017,5:04,5:14,6:31,12:43,16:05,18:49,20:02
211,30/7/2017,5:04,5:14,6:31,12:43,16:05,18:49,20:01
212,31/7/2017,5:04,5:14,6:31,12:43,16:05,18:48,20:01
213,1/8/2017,5:05,5:15,6:31,12:43,16:04,18:48,20:01
214,2/8/2017,5:05,5:15,6:31,12:43,16:04,18:48,20:01
215,3/8/2017,5:05,5:15,6:31,12:43,16:04,18:48,20:00
216,4/8/2017,5:05,5:15,6:31,12:43,16:03,18:48,20:00
217,5/8/2017,5:05,5:15,6:30,12:43,16:03,18:48,20:00
218,6/8/2017,5:05,5:15,6:30,12:43,16:03,18:48,20:00
219,7/8/2017,5:05,5:15,6:30,12:42,16:02,18:47,19:59
220,8/8/2017,5:05,5:15,6:30,12:42,16:02,18:47,19:59
221,9/8/2017,5:05,5:15,6:30,12:42,16:01,18:47,19:59
222,10/8/2017,5:05,5:15,6:30,12:42,16:01,18:47,19:58
223,11/8/2017,5:05,5:15,6:30,12:42,16:01,18:47,19:58
224,12/8/2017,5:05,5:15,6:30,12:42,16:00,18:46,19:58
225,13/8/2017,5:05,5:15,6:30,12:42,16:00,18:46,19:57
226,14/8/2017,5:05,5:15,6:30,12:41,15:59,18:46,19:57
227,15/8/2017,5:05,5:15,6:29,12:41,15:58,18:46,19:57
228,16/8/2017,5:05,5:15,6:29,12:41,15:58,18:45,19:56
229,17/8/2017,5:05,5:15,6:29,12:41,15:57,18:45,19:56
230,18/8/2017,5:05,5:15,6:29,12:41,15:57,18:45,19:56
231,19/8/2017,5:05,5:15,6:29,12:40,15:56,18:45,19:55
232,20/8/2017,5:05,5:15,6:29,12:40,15:55,18:44,19:55
233,21/8/2017,5:05,5:15,6:28,12:40,15:55,18:44,19:54
234,22/8/2017,5:05,5:15,6:28,12:40,15:54,18:44,19:54
235,23/8/2017,5:05,5:15,6:28,12:39,15:53,18:43,19:54
236,24/8/2017,5:05,5:15,6:28,12:39,15:53,18:43,19:53
237,25/8/2017,5:04,5:14,6:28,12:39,15:52,18:43,19:53
238,26/8/2017,5:04,5:14,6:27,12:38,15:51,18:42,19:52
239,27/8/2017,5:04,5:14,6:27,12:38,15:50,18:42,19:52
240,28/8/2017,5:04,5:14,6:27,12:38,15:50,18:42,19:52
241,29/8/2017,5:04,5:14,6:27,12:38,15:49,18:41,19:51
242,30/8/2017,5:04,5:14,6:26,12:37,15:48,18:41,19:51
243,31/8/2017,5:04,5:14,6:26,12:37,15:47,18:41,19:50
244,1/9/2017,5:03,5:13,6:26,12:37,15:46,18:40,19:50
245,2/9/2017,5:03,5:13,6:26,12:36,15:45,18:40,19:49
246,3/9/2017,5:03,5:13,6:25,12:36,15:44,18:39,19:49
247,4/9/2017,5:03,5:13,6:25,12:36,15:44,18:39,19:48
248,5/9/2017,5:03,5:13,6:25,12:35,15:43,18:39,19:48
249,6/9/2017,5:02,5:12,6:25,12:35,15:42,18:38,19:48
250,7/9/2017,5:02,5:12,6:24,12:35,15:41,18:38,19:47
251,8/9/2017,5:02,5:12,6:24,12:34,15:40,18:37,19:47
252,9/9/2017,5:02,5:12,6:24,12:34,15:39,18:37,19:46
253,10/9/2017,5:01,5:11,6:24,12:34,15:38,18:37,19:46
254,11/9/2017,5:01,5:11,6:23,12:33,15:37,18:36,19:45
255,12/9/2017,5:01,5:11,6:23,12:33,15:36,18:36,19:45
256,13/9/2017,5:01,5:11,6:23,12:33,15:35,18:35,19:44
257,14/9/2017,5:00,5:10,6:22,12:32,15:34,18:35,19:44
258,15/9/2017,5:00,5:10,6:22,12:32,15:33,18:35,19:43
259,16/9/2017,5:00,5:10,6:22,12:32,15:32,18:34,19:43
260,17/9/2017,5:00,5:10,6:21,12:31,15:31,18:34,19:43
261,18/9/2017,4:59,5:09,6:21,12:31,15:31,18:33,19:42
262,19/9/2017,4:59,5:09,6:21,12:30,15:31,18:33,19:42
263,20/9/2017,4:59,5:09,6:21,12:30,15:32,18:33,19:41
264,21/9/2017,4:59,5:09,6:20,12:30,15:32,18:32,19:41
265,22/9/2017,4:58,5:08,6:20,12:29,15:32,18:32,19:40
266,23/9/2017,4:58,5:08,6:20,12:29,15:33,18:31,19:40
267,24/9/2017,4:58,5:08,6:19,12:29,15:33,18:31,19:40
268,25/9/2017,4:57,5:07,6:19,12:28,15:33,18:30,19:39
269,26/9/2017,4:57,5:07,6:19,12:28,15:34,18:30,19:39
270,27/9/2017,4:57,5:07,6:19,12:28,15:34,18:30,19:38
271,28/9/2017,4:57,5:07,6:18,12:27,15:34,18:29,19:38
272,29/9/2017,4:56,5:06,6:18,12:27,15:34,18:29,19:38
273,30/9/2017,4:56,5:06,6:18,12:27,15:35,18:28,19:37
274,1/10/2017,4:56,5:06,6:17,12:26,15:35,18:28,19:37
275,2/10/2017,4:55,5:05,6:17,12:26,15:35,18:28,19:37
276,3/10/2017,4:55,5:05,6:17,12:26,15:35,18:27,19:36
277,4/10/2017,4:55,5:05,6:17,12:25,15:35,18:27,19:36
278,5/10/2017,4:54,5:04,6:16,12:25,15:36,18:27,19:36
279,6/10/2017,4:54,5:04,6:16,12:25,15:36,18:26,19:35
280,7/10/2017,4:54,5:04,6:16,12:25,15:36,18:26,19:35
281,8/10/2017,4:54,5:04,6:16,12:24,15:36,18:26,19:35
282,9/10/2017,4:53,5:03,6:16,12:24,15:36,18:25,19:34
283,10/10/2017,4:53,5:03,6:15,12:24,15:37,18:25,19:34
284,11/10/2017,4:53,5:03,6:15,12:23,15:37,18:25,19:34
285,12/10/2017,4:53,5:03,6:15,12:23,15:37,18:24,19:34
286,13/10/2017,4:52,5:02,6:15,12:23,15:37,18:24,19:33
287,14/10/2017,4:52,5:02,6:15,12:23,15:37,18:24,19:33
288,15/10/2017,4:52,5:02,6:14,12:22,15:37,18:23,19:33
289,16/10/2017,4:52,5:02,6:14,12:22,15:37,18:23,19:33
290,17/10/2017,4:51,5:01,6:14,12:22,15:38,18:23,19:32
291,18/10/2017,4:51,5:01,6:14,12:22,15:38,18:23,19:32
292,19/10/2017,4:51,5:01,6:14,12:22,15:38,18:22,19:32
293,20/10/2017,4:51,5:01,6:14,12:21,15:38,18:22,19:32
294,21/10/2017,4:50,5:00,6:14,12:21,15:38,18:22,19:32
295,22/10/2017,4:50,5:00,6:13,12:21,15:38,18:22,19:32
296,23/10/2017,4:50,5:00,6:13,12:21,15:39,18:22,19:32
297,24/10/2017,4:50,5:00,6:13,12:21,15:39,18:21,19:32
298,25/10/2017,4:50,5:00,6:13,12:21,15:39,18:21,19:31
299,26/10/2017,4:50,5:00,6:13,12:21,15:39,18:21,19:31
300,27/10/2017,4:49,4:59,6:13,12:21,15:39,18:21,19:31
301,28/10/2017,4:49,4:59,6:13,12:20,15:39,18:21,19:31
302,29/10/2017,4:49,4:59,6:13,12:20,15:40,18:21,19:31
303,30/10/2017,4:49,4:59,6:13,12:20,15:40,18:21,19:31
304,31/10/2017,4:49,4:59,6:13,12:20,15:40,18:20,19:31
305,1/11/2017,4:49,4:59,6:13,12:20,15:40,18:20,19:31
306,2/11/2017,4:49,4:59,6:13,12:20,15:40,18:20,19:31
307,3/11/2017,4:49,4:59,6:13,12:20,15:40,18:20,19:31
308,4/11/2017,4:49,4:59,6:13,12:20,15:41,18:20,19:31
309,5/11/2017,4:49,4:59,6:13,12:20,15:41,18:20,19:32
310,6/11/2017,4:49,4:59,6:13,12:20,15:41,18:20,19:32
311,7/11/2017,4:49,4:59,6:13,12:20,15:41,18:20,19:32
312,8/11/2017,4:48,4:58,6:14,12:20,15:41,18:20,19:32
313,9/11/2017,4:48,4:58,6:14,12:21,15:42,18:20,19:32
314,10/11/2017,4:49,4:59,6:14,12:21,15:42,18:20,19:32
315,11/11/2017,4:49,4:59,6:14,12:21,15:42,18:20,19:32
316,12/11/2017,4:49,4:59,6:14,12:21,15:42,18:20,19:33
317,13/11/2017,4:49,4:59,6:14,12:21,15:43,18:21,19:33
318,14/11/2017,4:49,4:59,6:15,12:21,15:43,18:21,19:33
319,15/11/2017,4:49,4:59,6:15,12:21,15:43,18:21,19:33
320,16/11/2017,4:49,4:59,6:15,12:21,15:44,18:21,19:33
321,17/11/2017,4:49,4:59,6:15,12:22,15:44,18:21,19:34
322,18/11/2017,4:49,4:59,6:15,12:22,15:44,18:21,19:34
323,19/11/2017,4:49,4:59,6:16,12:22,15:44,18:21,19:34
324,20/11/2017,4:49,4:59,6:16,12:22,15:45,18:22,19:35
325,21/11/2017,4:50,5:00,6:16,12:23,15:45,18:22,19:35
326,22/11/2017,4:50,5:00,6:16,12:23,15:45,18:22,19:35
327,23/11/2017,4:50,5:00,6:17,12:23,15:46,18:22,19:36
328,24/11/2017,4:50,5:00,6:17,12:23,15:46,18:23,19:36
329,25/11/2017,4:50,5:00,6:17,12:24,15:47,18:23,19:36
330,26/11/2017,4:51,5:01,6:18,12:24,15:47,18:23,19:37
331,27/11/2017,4:51,5:01,6:18,12:24,15:47,18:23,19:37
332,28/11/2017,4:51,5:01,6:18,12:25,15:48,18:24,19:37
333,29/11/2017,4:51,5:01,6:19,12:25,15:48,18:24,19:38
334,30/11/2017,4:52,5:02,6:19,12:25,15:48,18:24,19:38
335,1/12/2017,4:52,5:02,6:20,12:26,15:49,18:25,19:39
336,2/12/2017,4:52,5:02,6:20,12:26,15:49,18:25,19:39
337,3/12/2017,4:53,5:03,6:20,12:27,15:50,18:25,19:40
338,4/12/2017,4:53,5:03,6:21,12:27,15:50,18:26,19:40
339,5/12/2017,4:53,5:03,6:21,12:27,15:51,18:26,19:41
340,6/12/2017,4:54,5:04,6:22,12:28,15:51,18:27,19:41
341,7/12/2017,4:54,5:04,6:22,12:28,15:52,18:27,19:41
342,8/12/2017,4:54,5:04,6:23,12:29,15:52,18:27,19:42
343,9/12/2017,4:55,5:05,6:23,12:29,15:52,18:28,19:42
344,10/12/2017,4:55,5:05,6:24,12:30,15:53,18:28,19:43
345,11/12/2017,4:56,5:06,6:24,12:30,15:53,18:29,19:43
346,12/12/2017,4:56,5:06,6:25,12:30,15:54,18:29,19:44
347,13/12/2017,4:56,5:06,6:25,12:31,15:54,18:30,19:44
348,14/12/2017,4:57,5:07,6:25,12:31,15:55,18:30,19:45
349,15/12/2017,4:57,5:07,6:26,12:32,15:55,18:31,19:45
350,16/12/2017,4:58,5:08,6:26,12:32,15:56,18:31,19:46
351,17/12/2017,4:58,5:08,6:27,12:33,15:56,18:32,19:46
352,18/12/2017,4:59,5:09,6:27,12:33,15:57,18:32,19:47
353,19/12/2017,4:59,5:09,6:28,12:34,15:57,18:33,19:47
354,20/12/2017,5:00,5:10,6:28,12:34,15:58,18:33,19:48
355,21/12/2017,5:00,5:10,6:29,12:35,15:58,18:34,19:48
356,22/12/2017,5:01,5:11,6:29,12:35,15:59,18:34,19:49
357,23/12/2017,5:01,5:11,6:30,12:36,15:59,18:35,19:49
358,24/12/2017,5:02,5:12,6:30,12:36,16:00,18:35,19:50
359,25/12/2017,5:02,5:12,6:31,12:37,16:00,18:36,19:50
360,26/12/2017,5:03,5:13,6:31,12:37,16:01,18:36,19:51
361,27/12/2017,5:03,5:13,6:32,12:38,16:01,18:37,19:51
362,28/12/2017,5:04,5:14,6:32,12:38,16:02,18:37,19:52
363,29/12/2017,5:04,5:14,6:33,12:39,16:02,18:37,19:52
364,30/12/2017,5:05,5:15,6:33,12:39,16:03,18:38,19:53
365,31/12/2017,5:05,5:15,6:34,12:40,16:03,18:38,19:53
