,,,,,,,,
,,,,,,,,
"  Zon : Zon 4 - Igan, Oya, Balingian, Mukah, Dalat, Sibu, Kanowit, Kapit, Song",,,,,,,,
42,11/2/2017,5:18,5:28,6:42,12:49,16:08,18:49,19:59
43,12/2/2017,5:18,5:28,6:42,12:49,16:08,18:49,19:59
44,13/2/2017,5:18,5:28,6:42,12:49,16:08,18:49,19:59
45,14/2/2017,5:18,5:28,6:42,12:49,16:08,18:49,19:59
46,15/2/2017,5:18,5:28,6:42,12:49,16:07,18:49,19:59
47,16/2/2017,5:18,5:28,6:42,12:49,16:07,18:49,19:59
48,17/2/2017,5:18,5:28,6:42,12:49,16:07,18:49,19:59
49,18/2/2017,5:18,5:28,6:41,12:49,16:06,18:49,19:59
50,19/2/2017,5:18,5:28,6:41,12:49,16:06,18:49,19:59
51,20/2/2017,5:18,5:28,6:41,12:48,16:06,18:49,19:59
52,21/2/2017,5:18,5:28,6:41,12:48,16:05,18:49,19:58
53,22/2/2017,5:18,5:28,6:41,12:48,16:05,18:49,19:58
54,23/2/2017,5:18,5:28,6:41,12:48,16:04,18:49,19:58
55,24/2/2017,5:18,5:28,6:40,12:48,16:04,18:48,19:58
56,25/2/2017,5:18,5:28,6:40,12:48,16:03,18:48,19:58
57,26/2/2017,5:17,5:27,6:40,12:48,16:03,18:48,19:58
58,27/2/2017,5:17,5:27,6:40,12:47,16:02,18:48,19:58
59,28/2/2017,5:17,5:27,6:39,12:47,16:02,18:48,19:57
60,1/3/2017,5:17,5:27,6:39,12:47,16:01,18:48,19:57
61,2/3/2017,5:17,5:27,6:39,12:47,16:01,18:48,19:57
62,3/3/2017,5:16,5:26,6:39,12:47,16:00,18:48,19:57
63,4/3/2017,5:16,5:26,6:38,12:46,15:59,18:48,19:57
64,5/3/2017,5:16,5:26,6:38,12:46,15:59,18:47,19:56
65,6/3/2017,5:16,5:26,6:38,12:46,15:58,18:47,19:56
66,7/3/2017,5:15,5:25,6:37,12:46,15:57,18:47,19:56
67,8/3/2017,5:15,5:25,6:37,12:46,15:56,18:47,19:56
68,9/3/2017,5:15,5:25,6:37,12:45,15:56,18:47,19:56
69,10/3/2017,5:14,5:24,6:36,12:45,15:55,18:47,19:55
70,11/3/2017,5:14,5:24,6:36,12:45,15:54,18:46,19:55
71,12/3/2017,5:14,5:24,6:36,12:45,15:53,18:46,19:55
72,13/3/2017,5:14,5:24,6:35,12:44,15:53,18:46,19:55
73,14/3/2017,5:13,5:23,6:35,12:44,15:52,18:46,19:55
74,15/3/2017,5:13,5:23,6:35,12:44,15:51,18:46,19:54
75,16/3/2017,5:13,5:23,6:34,12:43,15:50,18:45,19:54
76,17/3/2017,5:12,5:22,6:34,12:43,15:49,18:45,19:54
77,18/3/2017,5:12,5:22,6:34,12:43,15:48,18:45,19:54
78,19/3/2017,5:11,5:21,6:33,12:43,15:47,18:45,19:53
79,20/3/2017,5:11,5:21,6:33,12:42,15:46,18:45,19:53
80,21/3/2017,5:11,5:21,6:32,12:42,15:45,18:44,19:53
81,22/3/2017,5:10,5:20,6:32,12:42,15:44,18:44,19:53
82,23/3/2017,5:10,5:20,6:32,12:41,15:43,18:44,19:53
83,24/3/2017,5:09,5:19,6:31,12:41,15:42,18:44,19:52
84,25/3/2017,5:09,5:19,6:31,12:41,15:41,18:43,19:52
85,26/3/2017,5:09,5:19,6:31,12:40,15:40,18:43,19:52
86,27/3/2017,5:08,5:18,6:30,12:40,15:39,18:43,19:52
87,28/3/2017,5:08,5:18,6:30,12:40,15:40,18:43,19:52
88,29/3/2017,5:07,5:17,6:29,12:40,15:40,18:43,19:51
89,30/3/2017,5:07,5:17,6:29,12:39,15:41,18:42,19:51
90,31/3/2017,5:07,5:17,6:29,12:39,15:41,18:42,19:51
91,1/4/2017,5:06,5:16,6:28,12:39,15:42,18:42,19:51
92,2/4/2017,5:06,5:16,6:28,12:38,15:42,18:42,19:51
93,3/4/2017,5:05,5:15,6:28,12:38,15:42,18:41,19:51
94,4/4/2017,5:05,5:15,6:27,12:38,15:43,18:41,19:50
95,5/4/2017,5:04,5:14,6:27,12:37,15:43,18:41,19:50
96,6/4/2017,5:04,5:14,6:26,12:37,15:44,18:41,19:50
97,7/4/2017,5:04,5:14,6:26,12:37,15:44,18:41,19:50
98,8/4/2017,5:03,5:13,6:26,12:37,15:44,18:40,19:50
99,9/4/2017,5:03,5:13,6:25,12:36,15:45,18:40,19:50
100,10/4/2017,5:02,5:12,6:25,12:36,15:45,18:40,19:50
101,11/4/2017,5:02,5:12,6:25,12:36,15:45,18:40,19:49
102,12/4/2017,5:01,5:11,6:24,12:36,15:46,18:40,19:49
103,13/4/2017,5:01,5:11,6:24,12:35,15:46,18:39,19:49
104,14/4/2017,5:01,5:11,6:24,12:35,15:46,18:39,19:49
105,15/4/2017,5:00,5:10,6:23,12:35,15:46,18:39,19:49
106,16/4/2017,5:00,5:10,6:23,12:35,15:47,18:39,19:49
107,17/4/2017,4:59,5:09,6:23,12:34,15:47,18:39,19:49
108,18/4/2017,4:59,5:09,6:22,12:34,15:47,18:39,19:49
109,19/4/2017,4:59,5:09,6:22,12:34,15:48,18:38,19:49
110,20/4/2017,4:58,5:08,6:22,12:34,15:48,18:38,19:49
111,21/4/2017,4:58,5:08,6:22,12:33,15:48,18:38,19:49
112,22/4/2017,4:57,5:07,6:21,12:33,15:48,18:38,19:49
113,23/4/2017,4:57,5:07,6:21,12:33,15:49,18:38,19:49
114,24/4/2017,4:57,5:07,6:21,12:33,15:49,18:38,19:49
115,25/4/2017,4:56,5:06,6:21,12:33,15:49,18:38,19:49
116,26/4/2017,4:56,5:06,6:20,12:33,15:49,18:38,19:49
117,27/4/2017,4:56,5:06,6:20,12:32,15:49,18:38,19:49
118,28/4/2017,4:55,5:05,6:20,12:32,15:50,18:38,19:49
119,29/4/2017,4:55,5:05,6:20,12:32,15:50,18:37,19:49
120,30/4/2017,4:55,5:05,6:19,12:32,15:50,18:37,19:49
121,1/5/2017,4:54,5:04,6:19,12:32,15:50,18:37,19:49
122,2/5/2017,4:54,5:04,6:19,12:32,15:51,18:37,19:49
123,3/5/2017,4:54,5:04,6:19,12:32,15:51,18:37,19:49
124,4/5/2017,4:53,5:03,6:19,12:32,15:51,18:37,19:49
125,5/5/2017,4:53,5:03,6:19,12:31,15:51,18:37,19:49
126,6/5/2017,4:53,5:03,6:18,12:31,15:51,18:37,19:49
127,7/5/2017,4:53,5:03,6:18,12:31,15:52,18:37,19:49
128,8/5/2017,4:52,5:02,6:18,12:31,15:52,18:37,19:50
129,9/5/2017,4:52,5:02,6:18,12:31,15:52,18:37,19:50
130,10/5/2017,4:52,5:02,6:18,12:31,15:52,18:37,19:50
131,11/5/2017,4:52,5:02,6:18,12:31,15:52,18:37,19:50
132,12/5/2017,4:51,5:01,6:18,12:31,15:53,18:37,19:50
133,13/5/2017,4:51,5:01,6:18,12:31,15:53,18:37,19:50
134,14/5/2017,4:51,5:01,6:18,12:31,15:53,18:37,19:50
135,15/5/2017,4:51,5:01,6:18,12:31,15:53,18:37,19:51
136,16/5/2017,4:51,5:01,6:18,12:31,15:54,18:38,19:51
137,17/5/2017,4:51,5:01,6:18,12:31,15:54,18:38,19:51
138,18/5/2017,4:50,5:00,6:18,12:31,15:54,18:38,19:51
139,19/5/2017,4:50,5:00,6:18,12:31,15:54,18:38,19:51
140,20/5/2017,4:50,5:00,6:18,12:31,15:54,18:38,19:52
141,21/5/2017,4:50,5:00,6:18,12:31,15:55,18:38,19:52
142,22/5/2017,4:50,5:00,6:18,12:31,15:55,18:38,19:52
143,23/5/2017,4:50,5:00,6:18,12:32,15:55,18:38,19:52
144,24/5/2017,4:50,5:00,6:18,12:32,15:55,18:38,19:52
145,25/5/2017,4:50,5:00,6:18,12:32,15:56,18:39,19:53
146,26/5/2017,4:50,5:00,6:18,12:32,15:56,18:39,19:53
147,27/5/2017,4:50,5:00,6:18,12:32,15:56,18:39,19:53
148,28/5/2017,4:50,5:00,6:18,12:32,15:56,18:39,19:53
149,29/5/2017,4:50,5:00,6:18,12:32,15:57,18:39,19:54
150,30/5/2017,4:50,5:00,6:18,12:32,15:57,18:39,19:54
151,31/5/2017,4:50,5:00,6:18,12:32,15:57,18:40,19:54
152,1/6/2017,4:50,5:00,6:18,12:33,15:57,18:40,19:55
153,2/6/2017,4:50,5:00,6:18,12:33,15:58,18:40,19:55
154,3/6/2017,4:50,5:00,6:19,12:33,15:58,18:40,19:55
155,4/6/2017,4:50,5:00,6:19,12:33,15:58,18:40,19:55
156,5/6/2017,4:50,5:00,6:19,12:33,15:58,18:41,19:56
157,6/6/2017,4:50,5:00,6:19,12:33,15:59,18:41,19:56
158,7/6/2017,4:50,5:00,6:19,12:34,15:59,18:41,19:56
159,8/6/2017,4:50,5:00,6:19,12:34,15:59,18:41,19:56
160,9/6/2017,4:50,5:00,6:20,12:34,15:59,18:41,19:57
161,10/6/2017,4:51,5:01,6:20,12:34,16:00,18:42,19:57
162,11/6/2017,4:51,5:01,6:20,12:34,16:00,18:42,19:57
163,12/6/2017,4:51,5:01,6:20,12:35,16:00,18:42,19:57
164,13/6/2017,4:51,5:01,6:20,12:35,16:00,18:42,19:58
165,14/6/2017,4:51,5:01,6:20,12:35,16:01,18:42,19:58
166,15/6/2017,4:51,5:01,6:21,12:35,16:01,18:43,19:58
167,16/6/2017,4:52,5:02,6:21,12:35,16:01,18:43,19:58
168,17/6/2017,4:52,5:02,6:21,12:36,16:01,18:43,19:59
169,18/6/2017,4:52,5:02,6:21,12:36,16:02,18:43,19:59
170,19/6/2017,4:52,5:02,6:22,12:36,16:02,18:44,19:59
171,20/6/2017,4:52,5:02,6:22,12:36,16:02,18:44,19:59
172,21/6/2017,4:53,5:03,6:22,12:37,16:02,18:44,20:00
173,22/6/2017,4:53,5:03,6:22,12:37,16:02,18:44,20:00
174,23/6/2017,4:53,5:03,6:22,12:37,16:03,18:44,20:00
175,24/6/2017,4:53,5:03,6:23,12:37,16:03,18:45,20:00
176,25/6/2017,4:53,5:03,6:23,12:37,16:03,18:45,20:00
177,26/6/2017,4:54,5:04,6:23,12:38,16:03,18:45,20:01
178,27/6/2017,4:54,5:04,6:23,12:38,16:03,18:45,20:01
179,28/6/2017,4:54,5:04,6:24,12:38,16:04,18:45,20:01
180,29/6/2017,4:54,5:04,6:24,12:38,16:04,18:46,20:01
181,30/6/2017,4:55,5:05,6:24,12:38,16:04,18:46,20:01
182,1/7/2017,4:55,5:05,6:24,12:39,16:04,18:46,20:01
183,2/7/2017,4:55,5:05,6:24,12:39,16:04,18:46,20:01
184,3/7/2017,4:55,5:05,6:25,12:39,16:04,18:46,20:02
185,4/7/2017,4:56,5:06,6:25,12:39,16:04,18:47,20:02
186,5/7/2017,4:56,5:06,6:25,12:39,16:05,18:47,20:02
187,6/7/2017,4:56,5:06,6:25,12:40,16:05,18:47,20:02
188,7/7/2017,4:57,5:07,6:25,12:40,16:05,18:47,20:02
189,8/7/2017,4:57,5:07,6:26,12:40,16:05,18:47,20:02
190,9/7/2017,4:57,5:07,6:26,12:40,16:05,18:47,20:02
191,10/7/2017,4:57,5:07,6:26,12:40,16:05,18:47,20:02
192,11/7/2017,4:58,5:08,6:26,12:40,16:05,18:47,20:02
193,12/7/2017,4:58,5:08,6:26,12:40,16:05,18:47,20:02
194,13/7/2017,4:58,5:08,6:26,12:41,16:05,18:48,20:02
195,14/7/2017,4:58,5:08,6:27,12:41,16:05,18:48,20:02
196,15/7/2017,4:59,5:09,6:27,12:41,16:05,18:48,20:02
197,16/7/2017,4:59,5:09,6:27,12:41,16:05,18:48,20:02
198,17/7/2017,4:59,5:09,6:27,12:41,16:05,18:48,20:02
199,18/7/2017,4:59,5:09,6:27,12:41,16:05,18:48,20:02
200,19/7/2017,4:59,5:09,6:27,12:41,16:05,18:48,20:02
201,20/7/2017,5:00,5:10,6:27,12:41,16:05,18:48,20:02
202,21/7/2017,5:00,5:10,6:27,12:41,16:05,18:48,20:02
203,22/7/2017,5:00,5:10,6:27,12:41,16:04,18:48,20:02
204,23/7/2017,5:00,5:10,6:28,12:41,16:04,18:48,20:01
205,24/7/2017,5:00,5:10,6:28,12:41,16:04,18:48,20:01
206,25/7/2017,5:01,5:11,6:28,12:41,16:04,18:48,20:01
207,26/7/2017,5:01,5:11,6:28,12:41,16:04,18:48,20:01
208,27/7/2017,5:01,5:11,6:28,12:41,16:04,18:48,20:01
209,28/7/2017,5:01,5:11,6:28,12:41,16:03,18:48,20:01
210,29/7/2017,5:01,5:11,6:28,12:41,16:03,18:48,20:00
211,30/7/2017,5:01,5:11,6:28,12:41,16:03,18:47,20:00
212,31/7/2017,5:02,5:12,6:28,12:41,16:03,18:47,20:00
213,1/8/2017,5:02,5:12,6:28,12:41,16:02,18:47,20:00
214,2/8/2017,5:02,5:12,6:28,12:41,16:02,18:47,20:00
215,3/8/2017,5:02,5:12,6:28,12:41,16:02,18:47,19:59
216,4/8/2017,5:02,5:12,6:28,12:41,16:01,18:47,19:59
217,5/8/2017,5:02,5:12,6:28,12:41,16:01,18:47,19:59
218,6/8/2017,5:02,5:12,6:28,12:41,16:01,18:46,19:58
219,7/8/2017,5:02,5:12,6:28,12:41,16:00,18:46,19:58
220,8/8/2017,5:02,5:12,6:28,12:40,16:00,18:46,19:58
221,9/8/2017,5:02,5:12,6:28,12:40,15:59,18:46,19:58
222,10/8/2017,5:02,5:12,6:27,12:40,15:59,18:46,19:57
223,11/8/2017,5:03,5:13,6:27,12:40,15:58,18:45,19:57
224,12/8/2017,5:03,5:13,6:27,12:40,15:58,18:45,19:57
225,13/8/2017,5:03,5:13,6:27,12:40,15:57,18:45,19:56
226,14/8/2017,5:03,5:13,6:27,12:39,15:57,18:45,19:56
227,15/8/2017,5:03,5:13,6:27,12:39,15:56,18:44,19:55
228,16/8/2017,5:03,5:13,6:27,12:39,15:56,18:44,19:55
229,17/8/2017,5:03,5:13,6:27,12:39,15:55,18:44,19:55
230,18/8/2017,5:02,5:12,6:27,12:39,15:54,18:44,19:54
231,19/8/2017,5:02,5:12,6:26,12:38,15:54,18:43,19:54
232,20/8/2017,5:02,5:12,6:26,12:38,15:53,18:43,19:54
233,21/8/2017,5:02,5:12,6:26,12:38,15:52,18:43,19:53
234,22/8/2017,5:02,5:12,6:26,12:38,15:52,18:42,19:53
235,23/8/2017,5:02,5:12,6:26,12:37,15:51,18:42,19:52
236,24/8/2017,5:02,5:12,6:25,12:37,15:50,18:42,19:52
237,25/8/2017,5:02,5:12,6:25,12:37,15:49,18:41,19:51
238,26/8/2017,5:02,5:12,6:25,12:37,15:49,18:41,19:51
239,27/8/2017,5:02,5:12,6:25,12:36,15:48,18:41,19:51
240,28/8/2017,5:02,5:12,6:25,12:36,15:47,18:40,19:50
241,29/8/2017,5:01,5:11,6:24,12:36,15:46,18:40,19:50
242,30/8/2017,5:01,5:11,6:24,12:35,15:45,18:39,19:49
243,31/8/2017,5:01,5:11,6:24,12:35,15:44,18:39,19:49
244,1/9/2017,5:01,5:11,6:24,12:35,15:44,18:39,19:48
245,2/9/2017,5:01,5:11,6:23,12:34,15:43,18:38,19:48
246,3/9/2017,5:01,5:11,6:23,12:34,15:42,18:38,19:47
247,4/9/2017,5:00,5:10,6:23,12:34,15:41,18:37,19:47
248,5/9/2017,5:00,5:10,6:23,12:33,15:40,18:37,19:46
249,6/9/2017,5:00,5:10,6:22,12:33,15:39,18:37,19:46
250,7/9/2017,5:00,5:10,6:22,12:33,15:38,18:36,19:45
251,8/9/2017,5:00,5:10,6:22,12:32,15:37,18:36,19:45
252,9/9/2017,4:59,5:09,6:22,12:32,15:36,18:35,19:44
253,10/9/2017,4:59,5:09,6:21,12:32,15:35,18:35,19:44
254,11/9/2017,4:59,5:09,6:21,12:31,15:34,18:35,19:44
255,12/9/2017,4:59,5:09,6:21,12:31,15:33,18:34,19:43
256,13/9/2017,4:59,5:09,6:21,12:31,15:31,18:34,19:43
257,14/9/2017,4:58,5:08,6:20,12:30,15:30,18:33,19:42
258,15/9/2017,4:58,5:08,6:20,12:30,15:29,18:33,19:42
259,16/9/2017,4:58,5:08,6:20,12:30,15:29,18:32,19:41
260,17/9/2017,4:58,5:08,6:19,12:29,15:30,18:32,19:41
261,18/9/2017,4:57,5:07,6:19,12:29,15:30,18:31,19:40
262,19/9/2017,4:57,5:07,6:19,12:29,15:31,18:31,19:40
263,20/9/2017,4:57,5:07,6:19,12:28,15:31,18:31,19:39
264,21/9/2017,4:57,5:07,6:18,12:28,15:31,18:30,19:39
265,22/9/2017,4:56,5:06,6:18,12:27,15:31,18:30,19:39
266,23/9/2017,4:56,5:06,6:18,12:27,15:32,18:29,19:38
267,24/9/2017,4:56,5:06,6:17,12:27,15:32,18:29,19:38
268,25/9/2017,4:55,5:05,6:17,12:26,15:32,18:28,19:37
269,26/9/2017,4:55,5:05,6:17,12:26,15:33,18:28,19:37
270,27/9/2017,4:55,5:05,6:17,12:26,15:33,18:28,19:36
271,28/9/2017,4:55,5:05,6:16,12:25,15:33,18:27,19:36
272,29/9/2017,4:54,5:04,6:16,12:25,15:33,18:27,19:36
273,30/9/2017,4:54,5:04,6:16,12:25,15:33,18:26,19:35
274,1/10/2017,4:54,5:04,6:16,12:24,15:34,18:26,19:35
275,2/10/2017,4:54,5:04,6:15,12:24,15:34,18:26,19:34
276,3/10/2017,4:53,5:03,6:15,12:24,15:34,18:25,19:34
277,4/10/2017,4:53,5:03,6:15,12:23,15:34,18:25,19:34
278,5/10/2017,4:53,5:03,6:15,12:23,15:34,18:24,19:33
279,6/10/2017,4:52,5:02,6:15,12:23,15:35,18:24,19:33
280,7/10/2017,4:52,5:02,6:14,12:23,15:35,18:24,19:33
281,8/10/2017,4:52,5:02,6:14,12:22,15:35,18:23,19:32
282,9/10/2017,4:52,5:02,6:14,12:22,15:35,18:23,19:32
283,10/10/2017,4:51,5:01,6:14,12:22,15:35,18:23,19:32
284,11/10/2017,4:51,5:01,6:13,12:21,15:35,18:22,19:32
285,12/10/2017,4:51,5:01,6:13,12:21,15:35,18:22,19:31
286,13/10/2017,4:51,5:01,6:13,12:21,15:36,18:22,19:31
287,14/10/2017,4:50,5:00,6:13,12:21,15:36,18:21,19:31
288,15/10/2017,4:50,5:00,6:13,12:21,15:36,18:21,19:31
289,16/10/2017,4:50,5:00,6:13,12:20,15:36,18:21,19:30
290,17/10/2017,4:50,5:00,6:13,12:20,15:36,18:21,19:30
291,18/10/2017,4:50,5:00,6:12,12:20,15:36,18:20,19:30
292,19/10/2017,4:49,4:59,6:12,12:20,15:36,18:20,19:30
293,20/10/2017,4:49,4:59,6:12,12:20,15:37,18:20,19:30
294,21/10/2017,4:49,4:59,6:12,12:19,15:37,18:20,19:29
295,22/10/2017,4:49,4:59,6:12,12:19,15:37,18:19,19:29
296,23/10/2017,4:49,4:59,6:12,12:19,15:37,18:19,19:29
297,24/10/2017,4:48,4:58,6:12,12:19,15:37,18:19,19:29
298,25/10/2017,4:48,4:58,6:12,12:19,15:37,18:19,19:29
299,26/10/2017,4:48,4:58,6:12,12:19,15:37,18:19,19:29
300,27/10/2017,4:48,4:58,6:12,12:19,15:37,18:18,19:29
301,28/10/2017,4:48,4:58,6:12,12:19,15:38,18:18,19:29
302,29/10/2017,4:48,4:58,6:12,12:18,15:38,18:18,19:29
303,30/10/2017,4:48,4:58,6:12,12:18,15:38,18:18,19:29
304,31/10/2017,4:48,4:58,6:12,12:18,15:38,18:18,19:29
305,1/11/2017,4:48,4:58,6:12,12:18,15:38,18:18,19:29
306,2/11/2017,4:47,4:57,6:12,12:18,15:38,18:18,19:29
307,3/11/2017,4:47,4:57,6:12,12:18,15:39,18:18,19:29
308,4/11/2017,4:47,4:57,6:12,12:18,15:39,18:18,19:29
309,5/11/2017,4:47,4:57,6:12,12:18,15:39,18:18,19:29
310,6/11/2017,4:47,4:57,6:12,12:18,15:39,18:18,19:29
311,7/11/2017,4:47,4:57,6:12,12:18,15:39,18:18,19:29
312,8/11/2017,4:47,4:57,6:12,12:19,15:40,18:18,19:29
313,9/11/2017,4:47,4:57,6:12,12:19,15:40,18:18,19:29
314,10/11/2017,4:47,4:57,6:13,12:19,15:40,18:18,19:30
315,11/11/2017,4:47,4:57,6:13,12:19,15:40,18:18,19:30
316,12/11/2017,4:47,4:57,6:13,12:19,15:40,18:18,19:30
317,13/11/2017,4:47,4:57,6:13,12:19,15:41,18:18,19:30
318,14/11/2017,4:48,4:58,6:13,12:19,15:41,18:18,19:30
319,15/11/2017,4:48,4:58,6:14,12:19,15:41,18:18,19:30
320,16/11/2017,4:48,4:58,6:14,12:20,15:42,18:18,19:31
321,17/11/2017,4:48,4:58,6:14,12:20,15:42,18:18,19:31
322,18/11/2017,4:48,4:58,6:14,12:20,15:42,18:18,19:31
323,19/11/2017,4:48,4:58,6:15,12:20,15:42,18:19,19:32
324,20/11/2017,4:48,4:58,6:15,12:20,15:43,18:19,19:32
325,21/11/2017,4:48,4:58,6:15,12:21,15:43,18:19,19:32
326,22/11/2017,4:49,4:59,6:15,12:21,15:43,18:19,19:32
327,23/11/2017,4:49,4:59,6:16,12:21,15:44,18:19,19:33
328,24/11/2017,4:49,4:59,6:16,12:21,15:44,18:20,19:33
329,25/11/2017,4:49,4:59,6:16,12:22,15:44,18:20,19:33
330,26/11/2017,4:50,5:00,6:17,12:22,15:45,18:20,19:34
331,27/11/2017,4:50,5:00,6:17,12:22,15:45,18:21,19:34
332,28/11/2017,4:50,5:00,6:18,12:23,15:45,18:21,19:35
333,29/11/2017,4:50,5:00,6:18,12:23,15:46,18:21,19:35
334,30/11/2017,4:51,5:01,6:18,12:23,15:46,18:21,19:35
335,1/12/2017,4:51,5:01,6:19,12:24,15:47,18:22,19:36
336,2/12/2017,4:51,5:01,6:19,12:24,15:47,18:22,19:36
337,3/12/2017,4:52,5:02,6:20,12:25,15:48,18:23,19:37
338,4/12/2017,4:52,5:02,6:20,12:25,15:48,18:23,19:37
339,5/12/2017,4:52,5:02,6:20,12:25,15:48,18:23,19:38
340,6/12/2017,4:53,5:03,6:21,12:26,15:49,18:24,19:38
341,7/12/2017,4:53,5:03,6:21,12:26,15:49,18:24,19:39
342,8/12/2017,4:54,5:04,6:22,12:27,15:50,18:24,19:39
343,9/12/2017,4:54,5:04,6:22,12:27,15:50,18:25,19:39
344,10/12/2017,4:54,5:04,6:23,12:28,15:51,18:25,19:40
345,11/12/2017,4:55,5:05,6:23,12:28,15:51,18:26,19:40
346,12/12/2017,4:55,5:05,6:24,12:29,15:52,18:26,19:41
347,13/12/2017,4:56,5:06,6:24,12:29,15:52,18:27,19:41
348,14/12/2017,4:56,5:06,6:25,12:29,15:53,18:27,19:42
349,15/12/2017,4:57,5:07,6:25,12:30,15:53,18:28,19:42
350,16/12/2017,4:57,5:07,6:26,12:30,15:54,18:28,19:43
351,17/12/2017,4:57,5:07,6:26,12:31,15:54,18:29,19:43
352,18/12/2017,4:58,5:08,6:27,12:31,15:55,18:29,19:44
353,19/12/2017,4:58,5:08,6:27,12:32,15:55,18:30,19:44
354,20/12/2017,4:59,5:09,6:28,12:32,15:56,18:30,19:45
355,21/12/2017,4:59,5:09,6:28,12:33,15:56,18:31,19:45
356,22/12/2017,5:00,5:10,6:29,12:33,15:57,18:31,19:46
357,23/12/2017,5:00,5:10,6:29,12:34,15:57,18:32,19:46
358,24/12/2017,5:01,5:11,6:30,12:34,15:58,18:32,19:47
359,25/12/2017,5:01,5:11,6:30,12:35,15:58,18:33,19:47
360,26/12/2017,5:02,5:12,6:31,12:35,15:58,18:33,19:48
361,27/12/2017,5:02,5:12,6:31,12:36,15:59,18:34,19:48
362,28/12/2017,5:03,5:13,6:31,12:36,15:59,18:34,19:49
363,29/12/2017,5:03,5:13,6:32,12:37,16:00,18:35,19:49
364,30/12/2017,5:04,5:14,6:32,12:37,16:00,18:35,19:50
365,31/12/2017,5:04,5:14,6:33,12:38,16:01,18:36,19:50
