,,,,,,,,
,,,,,,,,
"  Zon : Zon 2 - Niah, Bekenu, Miri, Sibuti, Marudi",,,,,,,,
43,12/2/2017,5:11,5:21,6:35,12:41,16:00,18:40,19:50
44,13/2/2017,5:11,5:21,6:35,12:41,16:00,18:40,19:50
45,14/2/2017,5:11,5:21,6:35,12:41,16:00,18:40,19:50
46,15/2/2017,5:11,5:21,6:35,12:41,16:00,18:40,19:50
47,16/2/2017,5:11,5:21,6:35,12:41,15:59,18:40,19:50
48,17/2/2017,5:11,5:21,6:34,12:41,15:59,18:40,19:50
49,18/2/2017,5:11,5:21,6:34,12:41,15:59,18:40,19:50
50,19/2/2017,5:11,5:21,6:34,12:41,15:58,18:40,19:50
51,20/2/2017,5:11,5:21,6:34,12:40,15:58,18:40,19:50
52,21/2/2017,5:11,5:21,6:34,12:40,15:58,18:40,19:50
53,22/2/2017,5:11,5:21,6:33,12:40,15:57,18:40,19:50
54,23/2/2017,5:10,5:20,6:33,12:40,15:57,18:40,19:49
55,24/2/2017,5:10,5:20,6:33,12:40,15:56,18:40,19:49
56,25/2/2017,5:10,5:20,6:33,12:40,15:56,18:40,19:49
57,26/2/2017,5:10,5:20,6:32,12:40,15:56,18:40,19:49
58,27/2/2017,5:10,5:20,6:32,12:39,15:55,18:39,19:49
59,28/2/2017,5:09,5:19,6:32,12:39,15:55,18:39,19:49
60,1/3/2017,5:09,5:19,6:32,12:39,15:54,18:39,19:49
61,2/3/2017,5:09,5:19,6:31,12:39,15:53,18:39,19:48
62,3/3/2017,5:09,5:19,6:31,12:39,15:53,18:39,19:48
63,4/3/2017,5:08,5:18,6:31,12:38,15:52,18:39,19:48
64,5/3/2017,5:08,5:18,6:30,12:38,15:52,18:39,19:48
65,6/3/2017,5:08,5:18,6:30,12:38,15:51,18:39,19:48
66,7/3/2017,5:08,5:18,6:30,12:38,15:50,18:39,19:48
67,8/3/2017,5:07,5:17,6:29,12:37,15:50,18:38,19:47
68,9/3/2017,5:07,5:17,6:29,12:37,15:49,18:38,19:47
69,10/3/2017,5:07,5:17,6:29,12:37,15:48,18:38,19:47
70,11/3/2017,5:06,5:16,6:28,12:37,15:47,18:38,19:47
71,12/3/2017,5:06,5:16,6:28,12:36,15:47,18:38,19:47
72,13/3/2017,5:06,5:16,6:27,12:36,15:46,18:38,19:47
73,14/3/2017,5:05,5:15,6:27,12:36,15:45,18:38,19:46
74,15/3/2017,5:05,5:15,6:27,12:36,15:44,18:37,19:46
75,16/3/2017,5:04,5:14,6:26,12:35,15:44,18:37,19:46
76,17/3/2017,5:04,5:14,6:26,12:35,15:43,18:37,19:46
77,18/3/2017,5:04,5:14,6:26,12:35,15:42,18:37,19:46
78,19/3/2017,5:03,5:13,6:25,12:34,15:41,18:37,19:45
79,20/3/2017,5:03,5:13,6:25,12:34,15:40,18:36,19:45
80,21/3/2017,5:02,5:12,6:24,12:34,15:39,18:36,19:45
81,22/3/2017,5:02,5:12,6:24,12:34,15:38,18:36,19:45
82,23/3/2017,5:02,5:12,6:24,12:33,15:37,18:36,19:45
83,24/3/2017,5:01,5:11,6:23,12:33,15:36,18:36,19:45
84,25/3/2017,5:01,5:11,6:23,12:33,15:35,18:35,19:44
85,26/3/2017,5:00,5:10,6:22,12:32,15:34,18:35,19:44
86,27/3/2017,5:00,5:10,6:22,12:32,15:33,18:35,19:44
87,28/3/2017,4:59,5:09,6:21,12:32,15:32,18:35,19:44
88,29/3/2017,4:59,5:09,6:21,12:31,15:31,18:35,19:44
89,30/3/2017,4:59,5:09,6:21,12:31,15:31,18:35,19:44
90,31/3/2017,4:58,5:08,6:20,12:31,15:31,18:34,19:43
91,1/4/2017,4:58,5:08,6:20,12:31,15:32,18:34,19:43
92,2/4/2017,4:57,5:07,6:19,12:30,15:32,18:34,19:43
93,3/4/2017,4:57,5:07,6:19,12:30,15:33,18:34,19:43
94,4/4/2017,4:56,5:06,6:19,12:30,15:33,18:34,19:43
95,5/4/2017,4:56,5:06,6:18,12:29,15:34,18:33,19:43
96,6/4/2017,4:55,5:05,6:18,12:29,15:34,18:33,19:43
97,7/4/2017,4:55,5:05,6:17,12:29,15:34,18:33,19:43
98,8/4/2017,4:54,5:04,6:17,12:29,15:35,18:33,19:42
99,9/4/2017,4:54,5:04,6:17,12:28,15:35,18:33,19:42
100,10/4/2017,4:54,5:04,6:16,12:28,15:36,18:33,19:42
101,11/4/2017,4:53,5:03,6:16,12:28,15:36,18:32,19:42
102,12/4/2017,4:53,5:03,6:16,12:27,15:36,18:32,19:42
103,13/4/2017,4:52,5:02,6:15,12:27,15:37,18:32,19:42
104,14/4/2017,4:52,5:02,6:15,12:27,15:37,18:32,19:42
105,15/4/2017,4:51,5:01,6:15,12:27,15:37,18:32,19:42
106,16/4/2017,4:51,5:01,6:14,12:26,15:38,18:32,19:42
107,17/4/2017,4:50,5:00,6:14,12:26,15:38,18:32,19:42
108,18/4/2017,4:50,5:00,6:14,12:26,15:38,18:31,19:42
109,19/4/2017,4:50,5:00,6:13,12:26,15:38,18:31,19:42
110,20/4/2017,4:49,4:59,6:13,12:26,15:39,18:31,19:42
111,21/4/2017,4:49,4:59,6:13,12:25,15:39,18:31,19:42
112,22/4/2017,4:48,4:58,6:12,12:25,15:39,18:31,19:42
113,23/4/2017,4:48,4:58,6:12,12:25,15:40,18:31,19:42
114,24/4/2017,4:48,4:58,6:12,12:25,15:40,18:31,19:42
115,25/4/2017,4:47,4:57,6:11,12:25,15:40,18:31,19:42
116,26/4/2017,4:47,4:57,6:11,12:24,15:40,18:31,19:42
117,27/4/2017,4:46,4:56,6:11,12:24,15:41,18:31,19:42
118,28/4/2017,4:46,4:56,6:11,12:24,15:41,18:31,19:42
119,29/4/2017,4:46,4:56,6:10,12:24,15:41,18:30,19:42
120,30/4/2017,4:45,4:55,6:10,12:24,15:41,18:30,19:42
121,1/5/2017,4:45,4:55,6:10,12:24,15:42,18:30,19:42
122,2/5/2017,4:45,4:55,6:10,12:24,15:42,18:30,19:42
123,3/5/2017,4:44,4:54,6:10,12:24,15:42,18:30,19:42
124,4/5/2017,4:44,4:54,6:09,12:23,15:42,18:30,19:42
125,5/5/2017,4:44,4:54,6:09,12:23,15:43,18:30,19:43
126,6/5/2017,4:43,4:53,6:09,12:23,15:43,18:30,19:43
127,7/5/2017,4:43,4:53,6:09,12:23,15:43,18:30,19:43
128,8/5/2017,4:43,4:53,6:09,12:23,15:43,18:30,19:43
129,9/5/2017,4:43,4:53,6:09,12:23,15:44,18:30,19:43
130,10/5/2017,4:42,4:52,6:09,12:23,15:44,18:31,19:43
131,11/5/2017,4:42,4:52,6:08,12:23,15:44,18:31,19:43
132,12/5/2017,4:42,4:52,6:08,12:23,15:44,18:31,19:44
133,13/5/2017,4:42,4:52,6:08,12:23,15:45,18:31,19:44
134,14/5/2017,4:41,4:51,6:08,12:23,15:45,18:31,19:44
135,15/5/2017,4:41,4:51,6:08,12:23,15:45,18:31,19:44
136,16/5/2017,4:41,4:51,6:08,12:23,15:45,18:31,19:44
137,17/5/2017,4:41,4:51,6:08,12:23,15:46,18:31,19:45
138,18/5/2017,4:41,4:51,6:08,12:23,15:46,18:31,19:45
139,19/5/2017,4:41,4:51,6:08,12:23,15:46,18:31,19:45
140,20/5/2017,4:40,4:50,6:08,12:23,15:46,18:31,19:45
141,21/5/2017,4:40,4:50,6:08,12:23,15:47,18:32,19:45
142,22/5/2017,4:40,4:50,6:08,12:23,15:47,18:32,19:46
143,23/5/2017,4:40,4:50,6:08,12:23,15:47,18:32,19:46
144,24/5/2017,4:40,4:50,6:08,12:24,15:47,18:32,19:46
145,25/5/2017,4:40,4:50,6:08,12:24,15:48,18:32,19:46
146,26/5/2017,4:40,4:50,6:08,12:24,15:48,18:32,19:47
147,27/5/2017,4:40,4:50,6:08,12:24,15:48,18:32,19:47
148,28/5/2017,4:40,4:50,6:08,12:24,15:48,18:33,19:47
149,29/5/2017,4:40,4:50,6:08,12:24,15:49,18:33,19:48
150,30/5/2017,4:40,4:50,6:08,12:24,15:49,18:33,19:48
151,31/5/2017,4:40,4:50,6:08,12:24,15:49,18:33,19:48
152,1/6/2017,4:40,4:50,6:09,12:25,15:49,18:33,19:48
153,2/6/2017,4:40,4:50,6:09,12:25,15:50,18:34,19:49
154,3/6/2017,4:40,4:50,6:09,12:25,15:50,18:34,19:49
155,4/6/2017,4:40,4:50,6:09,12:25,15:50,18:34,19:49
156,5/6/2017,4:40,4:50,6:09,12:25,15:50,18:34,19:49
157,6/6/2017,4:40,4:50,6:09,12:25,15:51,18:34,19:50
158,7/6/2017,4:40,4:50,6:09,12:26,15:51,18:35,19:50
159,8/6/2017,4:40,4:50,6:10,12:26,15:51,18:35,19:50
160,9/6/2017,4:40,4:50,6:10,12:26,15:52,18:35,19:51
161,10/6/2017,4:40,4:50,6:10,12:26,15:52,18:35,19:51
162,11/6/2017,4:41,4:51,6:10,12:26,15:52,18:36,19:51
163,12/6/2017,4:41,4:51,6:10,12:27,15:52,18:36,19:51
164,13/6/2017,4:41,4:51,6:10,12:27,15:53,18:36,19:52
165,14/6/2017,4:41,4:51,6:11,12:27,15:53,18:36,19:52
166,15/6/2017,4:41,4:51,6:11,12:27,15:53,18:36,19:52
167,16/6/2017,4:41,4:51,6:11,12:27,15:53,18:37,19:52
168,17/6/2017,4:42,4:52,6:11,12:28,15:54,18:37,19:53
169,18/6/2017,4:42,4:52,6:11,12:28,15:54,18:37,19:53
170,19/6/2017,4:42,4:52,6:12,12:28,15:54,18:37,19:53
171,20/6/2017,4:42,4:52,6:12,12:28,15:54,18:38,19:53
172,21/6/2017,4:42,4:52,6:12,12:28,15:54,18:38,19:54
173,22/6/2017,4:43,4:53,6:12,12:29,15:55,18:38,19:54
174,23/6/2017,4:43,4:53,6:13,12:29,15:55,18:38,19:54
175,24/6/2017,4:43,4:53,6:13,12:29,15:55,18:38,19:54
176,25/6/2017,4:43,4:53,6:13,12:29,15:55,18:39,19:54
177,26/6/2017,4:44,4:54,6:13,12:30,15:55,18:39,19:55
178,27/6/2017,4:44,4:54,6:13,12:30,15:56,18:39,19:55
179,28/6/2017,4:44,4:54,6:14,12:30,15:56,18:39,19:55
180,29/6/2017,4:44,4:54,6:14,12:30,15:56,18:39,19:55
181,30/6/2017,4:45,4:55,6:14,12:30,15:56,18:40,19:55
182,1/7/2017,4:45,4:55,6:14,12:31,15:56,18:40,19:55
183,2/7/2017,4:45,4:55,6:14,12:31,15:56,18:40,19:55
184,3/7/2017,4:45,4:55,6:15,12:31,15:56,18:40,19:56
185,4/7/2017,4:46,4:56,6:15,12:31,15:57,18:40,19:56
186,5/7/2017,4:46,4:56,6:15,12:31,15:57,18:40,19:56
187,6/7/2017,4:46,4:56,6:15,12:31,15:57,18:41,19:56
188,7/7/2017,4:46,4:56,6:16,12:32,15:57,18:41,19:56
189,8/7/2017,4:47,4:57,6:16,12:32,15:57,18:41,19:56
190,9/7/2017,4:47,4:57,6:16,12:32,15:57,18:41,19:56
191,10/7/2017,4:47,4:57,6:16,12:32,15:57,18:41,19:56
192,11/7/2017,4:48,4:58,6:16,12:32,15:57,18:41,19:56
193,12/7/2017,4:48,4:58,6:16,12:32,15:57,18:41,19:56
194,13/7/2017,4:48,4:58,6:17,12:32,15:57,18:41,19:56
195,14/7/2017,4:48,4:58,6:17,12:33,15:57,18:41,19:56
196,15/7/2017,4:49,4:59,6:17,12:33,15:57,18:41,19:56
197,16/7/2017,4:49,4:59,6:17,12:33,15:57,18:41,19:56
198,17/7/2017,4:49,4:59,6:17,12:33,15:57,18:41,19:56
199,18/7/2017,4:49,4:59,6:17,12:33,15:57,18:41,19:56
200,19/7/2017,4:50,5:00,6:18,12:33,15:57,18:41,19:56
201,20/7/2017,4:50,5:00,6:18,12:33,15:57,18:41,19:56
202,21/7/2017,4:50,5:00,6:18,12:33,15:56,18:41,19:55
203,22/7/2017,4:50,5:00,6:18,12:33,15:56,18:41,19:55
204,23/7/2017,4:50,5:00,6:18,12:33,15:56,18:41,19:55
205,24/7/2017,4:51,5:01,6:18,12:33,15:56,18:41,19:55
206,25/7/2017,4:51,5:01,6:18,12:33,15:56,18:41,19:55
207,26/7/2017,4:51,5:01,6:18,12:33,15:56,18:41,19:55
208,27/7/2017,4:51,5:01,6:18,12:33,15:55,18:41,19:54
209,28/7/2017,4:51,5:01,6:18,12:33,15:55,18:41,19:54
210,29/7/2017,4:52,5:02,6:18,12:33,15:55,18:41,19:54
211,30/7/2017,4:52,5:02,6:18,12:33,15:55,18:41,19:54
212,31/7/2017,4:52,5:02,6:18,12:33,15:54,18:41,19:54
213,1/8/2017,4:52,5:02,6:18,12:33,15:54,18:40,19:53
214,2/8/2017,4:52,5:02,6:18,12:33,15:54,18:40,19:53
215,3/8/2017,4:52,5:02,6:18,12:33,15:53,18:40,19:53
216,4/8/2017,4:53,5:03,6:18,12:33,15:53,18:40,19:52
217,5/8/2017,4:53,5:03,6:18,12:33,15:52,18:40,19:52
218,6/8/2017,4:53,5:03,6:18,12:33,15:52,18:40,19:52
219,7/8/2017,4:53,5:03,6:18,12:32,15:52,18:39,19:52
220,8/8/2017,4:53,5:03,6:18,12:32,15:51,18:39,19:51
221,9/8/2017,4:53,5:03,6:18,12:32,15:51,18:39,19:51
222,10/8/2017,4:53,5:03,6:18,12:32,15:50,18:39,19:51
223,11/8/2017,4:53,5:03,6:18,12:32,15:50,18:38,19:50
224,12/8/2017,4:53,5:03,6:18,12:32,15:49,18:38,19:50
225,13/8/2017,4:53,5:03,6:18,12:32,15:49,18:38,19:49
226,14/8/2017,4:53,5:03,6:18,12:31,15:48,18:38,19:49
227,15/8/2017,4:53,5:03,6:18,12:31,15:47,18:37,19:49
228,16/8/2017,4:53,5:03,6:18,12:31,15:47,18:37,19:48
229,17/8/2017,4:53,5:03,6:18,12:31,15:46,18:37,19:48
230,18/8/2017,4:53,5:03,6:17,12:31,15:45,18:36,19:47
231,19/8/2017,4:53,5:03,6:17,12:30,15:45,18:36,19:47
232,20/8/2017,4:53,5:03,6:17,12:30,15:44,18:36,19:47
233,21/8/2017,4:53,5:03,6:17,12:30,15:43,18:35,19:46
234,22/8/2017,4:53,5:03,6:17,12:30,15:43,18:35,19:46
235,23/8/2017,4:53,5:03,6:17,12:29,15:42,18:35,19:45
236,24/8/2017,4:53,5:03,6:17,12:29,15:41,18:34,19:45
237,25/8/2017,4:53,5:03,6:16,12:29,15:40,18:34,19:44
238,26/8/2017,4:53,5:03,6:16,12:28,15:39,18:34,19:44
239,27/8/2017,4:53,5:03,6:16,12:28,15:39,18:33,19:43
240,28/8/2017,4:53,5:03,6:16,12:28,15:38,18:33,19:43
241,29/8/2017,4:53,5:03,6:16,12:28,15:37,18:32,19:42
242,30/8/2017,4:52,5:02,6:15,12:27,15:36,18:32,19:42
243,31/8/2017,4:52,5:02,6:15,12:27,15:35,18:32,19:41
244,1/9/2017,4:52,5:02,6:15,12:27,15:34,18:31,19:41
245,2/9/2017,4:52,5:02,6:15,12:26,15:33,18:31,19:40
246,3/9/2017,4:52,5:02,6:15,12:26,15:32,18:30,19:40
247,4/9/2017,4:52,5:02,6:14,12:26,15:31,18:30,19:39
248,5/9/2017,4:52,5:02,6:14,12:25,15:30,18:29,19:39
249,6/9/2017,4:51,5:01,6:14,12:25,15:29,18:29,19:38
250,7/9/2017,4:51,5:01,6:14,12:25,15:28,18:29,19:38
251,8/9/2017,4:51,5:01,6:13,12:24,15:27,18:28,19:37
252,9/9/2017,4:51,5:01,6:13,12:24,15:26,18:28,19:37
253,10/9/2017,4:51,5:01,6:13,12:24,15:25,18:27,19:36
254,11/9/2017,4:51,5:01,6:13,12:23,15:24,18:27,19:36
255,12/9/2017,4:50,5:00,6:12,12:23,15:23,18:26,19:35
256,13/9/2017,4:50,5:00,6:12,12:23,15:22,18:26,19:35
257,14/9/2017,4:50,5:00,6:12,12:22,15:23,18:25,19:34
258,15/9/2017,4:50,5:00,6:12,12:22,15:23,18:25,19:34
259,16/9/2017,4:49,4:59,6:11,12:22,15:24,18:24,19:33
260,17/9/2017,4:49,4:59,6:11,12:21,15:24,18:24,19:33
261,18/9/2017,4:49,4:59,6:11,12:21,15:24,18:24,19:32
262,19/9/2017,4:49,4:59,6:11,12:20,15:24,18:23,19:32
263,20/9/2017,4:49,4:59,6:10,12:20,15:25,18:23,19:31
264,21/9/2017,4:48,4:58,6:10,12:20,15:25,18:22,19:31
265,22/9/2017,4:48,4:58,6:10,12:19,15:25,18:22,19:31
266,23/9/2017,4:48,4:58,6:10,12:19,15:25,18:21,19:30
267,24/9/2017,4:48,4:58,6:09,12:19,15:26,18:21,19:30
268,25/9/2017,4:47,4:57,6:09,12:18,15:26,18:20,19:29
269,26/9/2017,4:47,4:57,6:09,12:18,15:26,18:20,19:29
270,27/9/2017,4:47,4:57,6:09,12:18,15:26,18:19,19:28
271,28/9/2017,4:47,4:57,6:09,12:17,15:26,18:19,19:28
272,29/9/2017,4:46,4:56,6:08,12:17,15:27,18:19,19:27
273,30/9/2017,4:46,4:56,6:08,12:17,15:27,18:18,19:27
274,1/10/2017,4:46,4:56,6:08,12:16,15:27,18:18,19:27
275,2/10/2017,4:46,4:56,6:08,12:16,15:27,18:17,19:26
276,3/10/2017,4:45,4:55,6:07,12:16,15:27,18:17,19:26
277,4/10/2017,4:45,4:55,6:07,12:15,15:27,18:16,19:25
278,5/10/2017,4:45,4:55,6:07,12:15,15:27,18:16,19:25
279,6/10/2017,4:45,4:55,6:07,12:15,15:28,18:16,19:25
280,7/10/2017,4:44,4:54,6:07,12:15,15:28,18:15,19:24
281,8/10/2017,4:44,4:54,6:06,12:14,15:28,18:15,19:24
282,9/10/2017,4:44,4:54,6:06,12:14,15:28,18:14,19:24
283,10/10/2017,4:44,4:54,6:06,12:14,15:28,18:14,19:23
284,11/10/2017,4:44,4:54,6:06,12:13,15:28,18:14,19:23
285,12/10/2017,4:43,4:53,6:06,12:13,15:28,18:13,19:23
286,13/10/2017,4:43,4:53,6:06,12:13,15:28,18:13,19:22
287,14/10/2017,4:43,4:53,6:06,12:13,15:28,18:13,19:22
288,15/10/2017,4:43,4:53,6:05,12:12,15:29,18:12,19:22
289,16/10/2017,4:43,4:53,6:05,12:12,15:29,18:12,19:22
290,17/10/2017,4:42,4:52,6:05,12:12,15:29,18:12,19:21
291,18/10/2017,4:42,4:52,6:05,12:12,15:29,18:11,19:21
292,19/10/2017,4:42,4:52,6:05,12:12,15:29,18:11,19:21
293,20/10/2017,4:42,4:52,6:05,12:11,15:29,18:11,19:21
294,21/10/2017,4:42,4:52,6:05,12:11,15:29,18:11,19:21
295,22/10/2017,4:42,4:52,6:05,12:11,15:29,18:10,19:20
296,23/10/2017,4:41,4:51,6:05,12:11,15:29,18:10,19:20
297,24/10/2017,4:41,4:51,6:05,12:11,15:29,18:10,19:20
298,25/10/2017,4:41,4:51,6:05,12:11,15:30,18:10,19:20
299,26/10/2017,4:41,4:51,6:05,12:11,15:30,18:10,19:20
300,27/10/2017,4:41,4:51,6:05,12:11,15:30,18:09,19:20
301,28/10/2017,4:41,4:51,6:05,12:10,15:30,18:09,19:20
302,29/10/2017,4:41,4:51,6:05,12:10,15:30,18:09,19:20
303,30/10/2017,4:41,4:51,6:05,12:10,15:30,18:09,19:20
304,31/10/2017,4:41,4:51,6:05,12:10,15:30,18:09,19:20
305,1/11/2017,4:41,4:51,6:05,12:10,15:30,18:09,19:20
306,2/11/2017,4:41,4:51,6:05,12:10,15:31,18:09,19:20
307,3/11/2017,4:40,4:50,6:05,12:10,15:31,18:08,19:20
308,4/11/2017,4:40,4:50,6:05,12:10,15:31,18:08,19:20
309,5/11/2017,4:40,4:50,6:05,12:10,15:31,18:08,19:20
310,6/11/2017,4:40,4:50,6:05,12:10,15:31,18:08,19:20
311,7/11/2017,4:40,4:50,6:05,12:10,15:31,18:08,19:20
312,8/11/2017,4:40,4:50,6:06,12:10,15:31,18:08,19:20
313,9/11/2017,4:41,4:51,6:06,12:11,15:32,18:08,19:20
314,10/11/2017,4:41,4:51,6:06,12:11,15:32,18:08,19:20
315,11/11/2017,4:41,4:51,6:06,12:11,15:32,18:08,19:20
316,12/11/2017,4:41,4:51,6:06,12:11,15:32,18:08,19:20
317,13/11/2017,4:41,4:51,6:06,12:11,15:33,18:08,19:21
318,14/11/2017,4:41,4:51,6:07,12:11,15:33,18:08,19:21
319,15/11/2017,4:41,4:51,6:07,12:11,15:33,18:09,19:21
320,16/11/2017,4:41,4:51,6:07,12:11,15:33,18:09,19:21
321,17/11/2017,4:41,4:51,6:07,12:12,15:33,18:09,19:21
322,18/11/2017,4:41,4:51,6:08,12:12,15:34,18:09,19:22
323,19/11/2017,4:42,4:52,6:08,12:12,15:34,18:09,19:22
324,20/11/2017,4:42,4:52,6:08,12:12,15:34,18:09,19:22
325,21/11/2017,4:42,4:52,6:09,12:13,15:35,18:09,19:23
326,22/11/2017,4:42,4:52,6:09,12:13,15:35,18:10,19:23
327,23/11/2017,4:42,4:52,6:09,12:13,15:35,18:10,19:23
328,24/11/2017,4:43,4:53,6:10,12:13,15:36,18:10,19:23
329,25/11/2017,4:43,4:53,6:10,12:14,15:36,18:10,19:24
330,26/11/2017,4:43,4:53,6:10,12:14,15:36,18:11,19:24
331,27/11/2017,4:43,4:53,6:11,12:14,15:37,18:11,19:25
332,28/11/2017,4:44,4:54,6:11,12:15,15:37,18:11,19:25
333,29/11/2017,4:44,4:54,6:11,12:15,15:37,18:11,19:25
334,30/11/2017,4:44,4:54,6:12,12:15,15:38,18:12,19:26
335,1/12/2017,4:45,4:55,6:12,12:16,15:38,18:12,19:26
336,2/12/2017,4:45,4:55,6:13,12:16,15:39,18:12,19:26
337,3/12/2017,4:45,4:55,6:13,12:17,15:39,18:13,19:27
338,4/12/2017,4:46,4:56,6:14,12:17,15:39,18:13,19:27
339,5/12/2017,4:46,4:56,6:14,12:17,15:40,18:13,19:28
340,6/12/2017,4:46,4:56,6:14,12:18,15:40,18:14,19:28
341,7/12/2017,4:47,4:57,6:15,12:18,15:41,18:14,19:29
342,8/12/2017,4:47,4:57,6:15,12:19,15:41,18:15,19:29
343,9/12/2017,4:48,4:58,6:16,12:19,15:42,18:15,19:30
344,10/12/2017,4:48,4:58,6:16,12:20,15:42,18:15,19:30
345,11/12/2017,4:48,4:58,6:17,12:20,15:42,18:16,19:31
346,12/12/2017,4:49,4:59,6:17,12:20,15:43,18:16,19:31
347,13/12/2017,4:49,4:59,6:18,12:21,15:43,18:17,19:32
348,14/12/2017,4:50,5:00,6:18,12:21,15:44,18:17,19:32
349,15/12/2017,4:50,5:00,6:19,12:22,15:44,18:18,19:33
350,16/12/2017,4:51,5:01,6:19,12:22,15:45,18:18,19:33
351,17/12/2017,4:51,5:01,6:20,12:23,15:45,18:19,19:34
352,18/12/2017,4:52,5:02,6:20,12:23,15:46,18:19,19:34
353,19/12/2017,4:52,5:02,6:21,12:24,15:46,18:20,19:35
354,20/12/2017,4:53,5:03,6:21,12:24,15:47,18:20,19:35
355,21/12/2017,4:53,5:03,6:22,12:25,15:47,18:21,19:36
356,22/12/2017,4:54,5:04,6:22,12:25,15:48,18:21,19:36
357,23/12/2017,4:54,5:04,6:23,12:26,15:48,18:22,19:37
358,24/12/2017,4:55,5:05,6:23,12:26,15:49,18:22,19:37
359,25/12/2017,4:55,5:05,6:24,12:27,15:49,18:23,19:37
360,26/12/2017,4:56,5:06,6:24,12:27,15:50,18:23,19:38
361,27/12/2017,4:56,5:06,6:25,12:28,15:50,18:24,19:38
362,28/12/2017,4:57,5:07,6:25,12:28,15:51,18:24,19:39
363,29/12/2017,4:57,5:07,6:26,12:29,15:51,18:25,19:39
364,30/12/2017,4:58,5:08,6:26,12:29,15:52,18:25,19:40
365,31/12/2017,4:58,5:08,6:27,12:30,15:52,18:26,19:40
