,,,,,,,,
,,,,,,,,
"  Zon : Gombak,H.Selangor,Rawang, H.Langat,Sepang,Petaling, S.Alam",,,,,,,,
42,11/2/2017,6:00,6:10,7:26,13:30,16:50,19:29,20:40
43,12/2/2017,6:00,6:10,7:26,13:30,16:50,19:29,20:40
44,13/2/2017,6:00,6:10,7:26,13:30,16:50,19:29,20:40
45,14/2/2017,6:00,6:10,7:26,13:30,16:49,19:29,20:40
46,15/2/2017,6:00,6:10,7:26,13:30,16:49,19:29,20:40
47,16/2/2017,6:00,6:10,7:26,13:30,16:49,19:29,20:39
48,17/2/2017,6:00,6:10,7:26,13:30,16:48,19:29,20:39
49,18/2/2017,6:00,6:10,7:26,13:30,16:48,19:29,20:39
50,19/2/2017,6:00,6:10,7:25,13:30,16:48,19:29,20:39
51,20/2/2017,6:00,6:10,7:25,13:30,16:47,19:29,20:39
52,21/2/2017,6:00,6:10,7:25,13:30,16:47,19:29,20:39
53,22/2/2017,6:00,6:10,7:25,13:29,16:47,19:29,20:39
54,23/2/2017,6:00,6:10,7:25,13:29,16:46,19:29,20:39
55,24/2/2017,5:59,6:09,7:24,13:29,16:46,19:29,20:39
56,25/2/2017,5:59,6:09,7:24,13:29,16:45,19:29,20:39
57,26/2/2017,5:59,6:09,7:24,13:29,16:45,19:29,20:38
58,27/2/2017,5:59,6:09,7:24,13:29,16:44,19:29,20:38
59,28/2/2017,5:59,6:09,7:23,13:29,16:44,19:29,20:38
60,1/3/2017,5:58,6:08,7:23,13:28,16:43,19:29,20:38
61,2/3/2017,5:58,6:08,7:23,13:28,16:43,19:29,20:38
62,3/3/2017,5:58,6:08,7:23,13:28,16:42,19:29,20:38
63,4/3/2017,5:58,6:08,7:22,13:28,16:41,19:28,20:38
64,5/3/2017,5:57,6:07,7:22,13:28,16:41,19:28,20:37
65,6/3/2017,5:57,6:07,7:22,13:27,16:40,19:28,20:37
66,7/3/2017,5:57,6:07,7:21,13:27,16:40,19:28,20:37
67,8/3/2017,5:57,6:07,7:21,13:27,16:39,19:28,20:37
68,9/3/2017,5:56,6:06,7:21,13:27,16:38,19:28,20:37
69,10/3/2017,5:56,6:06,7:20,13:26,16:37,19:28,20:36
70,11/3/2017,5:56,6:06,7:20,13:26,16:37,19:27,20:36
71,12/3/2017,5:55,6:05,7:20,13:26,16:36,19:27,20:36
72,13/3/2017,5:55,6:05,7:19,13:26,16:35,19:27,20:36
73,14/3/2017,5:55,6:05,7:19,13:25,16:34,19:27,20:36
74,15/3/2017,5:54,6:04,7:19,13:25,16:34,19:27,20:36
75,16/3/2017,5:54,6:04,7:18,13:25,16:33,19:27,20:35
76,17/3/2017,5:53,6:03,7:18,13:24,16:32,19:26,20:35
77,18/3/2017,5:53,6:03,7:17,13:24,16:31,19:26,20:35
78,19/3/2017,5:53,6:03,7:17,13:24,16:30,19:26,20:35
79,20/3/2017,5:52,6:02,7:17,13:23,16:29,19:26,20:35
80,21/3/2017,5:52,6:02,7:16,13:23,16:28,19:26,20:34
81,22/3/2017,5:51,6:01,7:16,13:23,16:27,19:25,20:34
82,23/3/2017,5:51,6:01,7:15,13:23,16:27,19:25,20:34
83,24/3/2017,5:51,6:01,7:15,13:22,16:26,19:25,20:34
84,25/3/2017,5:50,6:00,7:15,13:22,16:25,19:25,20:34
85,26/3/2017,5:50,6:00,7:14,13:22,16:24,19:25,20:34
86,27/3/2017,5:49,5:59,7:14,13:21,16:23,19:24,20:33
87,28/3/2017,5:49,5:59,7:14,13:21,16:22,19:24,20:33
88,29/3/2017,5:48,5:58,7:13,13:21,16:21,19:24,20:33
89,30/3/2017,5:48,5:58,7:13,13:21,16:20,19:24,20:33
90,31/3/2017,5:48,5:58,7:12,13:20,16:21,19:24,20:33
91,1/4/2017,5:47,5:57,7:12,13:20,16:21,19:23,20:33
92,2/4/2017,5:47,5:57,7:12,13:20,16:22,19:23,20:32
93,3/4/2017,5:46,5:56,7:11,13:19,16:22,19:23,20:32
94,4/4/2017,5:46,5:56,7:11,13:19,16:23,19:23,20:32
95,5/4/2017,5:45,5:55,7:10,13:19,16:23,19:23,20:32
96,6/4/2017,5:45,5:55,7:10,13:18,16:23,19:22,20:32
97,7/4/2017,5:44,5:54,7:10,13:18,16:24,19:22,20:32
98,8/4/2017,5:44,5:54,7:09,13:18,16:24,19:22,20:32
99,9/4/2017,5:44,5:54,7:09,13:18,16:25,19:22,20:32
100,10/4/2017,5:43,5:53,7:09,13:17,16:25,19:22,20:31
101,11/4/2017,5:43,5:53,7:08,13:17,16:25,19:22,20:31
102,12/4/2017,5:42,5:52,7:08,13:17,16:26,19:21,20:31
103,13/4/2017,5:42,5:52,7:08,13:17,16:26,19:21,20:31
104,14/4/2017,5:41,5:51,7:07,13:16,16:26,19:21,20:31
105,15/4/2017,5:41,5:51,7:07,13:16,16:27,19:21,20:31
106,16/4/2017,5:40,5:50,7:07,13:16,16:27,19:21,20:31
107,17/4/2017,5:40,5:50,7:06,13:16,16:27,19:21,20:31
108,18/4/2017,5:40,5:50,7:06,13:15,16:28,19:21,20:31
109,19/4/2017,5:39,5:49,7:06,13:15,16:28,19:20,20:31
110,20/4/2017,5:39,5:49,7:05,13:15,16:28,19:20,20:31
111,21/4/2017,5:38,5:48,7:05,13:15,16:28,19:20,20:31
112,22/4/2017,5:38,5:48,7:05,13:15,16:29,19:20,20:31
113,23/4/2017,5:38,5:48,7:05,13:14,16:29,19:20,20:31
114,24/4/2017,5:37,5:47,7:04,13:14,16:29,19:20,20:31
115,25/4/2017,5:37,5:47,7:04,13:14,16:29,19:20,20:31
116,26/4/2017,5:36,5:46,7:04,13:14,16:30,19:20,20:31
117,27/4/2017,5:36,5:46,7:04,13:14,16:30,19:20,20:31
118,28/4/2017,5:36,5:46,7:03,13:14,16:30,19:20,20:31
119,29/4/2017,5:35,5:45,7:03,13:13,16:31,19:20,20:31
120,30/4/2017,5:35,5:45,7:03,13:13,16:31,19:20,20:31
121,1/5/2017,5:35,5:45,7:03,13:13,16:31,19:20,20:31
122,2/5/2017,5:34,5:44,7:02,13:13,16:31,19:20,20:31
123,3/5/2017,5:34,5:44,7:02,13:13,16:31,19:20,20:31
124,4/5/2017,5:34,5:44,7:02,13:13,16:32,19:20,20:32
125,5/5/2017,5:33,5:43,7:02,13:13,16:32,19:20,20:32
126,6/5/2017,5:33,5:43,7:02,13:13,16:32,19:20,20:32
127,7/5/2017,5:33,5:43,7:02,13:13,16:32,19:20,20:32
128,8/5/2017,5:32,5:42,7:02,13:13,16:33,19:20,20:32
129,9/5/2017,5:32,5:42,7:01,13:12,16:33,19:20,20:32
130,10/5/2017,5:32,5:42,7:01,13:12,16:33,19:20,20:32
131,11/5/2017,5:32,5:42,7:01,13:12,16:33,19:20,20:32
132,12/5/2017,5:31,5:41,7:01,13:12,16:34,19:20,20:33
133,13/5/2017,5:31,5:41,7:01,13:12,16:34,19:20,20:33
134,14/5/2017,5:31,5:41,7:01,13:12,16:34,19:20,20:33
135,15/5/2017,5:31,5:41,7:01,13:12,16:34,19:20,20:33
136,16/5/2017,5:31,5:41,7:01,13:12,16:35,19:20,20:33
137,17/5/2017,5:31,5:41,7:01,13:12,16:35,19:20,20:34
138,18/5/2017,5:30,5:40,7:01,13:12,16:35,19:20,20:34
139,19/5/2017,5:30,5:40,7:01,13:12,16:35,19:20,20:34
140,20/5/2017,5:30,5:40,7:01,13:13,16:36,19:20,20:34
141,21/5/2017,5:30,5:40,7:01,13:13,16:36,19:21,20:35
142,22/5/2017,5:30,5:40,7:01,13:13,16:36,19:21,20:35
143,23/5/2017,5:30,5:40,7:01,13:13,16:36,19:21,20:35
144,24/5/2017,5:30,5:40,7:01,13:13,16:37,19:21,20:35
145,25/5/2017,5:30,5:40,7:01,13:13,16:37,19:21,20:35
146,26/5/2017,5:30,5:40,7:01,13:13,16:37,19:21,20:36
147,27/5/2017,5:29,5:39,7:01,13:13,16:37,19:22,20:36
148,28/5/2017,5:29,5:39,7:01,13:13,16:38,19:22,20:36
149,29/5/2017,5:29,5:39,7:01,13:13,16:38,19:22,20:37
150,30/5/2017,5:29,5:39,7:01,13:14,16:38,19:22,20:37
151,31/5/2017,5:29,5:39,7:01,13:14,16:38,19:22,20:37
152,1/6/2017,5:29,5:39,7:02,13:14,16:39,19:22,20:37
153,2/6/2017,5:29,5:39,7:02,13:14,16:39,19:23,20:38
154,3/6/2017,5:29,5:39,7:02,13:14,16:39,19:23,20:38
155,4/6/2017,5:30,5:40,7:02,13:14,16:39,19:23,20:38
156,5/6/2017,5:30,5:40,7:02,13:15,16:40,19:23,20:38
157,6/6/2017,5:30,5:40,7:02,13:15,16:40,19:23,20:39
158,7/6/2017,5:30,5:40,7:02,13:15,16:40,19:24,20:39
159,8/6/2017,5:30,5:40,7:02,13:15,16:40,19:24,20:39
160,9/6/2017,5:30,5:40,7:03,13:15,16:41,19:24,20:40
161,10/6/2017,5:30,5:40,7:03,13:15,16:41,19:24,20:40
162,11/6/2017,5:30,5:40,7:03,13:16,16:41,19:25,20:40
163,12/6/2017,5:30,5:40,7:03,13:16,16:42,19:25,20:40
164,13/6/2017,5:30,5:40,7:03,13:16,16:42,19:25,20:41
165,14/6/2017,5:31,5:41,7:04,13:16,16:42,19:25,20:41
166,15/6/2017,5:31,5:41,7:04,13:16,16:42,19:25,20:41
167,16/6/2017,5:31,5:41,7:04,13:17,16:42,19:26,20:41
168,17/6/2017,5:31,5:41,7:04,13:17,16:43,19:26,20:42
169,18/6/2017,5:31,5:41,7:04,13:17,16:43,19:26,20:42
170,19/6/2017,5:32,5:42,7:05,13:17,16:43,19:26,20:42
171,20/6/2017,5:32,5:42,7:05,13:18,16:43,19:27,20:42
172,21/6/2017,5:32,5:42,7:05,13:18,16:44,19:27,20:43
173,22/6/2017,5:32,5:42,7:05,13:18,16:44,19:27,20:43
174,23/6/2017,5:32,5:42,7:05,13:18,16:44,19:27,20:43
175,24/6/2017,5:33,5:43,7:06,13:18,16:44,19:27,20:43
176,25/6/2017,5:33,5:43,7:06,13:19,16:44,19:28,20:43
177,26/6/2017,5:33,5:43,7:06,13:19,16:45,19:28,20:44
178,27/6/2017,5:33,5:43,7:06,13:19,16:45,19:28,20:44
179,28/6/2017,5:34,5:44,7:07,13:19,16:45,19:28,20:44
180,29/6/2017,5:34,5:44,7:07,13:19,16:45,19:28,20:44
181,30/6/2017,5:34,5:44,7:07,13:20,16:45,19:29,20:44
182,1/7/2017,5:34,5:44,7:07,13:20,16:45,19:29,20:44
183,2/7/2017,5:35,5:45,7:07,13:20,16:46,19:29,20:44
184,3/7/2017,5:35,5:45,7:08,13:20,16:46,19:29,20:45
185,4/7/2017,5:35,5:45,7:08,13:20,16:46,19:29,20:45
186,5/7/2017,5:35,5:45,7:08,13:21,16:46,19:29,20:45
187,6/7/2017,5:36,5:46,7:08,13:21,16:46,19:30,20:45
188,7/7/2017,5:36,5:46,7:08,13:21,16:46,19:30,20:45
189,8/7/2017,5:36,5:46,7:09,13:21,16:46,19:30,20:45
190,9/7/2017,5:36,5:46,7:09,13:21,16:46,19:30,20:45
191,10/7/2017,5:37,5:47,7:09,13:21,16:46,19:30,20:45
192,11/7/2017,5:37,5:47,7:09,13:22,16:46,19:30,20:45
193,12/7/2017,5:37,5:47,7:09,13:22,16:46,19:30,20:45
194,13/7/2017,5:38,5:48,7:09,13:22,16:46,19:30,20:45
195,14/7/2017,5:38,5:48,7:10,13:22,16:46,19:30,20:45
196,15/7/2017,5:38,5:48,7:10,13:22,16:46,19:30,20:45
197,16/7/2017,5:38,5:48,7:10,13:22,16:46,19:30,20:45
198,17/7/2017,5:39,5:49,7:10,13:22,16:46,19:30,20:45
199,18/7/2017,5:39,5:49,7:10,13:22,16:46,19:30,20:45
200,19/7/2017,5:39,5:49,7:10,13:22,16:46,19:30,20:45
201,20/7/2017,5:39,5:49,7:10,13:22,16:46,19:30,20:45
202,21/7/2017,5:39,5:49,7:11,13:22,16:46,19:30,20:44
203,22/7/2017,5:40,5:50,7:11,13:22,16:46,19:30,20:44
204,23/7/2017,5:40,5:50,7:11,13:23,16:46,19:30,20:44
205,24/7/2017,5:40,5:50,7:11,13:23,16:45,19:30,20:44
206,25/7/2017,5:40,5:50,7:11,13:23,16:45,19:30,20:44
207,26/7/2017,5:41,5:51,7:11,13:23,16:45,19:30,20:44
208,27/7/2017,5:41,5:51,7:11,13:23,16:45,19:30,20:44
209,28/7/2017,5:41,5:51,7:11,13:23,16:44,19:30,20:43
210,29/7/2017,5:41,5:51,7:11,13:23,16:44,19:30,20:43
211,30/7/2017,5:41,5:51,7:11,13:22,16:44,19:30,20:43
212,31/7/2017,5:41,5:51,7:11,13:22,16:44,19:30,20:43
213,1/8/2017,5:42,5:52,7:11,13:22,16:43,19:30,20:42
214,2/8/2017,5:42,5:52,7:11,13:22,16:43,19:29,20:42
215,3/8/2017,5:42,5:52,7:11,13:22,16:43,19:29,20:42
216,4/8/2017,5:42,5:52,7:11,13:22,16:42,19:29,20:42
217,5/8/2017,5:42,5:52,7:11,13:22,16:42,19:29,20:41
218,6/8/2017,5:42,5:52,7:11,13:22,16:41,19:29,20:41
219,7/8/2017,5:42,5:52,7:11,13:22,16:41,19:29,20:41
220,8/8/2017,5:42,5:52,7:11,13:22,16:41,19:28,20:40
221,9/8/2017,5:42,5:52,7:11,13:22,16:40,19:28,20:40
222,10/8/2017,5:42,5:52,7:11,13:21,16:40,19:28,20:40
223,11/8/2017,5:43,5:53,7:11,13:21,16:39,19:28,20:39
224,12/8/2017,5:43,5:53,7:11,13:21,16:39,19:27,20:39
225,13/8/2017,5:43,5:53,7:11,13:21,16:38,19:27,20:39
226,14/8/2017,5:43,5:53,7:10,13:21,16:37,19:27,20:38
227,15/8/2017,5:43,5:53,7:10,13:21,16:37,19:27,20:38
228,16/8/2017,5:43,5:53,7:10,13:20,16:36,19:26,20:37
229,17/8/2017,5:43,5:53,7:10,13:20,16:36,19:26,20:37
230,18/8/2017,5:43,5:53,7:10,13:20,16:35,19:26,20:37
231,19/8/2017,5:43,5:53,7:10,13:20,16:34,19:25,20:36
232,20/8/2017,5:43,5:53,7:10,13:19,16:34,19:25,20:36
233,21/8/2017,5:43,5:53,7:09,13:19,16:33,19:25,20:35
234,22/8/2017,5:43,5:53,7:09,13:19,16:32,19:24,20:35
235,23/8/2017,5:42,5:52,7:09,13:19,16:31,19:24,20:34
236,24/8/2017,5:42,5:52,7:09,13:18,16:31,19:24,20:34
237,25/8/2017,5:42,5:52,7:09,13:18,16:30,19:23,20:33
238,26/8/2017,5:42,5:52,7:09,13:18,16:29,19:23,20:33
239,27/8/2017,5:42,5:52,7:08,13:18,16:28,19:23,20:33
240,28/8/2017,5:42,5:52,7:08,13:17,16:27,19:22,20:32
241,29/8/2017,5:42,5:52,7:08,13:17,16:27,19:22,20:32
242,30/8/2017,5:42,5:52,7:08,13:17,16:26,19:21,20:31
243,31/8/2017,5:42,5:52,7:07,13:16,16:25,19:21,20:31
244,1/9/2017,5:42,5:52,7:07,13:16,16:24,19:20,20:30
245,2/9/2017,5:41,5:51,7:07,13:16,16:23,19:20,20:30
246,3/9/2017,5:41,5:51,7:07,13:15,16:22,19:20,20:29
247,4/9/2017,5:41,5:51,7:07,13:15,16:21,19:19,20:29
248,5/9/2017,5:41,5:51,7:06,13:15,16:20,19:19,20:28
249,6/9/2017,5:41,5:51,7:06,13:14,16:19,19:18,20:28
250,7/9/2017,5:41,5:51,7:06,13:14,16:18,19:18,20:27
251,8/9/2017,5:40,5:50,7:06,13:14,16:17,19:17,20:27
252,9/9/2017,5:40,5:50,7:05,13:13,16:16,19:17,20:26
253,10/9/2017,5:40,5:50,7:05,13:13,16:15,19:17,20:26
254,11/9/2017,5:40,5:50,7:05,13:13,16:13,19:16,20:25
255,12/9/2017,5:40,5:50,7:04,13:12,16:12,19:16,20:25
256,13/9/2017,5:39,5:49,7:04,13:12,16:11,19:15,20:24
257,14/9/2017,5:39,5:49,7:04,13:12,16:12,19:15,20:24
258,15/9/2017,5:39,5:49,7:04,13:11,16:12,19:14,20:23
259,16/9/2017,5:39,5:49,7:03,13:11,16:12,19:14,20:23
260,17/9/2017,5:39,5:49,7:03,13:11,16:13,19:13,20:22
261,18/9/2017,5:38,5:48,7:03,13:10,16:13,19:13,20:22
262,19/9/2017,5:38,5:48,7:03,13:10,16:13,19:12,20:21
263,20/9/2017,5:38,5:48,7:02,13:09,16:14,19:12,20:21
264,21/9/2017,5:38,5:48,7:02,13:09,16:14,19:12,20:20
265,22/9/2017,5:37,5:47,7:02,13:09,16:14,19:11,20:20
266,23/9/2017,5:37,5:47,7:02,13:08,16:14,19:11,20:19
267,24/9/2017,5:37,5:47,7:01,13:08,16:15,19:10,20:19
268,25/9/2017,5:37,5:47,7:01,13:08,16:15,19:10,20:19
269,26/9/2017,5:36,5:46,7:01,13:07,16:15,19:09,20:18
270,27/9/2017,5:36,5:46,7:00,13:07,16:15,19:09,20:18
271,28/9/2017,5:36,5:46,7:00,13:07,16:15,19:08,20:17
272,29/9/2017,5:36,5:46,7:00,13:06,16:16,19:08,20:17
273,30/9/2017,5:35,5:45,7:00,13:06,16:16,19:08,20:16
274,1/10/2017,5:35,5:45,7:00,13:06,16:16,19:07,20:16
275,2/10/2017,5:35,5:45,6:59,13:05,16:16,19:07,20:16
276,3/10/2017,5:35,5:45,6:59,13:05,16:16,19:06,20:15
277,4/10/2017,5:34,5:44,6:59,13:05,16:16,19:06,20:15
278,5/10/2017,5:34,5:44,6:59,13:04,16:17,19:05,20:14
279,6/10/2017,5:34,5:44,6:58,13:04,16:17,19:05,20:14
280,7/10/2017,5:34,5:44,6:58,13:04,16:17,19:05,20:14
281,8/10/2017,5:34,5:44,6:58,13:04,16:17,19:04,20:13
282,9/10/2017,5:33,5:43,6:58,13:03,16:17,19:04,20:13
283,10/10/2017,5:33,5:43,6:58,13:03,16:17,19:04,20:13
284,11/10/2017,5:33,5:43,6:57,13:03,16:17,19:03,20:12
285,12/10/2017,5:33,5:43,6:57,13:03,16:17,19:03,20:12
286,13/10/2017,5:32,5:42,6:57,13:02,16:18,19:02,20:12
287,14/10/2017,5:32,5:42,6:57,13:02,16:18,19:02,20:12
288,15/10/2017,5:32,5:42,6:57,13:02,16:18,19:02,20:11
289,16/10/2017,5:32,5:42,6:57,13:02,16:18,19:02,20:11
290,17/10/2017,5:32,5:42,6:57,13:01,16:18,19:01,20:11
291,18/10/2017,5:31,5:41,6:56,13:01,16:18,19:01,20:11
292,19/10/2017,5:31,5:41,6:56,13:01,16:18,19:01,20:10
293,20/10/2017,5:31,5:41,6:56,13:01,16:18,19:00,20:10
294,21/10/2017,5:31,5:41,6:56,13:01,16:18,19:00,20:10
295,22/10/2017,5:31,5:41,6:56,13:01,16:18,19:00,20:10
296,23/10/2017,5:31,5:41,6:56,13:00,16:19,19:00,20:10
297,24/10/2017,5:31,5:41,6:56,13:00,16:19,18:59,20:10
298,25/10/2017,5:30,5:40,6:56,13:00,16:19,18:59,20:10
299,26/10/2017,5:30,5:40,6:56,13:00,16:19,18:59,20:09
300,27/10/2017,5:30,5:40,6:56,13:00,16:19,18:59,20:09
301,28/10/2017,5:30,5:40,6:56,13:00,16:19,18:59,20:09
302,29/10/2017,5:30,5:40,6:56,13:00,16:19,18:59,20:09
303,30/10/2017,5:30,5:40,6:56,13:00,16:19,18:58,20:09
304,31/10/2017,5:30,5:40,6:56,13:00,16:20,18:58,20:09
305,1/11/2017,5:30,5:40,6:56,13:00,16:20,18:58,20:09
306,2/11/2017,5:30,5:40,6:56,13:00,16:20,18:58,20:09
307,3/11/2017,5:30,5:40,6:56,13:00,16:20,18:58,20:09
308,4/11/2017,5:30,5:40,6:56,13:00,16:20,18:58,20:09
309,5/11/2017,5:30,5:40,6:56,13:00,16:20,18:58,20:09
310,6/11/2017,5:30,5:40,6:56,13:00,16:20,18:58,20:09
311,7/11/2017,5:30,5:40,6:56,13:00,16:21,18:58,20:09
312,8/11/2017,5:30,5:40,6:57,13:00,16:21,18:58,20:09
313,9/11/2017,5:30,5:40,6:57,13:00,16:21,18:58,20:10
314,10/11/2017,5:30,5:40,6:57,13:00,16:21,18:58,20:10
315,11/11/2017,5:30,5:40,6:57,13:00,16:21,18:58,20:10
316,12/11/2017,5:30,5:40,6:57,13:00,16:22,18:58,20:10
317,13/11/2017,5:30,5:40,6:57,13:00,16:22,18:58,20:10
318,14/11/2017,5:30,5:40,6:58,13:00,16:22,18:58,20:10
319,15/11/2017,5:30,5:40,6:58,13:01,16:22,18:58,20:11
320,16/11/2017,5:30,5:40,6:58,13:01,16:23,18:58,20:11
321,17/11/2017,5:30,5:40,6:58,13:01,16:23,18:58,20:11
322,18/11/2017,5:31,5:41,6:59,13:01,16:23,18:58,20:11
323,19/11/2017,5:31,5:41,6:59,13:01,16:23,18:59,20:11
324,20/11/2017,5:31,5:41,6:59,13:02,16:24,18:59,20:12
325,21/11/2017,5:31,5:41,6:59,13:02,16:24,18:59,20:12
326,22/11/2017,5:31,5:41,7:00,13:02,16:24,18:59,20:12
327,23/11/2017,5:32,5:42,7:00,13:02,16:25,18:59,20:13
328,24/11/2017,5:32,5:42,7:00,13:03,16:25,19:00,20:13
329,25/11/2017,5:32,5:42,7:01,13:03,16:25,19:00,20:13
330,26/11/2017,5:32,5:42,7:01,13:03,16:26,19:00,20:14
331,27/11/2017,5:33,5:43,7:01,13:04,16:26,19:00,20:14
332,28/11/2017,5:33,5:43,7:02,13:04,16:26,19:01,20:14
333,29/11/2017,5:33,5:43,7:02,13:04,16:27,19:01,20:15
334,30/11/2017,5:33,5:43,7:03,13:05,16:27,19:01,20:15
335,1/12/2017,5:34,5:44,7:03,13:05,16:27,19:02,20:16
336,2/12/2017,5:34,5:44,7:03,13:05,16:28,19:02,20:16
337,3/12/2017,5:34,5:44,7:04,13:06,16:28,19:02,20:16
338,4/12/2017,5:35,5:45,7:04,13:06,16:29,19:03,20:17
339,5/12/2017,5:35,5:45,7:05,13:07,16:29,19:03,20:17
340,6/12/2017,5:35,5:45,7:05,13:07,16:30,19:03,20:18
341,7/12/2017,5:36,5:46,7:06,13:07,16:30,19:04,20:18
342,8/12/2017,5:36,5:46,7:06,13:08,16:30,19:04,20:19
343,9/12/2017,5:37,5:47,7:06,13:08,16:31,19:05,20:19
344,10/12/2017,5:37,5:47,7:07,13:09,16:31,19:05,20:20
345,11/12/2017,5:38,5:48,7:07,13:09,16:32,19:05,20:20
346,12/12/2017,5:38,5:48,7:08,13:10,16:32,19:06,20:21
347,13/12/2017,5:38,5:48,7:08,13:10,16:33,19:06,20:21
348,14/12/2017,5:39,5:49,7:09,13:11,16:33,19:07,20:22
349,15/12/2017,5:39,5:49,7:09,13:11,16:34,19:07,20:22
350,16/12/2017,5:40,5:50,7:10,13:12,16:34,19:08,20:23
351,17/12/2017,5:40,5:50,7:10,13:12,16:35,19:08,20:23
352,18/12/2017,5:41,5:51,7:11,13:13,16:35,19:09,20:24
353,19/12/2017,5:41,5:51,7:11,13:13,16:36,19:09,20:24
354,20/12/2017,5:42,5:52,7:12,13:14,16:36,19:10,20:25
355,21/12/2017,5:42,5:52,7:12,13:14,16:37,19:10,20:25
356,22/12/2017,5:43,5:53,7:13,13:15,16:37,19:11,20:26
357,23/12/2017,5:43,5:53,7:13,13:15,16:38,19:11,20:26
358,24/12/2017,5:44,5:54,7:14,13:16,16:38,19:12,20:27
359,25/12/2017,5:44,5:54,7:14,13:16,16:39,19:12,20:27
360,26/12/2017,5:45,5:55,7:15,13:17,16:39,19:13,20:28
361,27/12/2017,5:45,5:55,7:15,13:17,16:40,19:13,20:28
362,28/12/2017,5:46,5:56,7:16,13:18,16:40,19:14,20:28
363,29/12/2017,5:46,5:56,7:16,13:18,16:41,19:14,20:29
364,30/12/2017,5:47,5:57,7:17,13:19,16:41,19:15,20:29
365,31/12/2017,5:47,5:57,7:17,13:19,16:42,19:15,20:30
