,,,,,,,,
,,,,,,,,
"  Zon : Sabak Bernam, Kuala Selangor, Klang, Kuala Langat",,,,,,,,
43,12/2/2017,6:03,6:13,7:28,13:32,16:52,19:31,20:42
44,13/2/2017,6:03,6:13,7:28,13:32,16:52,19:31,20:42
45,14/2/2017,6:03,6:13,7:28,13:32,16:52,19:31,20:42
46,15/2/2017,6:03,6:13,7:28,13:32,16:51,19:31,20:42
47,16/2/2017,6:03,6:13,7:28,13:32,16:51,19:31,20:42
48,17/2/2017,6:03,6:13,7:28,13:32,16:51,19:31,20:42
49,18/2/2017,6:02,6:12,7:28,13:32,16:50,19:31,20:41
50,19/2/2017,6:02,6:12,7:27,13:32,16:50,19:31,20:41
51,20/2/2017,6:02,6:12,7:27,13:32,16:50,19:31,20:41
52,21/2/2017,6:02,6:12,7:27,13:32,16:49,19:31,20:41
53,22/2/2017,6:02,6:12,7:27,13:32,16:49,19:31,20:41
54,23/2/2017,6:02,6:12,7:26,13:32,16:48,19:31,20:41
55,24/2/2017,6:02,6:12,7:26,13:31,16:48,19:31,20:41
56,25/2/2017,6:02,6:12,7:26,13:31,16:48,19:31,20:41
57,26/2/2017,6:01,6:11,7:26,13:31,16:47,19:31,20:41
58,27/2/2017,6:01,6:11,7:25,13:31,16:47,19:31,20:40
59,28/2/2017,6:01,6:11,7:25,13:31,16:46,19:31,20:40
60,1/3/2017,6:01,6:11,7:25,13:31,16:45,19:31,20:40
61,2/3/2017,6:00,6:10,7:25,13:30,16:45,19:31,20:40
62,3/3/2017,6:00,6:10,7:24,13:30,16:44,19:31,20:40
63,4/3/2017,6:00,6:10,7:24,13:30,16:44,19:31,20:40
64,5/3/2017,6:00,6:10,7:24,13:30,16:43,19:30,20:40
65,6/3/2017,5:59,6:09,7:23,13:29,16:42,19:30,20:39
66,7/3/2017,5:59,6:09,7:23,13:29,16:42,19:30,20:39
67,8/3/2017,5:59,6:09,7:23,13:29,16:41,19:30,20:39
68,9/3/2017,5:59,6:09,7:22,13:29,16:40,19:30,20:39
69,10/3/2017,5:58,6:08,7:22,13:29,16:40,19:30,20:39
70,11/3/2017,5:58,6:08,7:22,13:28,16:39,19:30,20:38
71,12/3/2017,5:58,6:08,7:21,13:28,16:38,19:29,20:38
72,13/3/2017,5:57,6:07,7:21,13:28,16:37,19:29,20:38
73,14/3/2017,5:57,6:07,7:20,13:27,16:37,19:29,20:38
74,15/3/2017,5:56,6:06,7:20,13:27,16:36,19:29,20:38
75,16/3/2017,5:56,6:06,7:20,13:27,16:35,19:29,20:38
76,17/3/2017,5:56,6:06,7:19,13:27,16:34,19:29,20:37
77,18/3/2017,5:55,6:05,7:19,13:26,16:33,19:28,20:37
78,19/3/2017,5:55,6:05,7:19,13:26,16:32,19:28,20:37
79,20/3/2017,5:55,6:05,7:18,13:26,16:32,19:28,20:37
80,21/3/2017,5:54,6:04,7:18,13:25,16:31,19:28,20:37
81,22/3/2017,5:54,6:04,7:17,13:25,16:30,19:28,20:36
82,23/3/2017,5:53,6:03,7:17,13:25,16:29,19:27,20:36
83,24/3/2017,5:53,6:03,7:17,13:25,16:28,19:27,20:36
84,25/3/2017,5:52,6:02,7:16,13:24,16:27,19:27,20:36
85,26/3/2017,5:52,6:02,7:16,13:24,16:26,19:27,20:36
86,27/3/2017,5:52,6:02,7:15,13:24,16:25,19:27,20:36
87,28/3/2017,5:01,6:01,7:15,13:23,16:24,19:26,20:35
88,29/3/2017,5:50,6:01,7:15,13:23,16:23,19:26,20:35
89,30/3/2017,5:50,6:00,7:14,13:23,16:22,19:26,20:35
90,31/3/2017,5:50,6:00,7:14,13:22,16:23,19:26,20:35
91,1/4/2017,5:49,5:59,7:13,13:22,16:23,19:26,20:35
92,2/4/2017,5:49,5:59,7:13,13:22,16:24,19:25,20:35
93,3/4/2017,5:48,5:58,7:13,13:22,16:24,19:25,20:35
94,4/4/2017,5:48,5:58,7:12,13:21,16:25,19:25,20:34
95,5/4/2017,5:48,5:58,7:12,13:21,16:25,19:25,20:34
96,6/4/2017,5:47,5:57,7:11,13:21,16:25,19:25,20:34
97,7/4/2017,5:47,5:57,7:11,13:20,16:26,19:25,20:34
98,8/4/2017,5:46,5:56,7:11,13:20,16:26,19:24,20:34
99,9/4/2017,5:46,5:56,7:10,13:20,16:27,19:24,20:34
100,10/4/2017,5:45,5:55,7:10,13:20,16:27,19:24,20:34
101,11/4/2017,5:45,5:55,7:09,13:19,16:27,19:24,20:34
102,12/4/2017,5:44,5:54,7:09,13:19,16:28,19:24,20:34
103,13/4/2017,5:44,5:54,7:09,13:19,16:28,19:24,20:33
104,14/4/2017,5:43,5:53,7:08,13:19,16:28,19:23,20:33
105,15/4/2017,5:43,5:53,7:08,13:18,16:29,19:23,20:33
106,16/4/2017,5:43,5:53,7:08,13:18,16:29,19:23,20:33
107,17/4/2017,5:42,5:52,7:07,13:18,16:29,19:23,20:33
108,18/4/2017,5:42,5:52,7:07,13:18,16:30,19:23,20:33
109,19/4/2017,5:41,5:51,7:07,13:17,16:30,19:23,20:33
110,20/4/2017,5:41,5:51,7:06,13:17,16:30,19:23,20:33
111,21/4/2017,5:40,5:50,7:06,13:17,16:31,19:23,20:33
112,22/4/2017,5:40,5:50,7:06,13:17,16:31,19:22,20:33
113,23/4/2017,5:40,5:50,7:06,13:17,16:31,19:22,20:33
114,24/4/2017,5:39,5:49,7:05,13:16,16:31,19:22,20:33
115,25/4/2017,5:39,5:49,7:05,13:16,16:32,19:22,20:33
116,26/4/2017,5:38,5:48,7:05,13:16,16:32,19:22,20:33
117,27/4/2017,5:38,5:48,7:04,13:16,16:32,19:22,20:33
118,28/4/2017,5:38,5:48,7:04,13:16,16:32,19:22,20:33
119,29/4/2017,5:37,5:47,7:04,13:16,16:33,19:22,20:33
120,30/4/2017,5:37,5:47,7:04,13:15,16:33,19:22,20:33
121,1/5/2017,5:37,5:47,7:04,13:15,16:33,19:22,20:34
122,2/5/2017,5:36,5:46,7:03,13:15,16:33,19:22,20:34
123,3/5/2017,5:36,5:46,7:03,13:15,16:34,19:22,20:34
124,4/5/2017,5:36,5:46,7:03,13:15,16:34,19:22,20:34
125,5/5/2017,5:35,5:45,7:03,13:15,16:34,19:22,20:34
126,6/5/2017,5:35,5:45,7:03,13:15,16:34,19:22,20:34
127,7/5/2017,5:35,5:45,7:02,13:15,16:35,19:22,20:34
128,8/5/2017,5:35,5:45,7:02,13:15,16:35,19:22,20:34
129,9/5/2017,5:34,5:44,7:02,13:15,16:35,19:22,20:34
130,10/5/2017,5:34,5:44,7:02,13:15,16:35,19:22,20:35
131,11/5/2017,5:34,5:44,7:02,13:15,16:36,19:22,20:35
132,12/5/2017,5:34,5:44,7:02,13:15,16:36,19:22,20:35
133,13/5/2017,5:33,5:43,7:02,13:15,16:36,19:22,20:35
134,14/5/2017,5:33,5:43,7:02,13:15,16:36,19:22,20:35
135,15/5/2017,5:33,5:43,7:02,13:15,16:37,19:22,20:36
136,16/5/2017,5:33,5:43,7:02,13:15,16:37,19:22,20:36
137,17/5/2017,5:33,5:43,7:02,13:15,16:37,19:22,20:36
138,18/5/2017,5:32,5:42,7:02,13:15,16:37,19:23,20:36
139,19/5/2017,5:32,5:42,7:01,13:15,16:38,19:23,20:36
140,20/5/2017,5:32,5:42,7:01,13:15,16:38,19:23,20:37
141,21/5/2017,5:32,5:42,7:01,13:15,16:38,19:23,20:37
142,22/5/2017,5:32,5:42,7:01,13:15,16:38,19:23,20:37
143,23/5/2017,5:32,5:42,7:01,13:15,16:39,19:23,20:37
144,24/5/2017,5:32,5:42,7:02,13:15,16:39,19:23,20:38
145,25/5/2017,5:32,5:42,7:02,13:15,16:39,19:24,20:38
146,26/5/2017,5:32,5:42,7:02,13:15,16:39,19:24,20:38
147,27/5/2017,5:32,5:42,7:02,13:15,16:40,19:24,20:38
148,28/5/2017,5:32,5:42,7:02,13:15,16:40,19:24,20:39
149,29/5/2017,5:31,5:41,7:02,13:16,16:40,19:24,20:39
150,30/5/2017,5:31,5:41,7:02,13:16,16:40,19:24,20:39
151,31/5/2017,5:31,5:41,7:02,13:16,16:41,19:25,20:39
152,1/6/2017,5:31,5:41,7:02,13:16,16:41,19:25,20:40
153,2/6/2017,5:32,5:42,7:02,13:16,16:41,19:25,20:40
154,3/6/2017,5:32,5:42,7:02,13:16,16:41,19:25,20:40
155,4/6/2017,5:32,5:42,7:02,13:17,16:42,19:25,20:41
156,5/6/2017,5:32,5:42,7:03,13:17,16:42,19:26,20:41
157,6/6/2017,5:32,5:42,7:03,13:17,16:42,19:26,20:41
158,7/6/2017,5:32,5:42,7:03,13:17,16:42,19:26,20:41
159,8/6/2017,5:32,5:42,7:03,13:17,16:43,19:26,20:42
160,9/6/2017,5:32,5:42,7:03,13:17,16:43,19:26,20:42
161,10/6/2017,5:32,5:42,7:03,13:18,16:43,19:27,20:42
162,11/6/2017,5:32,5:42,7:04,13:18,16:43,19:27,20:42
163,12/6/2017,5:32,5:42,7:04,13:18,16:44,19:27,20:43
164,13/6/2017,5:33,5:43,7:04,13:18,16:44,19:27,20:43
165,14/6/2017,5:33,5:43,7:04,13:18,16:44,19:28,20:43
166,15/6/2017,5:33,5:43,7:04,13:19,16:44,19:28,20:43
167,16/6/2017,5:33,5:43,7:05,13:19,16:45,19:28,20:44
168,17/6/2017,5:33,5:43,7:05,13:19,16:45,19:28,20:44
169,18/6/2017,5:33,5:43,7:05,13:19,16:45,19:28,20:44
170,19/6/2017,5:34,5:44,7:05,13:20,16:45,19:29,20:44
171,20/6/2017,5:34,5:44,7:05,13:20,16:46,19:29,20:45
172,21/6/2017,5:34,5:44,7:06,13:20,16:46,19:29,20:45
173,22/6/2017,5:34,5:44,7:06,13:20,16:46,19:29,20:45
174,23/6/2017,5:34,5:44,7:06,13:20,16:46,19:30,20:45
175,24/6/2017,5:35,5:45,7:06,13:21,16:46,19:30,20:45
176,25/6/2017,5:35,5:45,7:06,13:21,16:47,19:30,20:46
177,26/6/2017,5:35,5:45,7:07,13:21,16:47,19:30,20:46
178,27/6/2017,5:35,5:45,7:07,13:21,16:47,19:30,20:46
179,28/6/2017,5:36,5:46,7:07,13:21,16:47,19:31,20:46
180,29/6/2017,5:36,5:46,7:07,13:22,16:47,19:31,20:46
181,30/6/2017,5:36,5:46,7:08,13:22,16:48,19:31,20:46
182,1/7/2017,5:36,5:46,7:08,13:22,16:48,19:31,20:47
183,2/7/2017,5:37,5:47,7:08,13:22,16:48,19:31,20:47
184,3/7/2017,5:37,5:47,7:08,13:22,16:48,19:31,20:47
185,4/7/2017,5:37,5:47,7:08,13:23,16:48,19:32,20:47
186,5/7/2017,5:38,5:48,7:09,13:23,16:48,19:32,20:47
187,6/7/2017,5:38,5:48,7:09,13:23,16:48,19:32,20:47
188,7/7/2017,5:38,5:48,7:09,13:23,16:48,19:32,20:47
189,8/7/2017,5:38,5:48,7:09,13:23,16:48,19:32,20:47
190,9/7/2017,5:39,5:49,7:09,13:23,16:48,19:32,20:47
191,10/7/2017,5:39,5:49,7:10,13:24,16:48,19:32,20:47
192,11/7/2017,5:39,5:49,7:10,13:24,16:49,19:32,20:47
193,12/7/2017,5:39,5:49,7:10,13:24,16:49,19:33,20:47
194,13/7/2017,5:40,5:50,7:10,13:24,16:49,19:33,20:47
195,14/7/2017,5:40,5:50,7:10,13:24,16:49,19:33,20:47
196,15/7/2017,5:40,5:50,7:10,13:24,16:48,19:33,20:47
197,16/7/2017,5:40,5:50,7:11,13:24,16:48,19:33,20:47
198,17/7/2017,5:41,5:51,7:11,13:24,16:48,19:33,20:47
199,18/7/2017,5:41,5:51,7:11,13:24,16:48,19:33,20:47
200,19/7/2017,5:41,5:51,7:11,13:25,16:48,19:33,20:47
201,20/7/2017,5:41,5:51,7:11,13:25,16:48,19:33,20:47
202,21/7/2017,5:42,5:52,7:11,13:25,16:48,19:33,20:47
203,22/7/2017,5:42,5:52,7:11,13:25,16:48,19:33,20:47
204,23/7/2017,5:42,5:52,7:11,13:25,16:48,19:33,20:46
205,24/7/2017,5:42,5:52,7:12,13:25,16:48,19:33,20:46
206,25/7/2017,5:42,5:52,7:12,13:25,16:47,19:33,20:46
207,26/7/2017,5:43,5:53,7:12,13:25,16:47,19:33,20:46
208,27/7/2017,5:43,5:53,7:12,13:25,16:47,19:32,20:46
209,28/7/2017,5:43,5:53,7:12,13:25,16:47,19:32,20:46
210,29/7/2017,5:43,5:53,7:12,13:25,16:46,19:32,20:45
211,30/7/2017,5:43,5:53,7:12,13:25,16:46,19:32,20:45
212,31/7/2017,5:43,5:53,7:12,13:25,16:46,19:32,20:45
213,1/8/2017,5:44,5:54,7:12,13:25,16:46,19:32,20:45
214,2/8/2017,5:44,5:54,7:12,13:24,16:45,19:32,20:44
215,3/8/2017,5:44,5:54,7:12,13:24,16:45,19:32,20:44
216,4/8/2017,5:44,5:54,7:12,13:24,16:44,19:31,20:44
217,5/8/2017,5:44,5:54,7:12,13:24,16:44,19:31,20:44
218,6/8/2017,5:44,5:54,7:12,13:24,16:44,19:31,20:43
219,7/8/2017,5:44,5:54,7:12,13:24,16:43,19:31,20:43
220,8/8/2017,5:44,5:54,7:12,13:24,16:43,19:31,20:43
221,9/8/2017,5:45,5:55,7:12,13:24,16:42,19:30,20:42
222,10/8/2017,5:45,5:55,7:12,13:24,16:42,19:30,20:42
223,11/8/2017,5:45,5:55,7:12,13:23,16:41,19:30,20:42
224,12/8/2017,5:45,5:55,7:12,13:23,16:41,19:30,20:41
225,13/8/2017,5:45,5:55,7:11,13:23,16:40,19:29,20:41
226,14/8/2017,5:45,5:55,7:11,13:23,16:40,19:29,20:40
227,15/8/2017,5:45,5:55,7:11,13:23,16:39,19:29,20:40
228,16/8/2017,5:45,5:55,7:11,13:23,16:38,19:29,20:40
229,17/8/2017,5:45,5:55,7:11,13:22,16:38,19:28,20:39
230,18/8/2017,5:45,5:55,7:11,13:22,16:37,19:28,20:39
231,19/8/2017,5:45,5:55,7:11,13:22,16:36,19:28,20:38
232,20/8/2017,5:45,5:55,7:11,13:22,16:36,19:27,20:38
233,21/8/2017,5:45,5:55,7:10,13:21,16:35,19:27,20:38
234,22/8/2017,5:45,5:55,7:10,13:21,16:34,19:27,20:37
235,23/8/2017,5:45,5:55,7:10,13:21,16:34,19:26,20:37
236,24/8/2017,5:45,5:55,7:10,13:21,16:33,19:26,20:36
237,25/8/2017,5:44,5:54,7:10,13:20,16:32,19:26,20:36
238,26/8/2017,5:44,5:54,7:10,13:20,16:31,19:25,20:35
239,27/8/2017,5:44,5:54,7:09,13:20,16:30,19:25,20:35
240,28/8/2017,5:44,5:54,7:09,13:19,16:30,19:24,20:34
241,29/8/2017,5:44,5:54,7:09,13:19,16:29,19:24,20:34
242,30/8/2017,5:44,5:54,7:09,13:19,16:28,19:24,20:33
243,31/8/2017,5:44,5:54,7:09,13:19,16:27,19:23,20:33
244,1/9/2017,5:44,5:54,7:08,13:18,16:26,19:23,20:32
245,2/9/2017,5:44,5:54,7:08,13:18,16:25,19:22,20:32
246,3/9/2017,5:43,5:53,7:08,13:18,16:24,19:22,20:31
247,4/9/2017,5:43,5:53,7:08,13:17,16:23,19:21,20:31
248,5/9/2017,5:43,5:53,7:08,13:17,16:22,19:21,20:30
249,6/9/2017,5:43,5:53,7:07,13:17,16:21,19:21,20:30
250,7/9/2017,5:43,5:53,7:07,13:16,16:20,19:20,20:29
251,8/9/2017,5:43,5:53,7:07,13:16,16:19,19:20,20:29
252,9/9/2017,5:42,5:52,7:07,13:16,16:18,19:19,20:28
253,10/9/2017,5:42,5:52,7:06,13:15,16:17,19:19,20:28
254,11/9/2017,5:42,5:52,7:06,13:15,16:16,19:18,20:27
255,12/9/2017,5:42,5:52,7:06,13:15,16:14,19:18,20:27
256,13/9/2017,5:42,5:52,7:06,13:14,16:14,19:17,20:26
257,14/9/2017,5:41,5:51,7:05,13:14,16:14,19:17,20:26
258,15/9/2017,5:41,5:51,7:05,13:13,16:14,19:16,20:25
259,16/9/2017,5:41,5:51,7:05,13:13,16:15,19:16,20:25
260,17/9/2017,5:41,5:51,7:05,13:13,16:15,19:16,20:24
261,18/9/2017,5:41,5:51,7:04,13:12,16:15,19:15,20:24
262,19/9/2017,5:40,5:50,7:04,13:12,16:16,19:15,20:24
263,20/9/2017,5:40,5:50,7:04,13:12,16:16,19:14,20:23
264,21/9/2017,5:40,5:50,7:04,13:11,16:16,19:14,20:23
265,22/9/2017,5:40,5:50,7:03,13:11,16:16,19:13,20:22
266,23/9/2017,5:39,5:49,7:03,13:11,16:17,19:13,20:22
267,24/9/2017,5:39,5:49,7:03,13:10,16:17,19:12,20:21
268,25/9/2017,5:39,5:49,7:03,13:10,16:17,19:12,20:21
269,26/9/2017,5:39,5:49,7:02,13:10,16:17,19:11,20:20
270,27/9/2017,5:38,5:48,7:02,13:09,16:18,19:11,20:20
271,28/9/2017,5:38,5:48,7:02,13:09,16:18,19:11,20:19
272,29/9/2017,5:38,5:48,7:02,13:09,16:18,19:10,20:19
273,30/9/2017,5:38,5:48,7:01,13:08,16:18,19:10,20:19
274,1/10/2017,5:37,5:47,7:01,13:08,16:18,19:09,20:18
275,2/10/2017,5:37,5:47,7:01,13:08,16:18,19:09,20:18
276,3/10/2017,5:37,5:47,7:01,13:07,16:19,19:08,20:17
277,4/10/2017,5:37,5:47,7:00,13:07,16:19,19:08,20:17
278,5/10/2017,5:36,5:46,7:00,13:07,16:19,19:08,20:17
279,6/10/2017,5:36,5:46,7:00,13:06,16:19,19:07,20:16
280,7/10/2017,5:36,5:46,7:00,13:06,16:19,19:07,20:16
281,8/10/2017,5:36,5:46,7:00,13:06,16:19,19:06,20:16
282,9/10/2017,5:36,5:46,7:00,13:06,16:19,19:06,20:15
283,10/10/2017,5:35,5:45,6:59,13:05,16:19,19:06,20:15
284,11/10/2017,5:35,5:45,6:59,13:05,16:20,19:05,20:15
285,12/10/2017,5:35,5:45,6:59,13:05,16:20,19:05,20:14
286,13/10/2017,5:35,5:45,6:59,13:04,16:20,19:05,20:14
287,14/10/2017,5:34,5:44,6:59,13:04,16:20,19:04,20:14
288,15/10/2017,5:34,5:44,6:59,13:04,16:20,19:04,20:14
289,16/10/2017,5:34,5:44,6:58,13:04,16:20,19:04,20:13
290,17/10/2017,5:34,5:44,6:58,13:04,16:20,19:03,20:13
291,18/10/2017,5:34,5:44,6:58,13:03,16:20,19:03,20:13
292,19/10/2017,5:34,5:44,6:58,13:03,16:20,19:03,20:13
293,20/10/2017,5:33,5:43,6:58,13:03,16:21,19:03,20:12
294,21/10/2017,5:33,5:43,6:58,13:03,16:21,19:02,20:12
295,22/10/2017,5:33,5:43,6:58,13:03,16:21,19:02,20:12
296,23/10/2017,5:33,5:43,6:58,13:03,16:21,19:02,20:12
297,24/10/2017,5:33,5:43,6:58,13:02,16:21,19:02,20:12
298,25/10/2017,5:33,5:43,6:58,13:02,16:21,19:01,20:12
299,26/10/2017,5:33,5:43,6:58,13:02,16:21,19:01,20:12
300,27/10/2017,5:32,5:42,6:58,13:02,16:21,19:01,20:11
301,28/10/2017,5:32,5:42,6:58,13:02,16:21,19:01,20:11
302,29/10/2017,5:32,5:42,6:58,13:02,16:21,19:01,20:11
303,30/10/2017,5:32,5:42,6:58,13:02,16:22,19:01,20:11
304,31/10/2017,5:32,5:42,6:58,13:02,16:22,19:00,20:11
305,1/11/2017,5:32,5:42,6:58,13:02,16:22,19:00,20:11
306,2/11/2017,5:32,5:42,6:58,13:02,16:22,19:00,20:11
307,3/11/2017,5:32,5:42,6:58,13:02,16:22,19:00,20:11
308,4/11/2017,5:32,5:42,6:58,13:02,16:22,19:00,20:11
309,5/11/2017,5:32,5:42,6:58,13:02,16:22,19:00,20:11
310,6/11/2017,5:32,5:42,6:58,13:02,16:23,19:00,20:11
311,7/11/2017,5:32,5:42,6:59,13:02,16:23,19:00,20:11
312,8/11/2017,5:32,5:42,6:59,13:02,16:23,19:00,20:12
313,9/11/2017,5:32,5:42,6:59,13:02,16:23,19:00,20:12
314,10/11/2017,5:32,5:42,6:59,13:02,16:23,19:00,20:12
315,11/11/2017,5:32,5:42,6:59,13:02,16:24,19:00,20:12
316,12/11/2017,5:32,5:42,6:59,13:02,16:24,19:00,20:12
317,13/11/2017,5:32,5:42,7:00,13:02,16:24,19:00,20:12
318,14/11/2017,5:32,5:42,7:00,13:03,16:24,19:00,20:12
319,15/11/2017,5:32,5:42,7:00,13:03,16:24,19:00,20:13
320,16/11/2017,5:33,5:43,7:00,13:03,16:25,19:00,20:13
321,17/11/2017,5:33,5:43,7:01,13:03,16:25,19:00,20:13
322,18/11/2017,5:33,5:43,7:01,13:03,16:25,19:01,20:13
323,19/11/2017,5:33,5:43,7:01,13:04,16:26,19:01,20:14
324,20/11/2017,5:33,5:43,7:01,13:04,16:26,19:01,20:14
325,21/11/2017,5:33,5:43,7:02,13:04,16:26,19:01,20:14
326,22/11/2017,5:34,5:44,7:02,13:04,16:26,19:01,20:14
327,23/11/2017,5:34,5:44,7:02,13:05,16:27,19:01,20:15
328,24/11/2017,5:34,5:44,7:03,13:05,16:27,19:02,20:15
329,25/11/2017,5:34,5:44,7:03,13:05,16:27,19:02,20:15
330,26/11/2017,5:35,5:45,7:03,13:05,16:28,19:02,20:16
331,27/11/2017,5:35,5:45,7:04,13:06,16:28,19:02,20:16
332,28/11/2017,5:35,5:45,7:04,13:06,16:28,19:03,20:17
333,29/11/2017,5:35,5:45,7:05,13:06,16:29,19:03,20:17
334,30/11/2017,5:36,5:46,7:05,13:07,16:29,19:03,20:17
335,1/12/2017,5:36,5:46,7:05,13:07,16:30,19:04,20:18
336,2/12/2017,5:36,5:46,7:06,13:08,16:30,19:04,20:18
337,3/12/2017,5:37,5:47,7:06,13:08,16:30,19:04,20:19
338,4/12/2017,5:37,5:47,7:07,13:08,16:31,19:05,20:19
339,5/12/2017,5:37,5:47,7:07,13:09,16:31,19:05,20:19
340,6/12/2017,5:38,5:48,7:08,13:09,16:32,19:05,20:20
341,7/12/2017,5:38,5:48,7:08,13:10,16:32,19:06,20:20
342,8/12/2017,5:39,5:49,7:08,13:10,16:33,19:06,20:21
343,9/12/2017,5:39,5:49,7:09,13:11,16:33,19:07,20:21
344,10/12/2017,5:39,5:49,7:09,13:11,16:33,19:07,20:22
345,11/12/2017,5:40,5:50,7:10,13:11,16:34,19:08,20:22
346,12/12/2017,5:40,5:50,7:10,13:12,16:34,19:08,20:23
347,13/12/2017,5:41,5:51,7:11,13:12,16:35,19:08,20:23
348,14/12/2017,5:41,5:51,7:11,13:13,16:35,19:09,20:24
349,15/12/2017,5:42,5:52,7:12,13:13,16:36,19:09,20:24
350,16/12/2017,5:42,5:52,7:12,13:14,16:36,19:10,20:25
351,17/12/2017,5:43,5:53,7:13,13:14,16:37,19:10,20:25
352,18/12/2017,5:43,5:53,7:13,13:15,16:37,19:11,20:26
353,19/12/2017,5:44,5:54,7:14,13:15,16:38,19:11,20:26
354,20/12/2017,5:44,5:54,7:14,13:16,16:38,19:12,20:27
355,21/12/2017,5:45,5:55,7:15,13:16,16:39,19:12,20:27
356,22/12/2017,5:45,5:55,7:15,13:17,16:39,19:13,20:28
357,23/12/2017,5:46,5:56,7:16,13:17,16:40,19:13,20:28
358,24/12/2017,5:46,5:56,7:16,13:18,16:40,19:14,20:29
359,25/12/2017,5:47,5:57,7:17,13:18,16:41,19:14,20:29
360,26/12/2017,5:47,5:57,7:17,13:19,16:41,19:15,20:30
361,27/12/2017,5:48,5:58,7:18,13:19,16:42,19:15,20:30
362,28/12/2017,5:48,5:58,7:18,13:20,16:42,19:16,20:31
363,29/12/2017,5:49,5:59,7:19,13:20,16:43,19:16,20:31
364,30/12/2017,5:49,5:59,7:19,13:21,16:43,19:17,20:31
365,31/12/2017,5:50,6:00,7:20,13:21,16:44,19:17,20:32
