,,,,,,,,
,,,,,,,,
"  Zon : Bandar Melaka, Alor Gajah, Jasin, Masjid Tanah, Merlimau, Nyalas",,,,,,,,
42,11/2/2017,5:57,6:07,7:25,13:28,16:47,19:28,20:39
43,12/2/2017,5:57,6:07,7:25,13:28,16:47,19:28,20:39
44,13/2/2017,5:57,6:07,7:25,13:28,16:47,19:28,20:38
45,14/2/2017,5:57,6:07,7:24,13:28,16:46,19:28,20:38
46,15/2/2017,5:57,6:07,7:24,13:28,16:46,19:28,20:38
47,16/2/2017,5:57,6:07,7:24,13:28,16:46,19:28,20:38
48,17/2/2017,5:57,6:07,7:24,13:28,16:45,19:28,20:38
49,18/2/2017,5:57,6:07,7:24,13:28,16:45,19:28,20:38
50,19/2/2017,5:57,6:07,7:24,13:27,16:45,19:28,20:38
51,20/2/2017,5:57,6:07,7:24,13:27,16:44,19:28,20:38
52,21/2/2017,5:57,6:07,7:24,13:27,16:44,19:28,20:38
53,22/2/2017,5:56,6:06,7:23,13:27,16:43,19:28,20:37
54,23/2/2017,5:56,6:06,7:23,13:27,16:43,19:28,20:37
55,24/2/2017,5:56,6:06,7:23,13:27,16:42,19:28,20:37
56,25/2/2017,5:56,6:06,7:23,13:27,16:42,19:27,20:37
57,26/2/2017,5:56,6:06,7:23,13:26,16:41,19:27,20:37
58,27/2/2017,5:56,6:06,7:22,13:26,16:41,19:27,20:37
59,28/2/2017,5:56,6:06,7:22,13:26,16:40,19:27,20:36
60,1/3/2017,5:55,6:05,7:22,13:26,16:40,19:27,20:36
61,2/3/2017,5:55,6:05,7:22,13:26,16:39,19:27,20:36
62,3/3/2017,5:55,6:05,7:21,13:26,16:38,19:27,20:36
63,4/3/2017,5:55,6:05,7:21,13:25,16:38,19:27,20:36
64,5/3/2017,5:55,6:05,7:21,13:25,16:37,19:26,20:35
65,6/3/2017,5:54,6:04,7:20,13:25,16:36,19:26,20:35
66,7/3/2017,5:54,6:04,7:20,13:25,16:36,19:26,20:35
67,8/3/2017,5:54,6:04,7:20,13:24,16:35,19:26,20:35
68,9/3/2017,5:54,6:04,7:20,13:24,16:34,19:26,20:35
69,10/3/2017,5:53,6:03,7:19,13:24,16:33,19:26,20:34
70,11/3/2017,5:53,6:03,7:19,13:24,16:33,19:25,20:34
71,12/3/2017,5:53,6:03,7:19,13:23,16:32,19:25,20:34
72,13/3/2017,5:52,6:02,7:18,13:23,16:31,19:25,20:34
73,14/3/2017,5:52,6:02,7:18,13:23,16:30,19:25,20:33
74,15/3/2017,5:52,6:02,7:18,13:23,16:29,19:24,20:33
75,16/3/2017,5:51,6:01,7:17,13:22,16:28,19:24,20:33
76,17/3/2017,5:51,6:01,7:17,13:22,16:27,19:24,20:33
77,18/3/2017,5:51,6:01,7:16,13:22,16:26,19:24,20:33
78,19/3/2017,5:50,6:00,7:16,13:21,16:26,19:24,20:32
79,20/3/2017,5:50,6:00,7:16,13:21,16:25,19:23,20:32
80,21/3/2017,5:50,6:00,7:15,13:21,16:24,19:23,20:32
81,22/3/2017,5:49,5:59,7:15,13:21,16:23,19:23,20:32
82,23/3/2017,5:49,5:59,7:15,13:20,16:22,19:23,20:31
83,24/3/2017,5:48,5:58,7:14,13:20,16:21,19:22,20:31
84,25/3/2017,5:48,5:58,7:14,13:20,16:20,19:22,20:31
85,26/3/2017,5:48,5:58,7:14,13:19,16:19,19:22,20:31
86,27/3/2017,5:47,5:57,7:13,13:19,16:19,19:22,20:31
87,28/3/2017,5:47,5:57,7:13,13:19,16:19,19:22,20:30
88,29/3/2017,5:47,5:57,7:12,13:18,16:20,19:21,20:30
89,30/3/2017,5:46,5:56,7:12,13:18,16:20,19:21,20:30
90,31/3/2017,5:46,5:56,7:12,13:18,16:21,19:21,20:30
91,1/4/2017,5:45,5:55,7:11,13:18,16:21,19:21,20:30
92,2/4/2017,5:45,5:55,7:11,13:17,16:21,19:20,20:29
93,3/4/2017,5:44,5:54,7:11,13:17,16:22,19:20,20:29
94,4/4/2017,5:44,5:54,7:10,13:17,16:22,19:20,20:29
95,5/4/2017,5:44,5:54,7:10,13:16,16:23,19:20,20:29
96,6/4/2017,5:43,5:53,7:10,13:16,16:23,19:19,20:29
97,7/4/2017,5:43,5:53,7:09,13:16,16:23,19:19,20:29
98,8/4/2017,5:42,5:52,7:09,13:15,16:24,19:19,20:28
99,9/4/2017,5:42,5:52,7:09,13:15,16:24,19:19,20:28
100,10/4/2017,5:42,5:52,7:08,13:15,16:24,19:19,20:28
101,11/4/2017,5:41,5:51,7:08,13:15,16:25,19:18,20:28
102,12/4/2017,5:41,5:51,7:08,13:14,16:25,19:18,20:28
103,13/4/2017,5:40,5:50,7:07,13:14,16:25,19:18,20:28
104,14/4/2017,5:40,5:50,7:07,13:14,16:25,19:18,20:28
105,15/4/2017,5:40,5:50,7:07,13:14,16:26,19:18,20:28
106,16/4/2017,5:39,5:49,7:06,13:13,16:26,19:17,20:27
107,17/4/2017,5:39,5:49,7:06,13:13,16:26,19:17,20:27
108,18/4/2017,5:38,5:48,7:06,13:13,16:26,19:17,20:27
109,19/4/2017,5:38,5:48,7:05,13:13,16:27,19:17,20:27
110,20/4/2017,5:38,5:48,7:05,13:13,16:27,19:17,20:27
111,21/4/2017,5:37,5:47,7:05,13:12,16:27,19:17,20:27
112,22/4/2017,5:37,5:47,7:05,13:12,16:27,19:17,20:27
113,23/4/2017,5:37,5:47,7:04,13:12,16:28,19:16,20:27
114,24/4/2017,5:36,5:46,7:04,13:12,16:28,19:16,20:27
115,25/4/2017,5:36,5:46,7:04,13:12,16:28,19:16,20:27
116,26/4/2017,5:35,5:45,7:04,13:11,16:28,19:16,20:27
117,27/4/2017,5:35,5:45,7:03,13:11,16:29,19:16,20:27
118,28/4/2017,5:35,5:45,7:03,13:11,16:29,19:16,20:27
119,29/4/2017,5:34,5:44,7:03,13:11,16:29,19:16,20:27
120,30/4/2017,5:34,5:44,7:03,13:11,16:29,19:16,20:27
121,1/5/2017,5:34,5:44,7:03,13:11,16:29,19:16,20:27
122,2/5/2017,5:34,5:44,7:02,13:11,16:30,19:16,20:27
123,3/5/2017,5:33,5:43,7:02,13:11,16:30,19:16,20:27
124,4/5/2017,5:33,5:43,7:02,13:10,16:30,19:16,20:27
125,5/5/2017,5:33,5:43,7:02,13:10,16:30,19:16,20:27
126,6/5/2017,5:32,5:42,7:02,13:10,16:30,19:16,20:28
127,7/5/2017,5:32,5:42,7:02,13:10,16:31,19:15,20:28
128,8/5/2017,5:32,5:42,7:02,13:10,16:31,19:15,20:28
129,9/5/2017,5:32,5:42,7:02,13:10,16:31,19:15,20:28
130,10/5/2017,5:32,5:42,7:01,13:10,16:31,19:16,20:28
131,11/5/2017,5:31,5:41,7:01,13:10,16:31,19:16,20:28
132,12/5/2017,5:31,5:41,7:01,13:10,16:32,19:16,20:28
133,13/5/2017,5:31,5:41,7:01,13:10,16:32,19:16,20:28
134,14/5/2017,5:31,5:41,7:01,13:10,16:32,19:16,20:29
135,15/5/2017,5:31,5:41,7:01,13:10,16:32,19:16,20:29
136,16/5/2017,5:30,5:40,7:01,13:10,16:32,19:16,20:29
137,17/5/2017,5:30,5:40,7:01,13:10,16:33,19:16,20:29
138,18/5/2017,5:30,5:40,7:01,13:10,16:33,19:16,20:29
139,19/5/2017,5:30,5:40,7:01,13:10,16:33,19:16,20:29
140,20/5/2017,5:30,5:40,7:01,13:10,16:33,19:16,20:30
141,21/5/2017,5:30,5:40,7:01,13:10,16:33,19:16,20:30
142,22/5/2017,5:30,5:40,7:01,13:10,16:34,19:16,20:30
143,23/5/2017,5:30,5:40,7:01,13:10,16:34,19:16,20:30
144,24/5/2017,5:30,5:40,7:01,13:10,16:34,19:17,20:31
145,25/5/2017,5:30,5:40,7:01,13:11,16:34,19:17,20:31
146,26/5/2017,5:30,5:40,7:01,13:11,16:35,19:17,20:31
147,27/5/2017,5:29,5:39,7:01,13:11,16:35,19:17,20:31
148,28/5/2017,5:29,5:39,7:01,13:11,16:35,19:17,20:31
149,29/5/2017,5:29,5:39,7:02,13:11,16:35,19:17,20:32
150,30/5/2017,5:29,5:39,7:02,13:11,16:36,19:17,20:32
151,31/5/2017,5:29,5:39,7:02,13:11,16:36,19:18,20:32
152,1/6/2017,5:30,5:40,7:02,13:11,16:36,19:18,20:33
153,2/6/2017,5:30,5:40,7:02,13:12,16:36,19:18,20:33
154,3/6/2017,5:30,5:40,7:02,13:12,16:37,19:18,20:33
155,4/6/2017,5:30,5:40,7:02,13:12,16:37,19:18,20:33
156,5/6/2017,5:30,5:40,7:02,13:12,16:37,19:19,20:34
157,6/6/2017,5:30,5:40,7:03,13:12,16:37,19:19,20:34
158,7/6/2017,5:30,5:40,7:03,13:12,16:38,19:19,20:34
159,8/6/2017,5:30,5:40,7:03,13:13,16:38,19:19,20:34
160,9/6/2017,5:30,5:40,7:03,13:13,16:38,19:19,20:35
161,10/6/2017,5:30,5:40,7:03,13:13,16:38,19:20,20:35
162,11/6/2017,5:30,5:40,7:03,13:13,16:39,19:20,20:35
163,12/6/2017,5:31,5:41,7:04,13:13,16:39,19:20,20:35
164,13/6/2017,5:31,5:41,7:04,13:14,16:39,19:20,20:36
165,14/6/2017,5:31,5:41,7:04,13:14,16:39,19:21,20:36
166,15/6/2017,5:31,5:41,7:04,13:14,16:40,19:21,20:36
167,16/6/2017,5:31,5:41,7:04,13:14,16:40,19:21,20:36
168,17/6/2017,5:31,5:41,7:05,13:15,16:40,19:21,20:37
169,18/6/2017,5:32,5:42,7:05,13:15,16:40,19:21,20:37
170,19/6/2017,5:32,5:42,7:05,13:15,16:40,19:22,20:37
171,20/6/2017,5:32,5:42,7:05,13:15,16:41,19:22,20:37
172,21/6/2017,5:32,5:42,7:06,13:15,16:41,19:22,20:38
173,22/6/2017,5:32,5:42,7:06,13:16,16:41,19:22,20:38
174,23/6/2017,5:33,5:43,7:06,13:16,16:41,19:23,20:38
175,24/6/2017,5:33,5:43,7:06,13:16,16:42,19:23,20:38
176,25/6/2017,5:33,5:43,7:06,13:16,16:42,19:23,20:38
177,26/6/2017,5:33,5:43,7:07,13:16,16:42,19:23,20:39
178,27/6/2017,5:34,5:44,7:07,13:17,16:42,19:23,20:39
179,28/6/2017,5:34,5:44,7:07,13:17,16:42,19:24,20:39
180,29/6/2017,5:34,5:44,7:07,13:17,16:42,19:24,20:39
181,30/6/2017,5:34,5:44,7:08,13:17,16:43,19:24,20:39
182,1/7/2017,5:35,5:45,7:08,13:17,16:43,19:24,20:39
183,2/7/2017,5:35,5:45,7:08,13:18,16:43,19:24,20:39
184,3/7/2017,5:35,5:45,7:08,13:18,16:43,19:24,20:40
185,4/7/2017,5:35,5:45,7:08,13:18,16:43,19:25,20:40
186,5/7/2017,5:36,5:46,7:09,13:18,16:43,19:25,20:40
187,6/7/2017,5:36,5:46,7:09,13:18,16:43,19:25,20:40
188,7/7/2017,5:36,5:46,7:09,13:19,16:43,19:25,20:40
189,8/7/2017,5:36,5:46,7:09,13:19,16:44,19:25,20:40
190,9/7/2017,5:37,5:47,7:09,13:19,16:44,19:25,20:40
191,10/7/2017,5:37,5:47,7:09,13:19,16:44,19:25,20:40
192,11/7/2017,5:37,5:47,7:10,13:19,16:44,19:26,20:40
193,12/7/2017,5:37,5:47,7:10,13:19,16:44,19:26,20:40
194,13/7/2017,5:38,5:48,7:10,13:19,16:44,19:26,20:40
195,14/7/2017,5:38,5:48,7:10,13:19,16:44,19:26,20:40
196,15/7/2017,5:38,5:48,7:10,13:20,16:44,19:26,20:40
197,16/7/2017,5:38,5:48,7:10,13:20,16:44,19:26,20:40
198,17/7/2017,5:39,5:49,7:10,13:20,16:44,19:26,20:40
199,18/7/2017,5:39,5:49,7:11,13:20,16:44,19:26,20:40
200,19/7/2017,5:39,5:49,7:11,13:20,16:44,19:26,20:40
201,20/7/2017,5:39,5:49,7:11,13:20,16:44,19:26,20:40
202,21/7/2017,5:39,5:49,7:11,13:20,16:43,19:26,20:40
203,22/7/2017,5:40,5:50,7:11,13:20,16:43,19:26,20:40
204,23/7/2017,5:40,5:50,7:11,13:20,16:43,19:26,20:40
205,24/7/2017,5:40,5:50,7:11,13:20,16:43,19:26,20:39
206,25/7/2017,5:40,5:50,7:11,13:20,16:43,19:26,20:39
207,26/7/2017,5:40,5:50,7:11,13:20,16:43,19:26,20:39
208,27/7/2017,5:40,5:50,7:11,13:20,16:43,19:26,20:39
209,28/7/2017,5:41,5:51,7:11,13:20,16:42,19:26,20:39
210,29/7/2017,5:41,5:51,7:11,13:20,16:42,19:26,20:39
211,30/7/2017,5:41,5:51,7:11,13:20,16:42,19:26,20:38
212,31/7/2017,5:41,5:51,7:11,13:20,16:42,19:26,20:38
213,1/8/2017,5:41,5:51,7:11,13:20,16:41,19:25,20:38
214,2/8/2017,5:41,5:51,7:11,13:20,16:41,19:25,20:38
215,3/8/2017,5:41,5:51,7:11,13:20,16:41,19:25,20:38
216,4/8/2017,5:41,5:51,7:11,13:20,16:40,19:25,20:37
217,5/8/2017,5:42,5:52,7:11,13:20,16:40,19:25,20:37
218,6/8/2017,5:42,5:52,7:11,13:20,16:40,19:25,20:37
219,7/8/2017,5:42,5:52,7:11,13:19,16:39,19:25,20:36
220,8/8/2017,5:42,5:52,7:11,13:19,16:39,19:24,20:36
221,9/8/2017,5:42,5:52,7:11,13:19,16:38,19:24,20:36
222,10/8/2017,5:42,5:52,7:11,13:19,16:38,19:24,20:36
223,11/8/2017,5:42,5:52,7:11,13:19,16:37,19:24,20:35
224,12/8/2017,5:42,5:52,7:11,13:19,16:37,19:24,20:35
225,13/8/2017,5:42,5:52,7:10,13:18,16:36,19:23,20:35
226,14/8/2017,5:42,5:52,7:10,13:18,16:36,19:23,20:34
227,15/8/2017,5:42,5:52,7:10,13:18,16:35,19:23,20:34
228,16/8/2017,5:42,5:52,7:10,13:18,16:35,19:23,20:33
229,17/8/2017,5:42,5:52,7:10,13:18,16:34,19:22,20:33
230,18/8/2017,5:42,5:52,7:10,13:17,16:34,19:22,20:33
231,19/8/2017,5:42,5:52,7:10,13:17,16:33,19:22,20:32
232,20/8/2017,5:42,5:52,7:09,13:17,16:32,19:21,20:32
233,21/8/2017,5:42,5:52,7:09,13:17,16:32,19:21,20:32
234,22/8/2017,5:41,5:51,7:09,13:17,16:31,19:21,20:31
235,23/8/2017,5:41,5:51,7:09,13:16,16:30,19:21,20:31
236,24/8/2017,5:41,5:51,7:09,13:16,16:30,19:20,20:30
237,25/8/2017,5:41,5:51,7:08,13:16,16:29,19:20,20:30
238,26/8/2017,5:41,5:51,7:08,13:15,16:28,19:19,20:29
239,27/8/2017,5:41,5:51,7:08,13:15,16:27,19:19,20:29
240,28/8/2017,5:41,5:51,7:08,13:15,16:27,19:19,20:29
241,29/8/2017,5:41,5:51,7:08,13:15,16:26,19:18,20:28
242,30/8/2017,5:40,5:50,7:07,13:14,16:25,19:18,20:28
243,31/8/2017,5:40,5:50,7:07,13:14,16:24,19:18,20:27
244,1/9/2017,5:40,5:50,7:07,13:14,16:23,19:17,20:27
245,2/9/2017,5:40,5:50,7:07,13:13,16:22,19:17,20:26
246,3/9/2017,5:40,5:50,7:06,13:13,16:21,19:17,20:26
247,4/9/2017,5:40,5:50,7:06,13:13,16:20,19:16,20:25
248,5/9/2017,5:39,5:49,7:06,13:12,16:19,19:16,20:25
249,6/9/2017,5:39,5:49,7:05,13:12,16:19,19:15,20:25
250,7/9/2017,5:39,5:49,7:05,13:12,16:18,19:15,20:24
251,8/9/2017,5:39,5:49,7:05,13:11,16:17,19:15,20:24
252,9/9/2017,5:39,5:49,7:05,13:11,16:15,19:14,20:23
253,10/9/2017,5:38,5:48,7:04,13:11,16:14,19:14,20:23
254,11/9/2017,5:38,5:48,7:04,13:10,16:13,19:13,20:22
255,12/9/2017,5:38,5:48,7:04,13:10,16:12,19:13,20:22
256,13/9/2017,5:38,5:48,7:04,13:10,16:11,19:12,20:21
257,14/9/2017,5:37,5:47,7:03,13:09,16:10,19:12,20:21
258,15/9/2017,5:37,5:47,7:03,13:09,16:09,19:12,20:20
259,16/9/2017,5:37,5:47,7:03,13:08,16:08,19:11,20:20
260,17/9/2017,5:37,5:47,7:02,13:08,16:08,19:11,20:20
261,18/9/2017,5:36,5:46,7:02,13:08,16:08,19:10,20:19
262,19/9/2017,5:36,5:46,7:02,13:07,16:08,19:10,20:19
263,20/9/2017,5:36,5:46,7:01,13:07,16:09,19:09,20:18
264,21/9/2017,5:35,5:45,7:01,13:07,16:09,19:09,20:18
265,22/9/2017,5:35,5:45,7:01,13:06,16:09,19:09,20:17
266,23/9/2017,5:35,5:45,7:01,13:06,16:10,19:08,20:17
267,24/9/2017,5:35,5:45,7:00,13:06,16:10,19:08,20:17
268,25/9/2017,5:34,5:44,7:00,13:05,16:10,19:07,20:16
269,26/9/2017,5:34,5:44,7:00,13:05,16:11,19:07,20:16
270,27/9/2017,5:34,5:44,6:59,13:05,16:11,19:07,20:15
271,28/9/2017,5:33,5:43,6:59,13:04,16:11,19:06,20:15
272,29/9/2017,5:33,5:43,6:59,13:04,16:11,19:06,20:15
273,30/9/2017,5:33,5:43,6:59,13:04,16:12,19:05,20:14
274,1/10/2017,5:33,5:43,6:58,13:03,16:12,19:05,20:14
275,2/10/2017,5:32,5:42,6:58,13:03,16:12,19:05,20:13
276,3/10/2017,5:32,5:42,6:58,13:03,16:12,19:04,20:13
277,4/10/2017,5:32,5:42,6:58,13:02,16:12,19:04,20:13
278,5/10/2017,5:31,5:41,6:57,13:02,16:13,19:04,20:12
279,6/10/2017,5:31,5:41,6:57,13:02,16:13,19:03,20:12
280,7/10/2017,5:31,5:41,6:57,13:01,16:13,19:03,20:12
281,8/10/2017,5:31,5:41,6:57,13:01,16:13,19:02,20:12
282,9/10/2017,5:30,5:40,6:57,13:01,16:13,19:02,20:11
283,10/10/2017,5:30,5:40,6:56,13:01,16:14,19:02,20:11
284,11/10/2017,5:30,5:40,6:56,13:00,16:14,19:01,20:11
285,12/10/2017,5:30,5:40,6:56,13:00,16:14,19:01,20:10
286,13/10/2017,5:29,5:39,6:56,13:00,16:14,19:01,20:10
287,14/10/2017,5:29,5:39,6:56,13:00,16:14,19:01,20:10
288,15/10/2017,5:29,5:39,6:55,12:59,16:14,19:00,20:10
289,16/10/2017,5:29,5:39,6:55,12:59,16:14,19:00,20:10
290,17/10/2017,5:28,5:38,6:55,12:59,16:15,19:00,20:09
291,18/10/2017,5:28,5:38,6:55,12:59,16:15,18:59,20:09
292,19/10/2017,5:28,5:38,6:55,12:59,16:15,18:59,20:09
293,20/10/2017,5:28,5:38,6:55,12:58,16:15,18:59,20:09
294,21/10/2017,5:28,5:38,6:55,12:58,16:15,18:59,20:09
295,22/10/2017,5:27,5:37,6:55,12:58,16:15,18:59,20:09
296,23/10/2017,5:27,5:37,6:54,12:58,16:16,18:58,20:08
297,24/10/2017,5:27,5:37,6:54,12:58,16:16,18:58,20:08
298,25/10/2017,5:27,5:37,6:54,12:58,16:16,18:58,20:08
299,26/10/2017,5:27,5:37,6:54,12:58,16:16,18:58,20:08
300,27/10/2017,5:27,5:37,6:54,12:58,16:16,18:58,20:08
301,28/10/2017,5:26,5:36,6:54,12:57,16:16,18:58,20:08
302,29/10/2017,5:26,5:36,6:54,12:57,16:16,18:57,20:08
303,30/10/2017,5:26,5:36,6:54,12:57,16:17,18:57,20:08
304,31/10/2017,5:26,5:36,6:54,12:57,16:17,18:57,20:08
305,1/11/2017,5:26,5:36,6:54,12:57,16:17,18:57,20:08
306,2/11/2017,5:26,5:36,6:54,12:57,16:17,18:57,20:08
307,3/11/2017,5:26,5:36,6:54,12:57,16:17,18:57,20:08
308,4/11/2017,5:26,5:36,6:54,12:57,16:18,18:57,20:08
309,5/11/2017,5:26,5:36,6:54,12:57,16:18,18:57,20:08
310,6/11/2017,5:26,5:36,6:54,12:57,16:18,18:57,20:08
311,7/11/2017,5:26,5:36,6:55,12:57,16:18,18:57,20:09
312,8/11/2017,5:26,5:36,6:55,12:57,16:18,18:57,20:09
313,9/11/2017,5:26,5:36,6:55,12:57,16:19,18:57,20:09
314,10/11/2017,5:26,5:36,6:55,12:58,16:19,18:57,20:09
315,11/11/2017,5:26,5:36,6:55,12:58,16:19,18:57,20:09
316,12/11/2017,5:26,5:36,6:55,12:58,16:19,18:57,20:09
317,13/11/2017,5:26,5:36,6:55,12:58,16:20,18:57,20:09
318,14/11/2017,5:26,5:36,6:56,12:58,16:20,18:57,20:10
319,15/11/2017,5:26,5:36,6:56,12:58,16:20,18:57,20:10
320,16/11/2017,5:26,5:36,6:56,12:58,16:20,18:58,20:10
321,17/11/2017,5:26,5:36,6:56,12:59,16:21,18:58,20:10
322,18/11/2017,5:26,5:36,6:56,12:59,16:21,18:58,20:11
323,19/11/2017,5:26,5:36,6:57,12:59,16:21,18:58,20:11
324,20/11/2017,5:27,5:37,6:57,12:59,16:22,18:58,20:11
325,21/11/2017,5:27,5:37,6:57,12:59,16:22,18:58,20:12
326,22/11/2017,5:27,5:37,6:58,13:00,16:22,18:59,20:12
327,23/11/2017,5:27,5:37,6:58,13:00,16:23,18:59,20:12
328,24/11/2017,5:27,5:37,6:58,13:00,16:23,18:59,20:13
329,25/11/2017,5:28,5:38,6:59,13:01,16:23,18:59,20:13
330,26/11/2017,5:28,5:38,6:59,13:01,16:24,19:00,20:13
331,27/11/2017,5:28,5:38,6:59,13:01,16:24,19:00,20:14
332,28/11/2017,5:28,5:38,7:00,13:02,16:24,19:00,20:14
333,29/11/2017,5:29,5:39,7:00,13:02,16:25,19:01,20:15
334,30/11/2017,5:29,5:39,7:00,13:02,16:25,19:01,20:15
335,1/12/2017,5:29,5:39,7:01,13:03,16:26,19:01,20:15
336,2/12/2017,5:29,5:39,7:01,13:03,16:26,19:02,20:16
337,3/12/2017,5:30,5:40,7:02,13:03,16:27,19:02,20:16
338,4/12/2017,5:30,5:40,7:02,13:04,16:27,19:02,20:17
339,5/12/2017,5:30,5:40,7:02,13:04,16:27,19:03,20:17
340,6/12/2017,5:31,5:41,7:03,13:05,16:28,19:03,20:18
341,7/12/2017,5:31,5:41,7:03,13:05,16:28,19:04,20:18
342,8/12/2017,5:32,5:42,7:04,13:05,16:29,19:04,20:19
343,9/12/2017,5:32,5:42,7:04,13:06,16:29,19:04,20:19
344,10/12/2017,5:32,5:42,7:05,13:06,16:30,19:05,20:20
345,11/12/2017,5:33,5:43,7:05,13:07,16:30,19:05,20:20
346,12/12/2017,5:33,5:43,7:06,13:07,16:31,19:06,20:21
347,13/12/2017,5:34,5:44,7:06,13:08,16:31,19:06,20:21
348,14/12/2017,5:34,5:44,7:07,13:08,16:32,19:07,20:21
349,15/12/2017,5:35,5:45,7:07,13:09,16:32,19:07,20:22
350,16/12/2017,5:35,5:45,7:08,13:09,16:33,19:08,20:23
351,17/12/2017,5:35,5:45,7:08,13:10,16:33,19:08,20:23
352,18/12/2017,5:36,5:46,7:09,13:10,16:34,19:09,20:24
353,19/12/2017,5:36,5:46,7:09,13:11,16:34,19:09,20:24
354,20/12/2017,5:37,5:47,7:10,13:11,16:35,19:10,20:25
355,21/12/2017,5:37,5:47,7:10,13:12,16:35,19:10,20:25
356,22/12/2017,5:38,5:48,7:11,13:12,16:36,19:11,20:26
357,23/12/2017,5:38,5:48,7:11,13:13,16:36,19:11,20:26
358,24/12/2017,5:39,5:49,7:12,13:13,16:37,19:12,20:26
359,25/12/2017,5:39,5:49,7:12,13:14,16:37,19:12,20:27
360,26/12/2017,5:40,5:50,7:13,13:14,16:38,19:13,20:27
361,27/12/2017,5:40,5:50,7:13,13:15,16:38,19:13,20:28
362,28/12/2017,5:41,5:51,7:14,13:15,16:39,19:14,20:28
363,29/12/2017,5:41,5:51,7:14,13:16,16:39,19:14,20:29
364,30/12/2017,5:42,5:52,7:14,13:16,16:39,19:15,20:29
365,31/12/2017,5:42,5:52,7:15,13:17,16:40,19:15,20:30
