,,,,,,,,
,,,,,,,,
"  Zon : Zon 3 - Tatau, Suai, Belaga, Pandan, Sebauh, Bintulu",,,,,,,,
42,11/2/2017,5:14,5:24,6:38,12:44,16:04,18:44,19:55
43,12/2/2017,5:14,5:24,6:38,12:44,16:04,18:44,19:55
44,13/2/2017,5:14,5:24,6:37,12:44,16:03,18:44,19:54
45,14/2/2017,5:14,5:24,6:37,12:44,16:03,18:44,19:54
46,15/2/2017,5:14,5:24,6:37,12:44,16:03,18:44,19:54
47,16/2/2017,5:14,5:24,6:37,12:44,16:02,18:44,19:54
48,17/2/2017,5:14,5:24,6:37,12:44,16:02,18:44,19:54
49,18/2/2017,5:14,5:24,6:37,12:44,16:02,18:44,19:54
50,19/2/2017,5:14,5:24,6:37,12:44,16:01,18:44,19:54
51,20/2/2017,5:13,5:23,6:37,12:44,16:01,18:44,19:54
52,21/2/2017,5:13,5:23,6:36,12:44,16:01,18:44,19:54
53,22/2/2017,5:13,5:23,6:36,12:44,16:00,18:44,19:54
54,23/2/2017,5:13,5:23,6:36,12:43,16:00,18:44,19:53
55,24/2/2017,5:13,5:23,6:36,12:43,15:59,18:44,19:53
56,25/2/2017,5:13,5:23,6:35,12:43,15:59,18:44,19:53
57,26/2/2017,5:13,5:23,6:35,12:43,15:58,18:44,19:53
58,27/2/2017,5:13,5:23,6:35,12:43,15:58,18:43,19:53
59,28/2/2017,5:12,5:22,6:35,12:43,15:57,18:43,19:53
60,1/3/2017,5:12,5:22,6:34,12:42,15:56,18:43,19:53
61,2/3/2017,5:12,5:22,6:34,12:42,15:56,18:43,19:52
62,3/3/2017,5:12,5:22,6:34,12:42,15:55,18:43,19:52
63,4/3/2017,5:11,5:21,6:34,12:42,15:55,18:43,19:52
64,5/3/2017,5:11,5:21,6:33,12:42,15:54,18:43,19:52
65,6/3/2017,5:11,5:21,6:33,12:41,15:53,18:43,19:52
66,7/3/2017,5:11,5:21,6:33,12:41,15:53,18:42,19:51
67,8/3/2017,5:10,5:20,6:32,12:41,15:52,18:42,19:51
68,9/3/2017,5:10,5:20,6:32,12:41,15:51,18:42,19:51
69,10/3/2017,5:10,5:20,6:32,12:40,15:50,18:42,19:51
70,11/3/2017,5:10,5:20,6:31,12:40,15:50,18:42,19:51
71,12/3/2017,5:09,5:19,6:31,12:40,15:49,18:41,19:50
72,13/3/2017,5:09,5:19,6:31,12:40,15:48,18:41,19:50
73,14/3/2017,5:09,5:19,6:30,12:39,15:47,18:41,19:50
74,15/3/2017,5:08,5:18,6:30,12:39,15:46,18:41,19:50
75,16/3/2017,5:08,5:18,6:30,12:39,15:45,18:41,19:49
76,17/3/2017,5:07,5:17,6:29,12:38,15:45,18:40,19:49
77,18/3/2017,5:07,5:17,6:29,12:38,15:44,18:40,19:49
78,19/3/2017,5:07,5:17,6:29,12:38,15:43,18:40,19:49
79,20/3/2017,5:06,5:16,6:28,12:38,15:42,18:40,19:49
80,21/3/2017,5:06,5:16,6:28,12:37,15:41,18:40,19:48
81,22/3/2017,5:06,5:16,6:27,12:37,15:40,18:39,19:48
82,23/3/2017,5:05,5:15,6:27,12:37,15:39,18:39,19:48
83,24/3/2017,5:05,5:15,6:27,12:36,15:38,18:39,19:48
84,25/3/2017,5:04,5:14,6:26,12:36,15:37,18:39,19:48
85,26/3/2017,5:04,5:14,6:26,12:36,15:36,18:39,19:47
86,27/3/2017,5:04,5:14,6:25,12:35,15:35,18:38,19:47
87,28/3/2017,5:03,5:13,6:25,12:35,15:35,18:38,19:47
88,29/3/2017,5:03,5:13,6:25,12:35,15:35,18:38,19:47
89,30/3/2017,5:02,5:12,6:24,12:35,15:36,18:38,19:47
90,31/3/2017,5:02,5:12,6:24,12:34,15:36,18:37,19:46
91,1/4/2017,5:01,5:11,6:24,12:34,15:37,18:37,19:46
92,2/4/2017,5:01,5:11,6:23,12:34,15:37,18:37,19:46
93,3/4/2017,5:01,5:11,6:23,12:33,15:38,18:37,19:46
94,4/4/2017,5:00,5:10,6:22,12:33,15:38,18:37,19:46
95,5/4/2017,5:00,5:10,6:22,12:33,15:38,18:36,19:46
96,6/4/2017,4:59,5:09,6:22,12:33,15:39,18:36,19:45
97,7/4/2017,4:59,5:09,6:21,12:32,15:39,18:36,19:45
98,8/4/2017,4:58,5:08,6:21,12:32,15:40,18:36,19:45
99,9/4/2017,4:58,5:08,6:21,12:32,15:40,18:36,19:45
100,10/4/2017,4:58,5:08,6:20,12:31,15:40,18:35,19:45
101,11/4/2017,4:57,5:07,6:20,12:31,15:41,18:35,19:45
102,12/4/2017,4:57,5:07,6:20,12:31,15:41,18:35,19:45
103,13/4/2017,4:56,5:06,6:19,12:31,15:41,18:35,19:45
104,14/4/2017,4:56,5:06,6:19,12:30,15:41,18:35,19:45
105,15/4/2017,4:56,5:06,6:19,12:30,15:42,18:34,19:44
106,16/4/2017,4:55,5:05,6:18,12:30,15:42,18:34,19:44
107,17/4/2017,4:55,5:05,6:18,12:30,15:42,18:34,19:44
108,18/4/2017,4:54,5:04,6:18,12:29,15:43,18:34,19:44
109,19/4/2017,4:54,5:04,6:17,12:29,15:43,18:34,19:44
110,20/4/2017,4:54,5:04,6:17,12:29,15:43,18:34,19:44
111,21/4/2017,4:53,5:03,6:17,12:29,15:43,18:34,19:44
112,22/4/2017,4:53,5:03,6:17,12:29,15:44,18:33,19:44
113,23/4/2017,4:52,5:02,6:16,12:28,15:44,18:33,19:44
114,24/4/2017,4:52,5:02,6:16,12:28,15:44,18:33,19:44
115,25/4/2017,4:52,5:02,6:16,12:28,15:44,18:33,19:44
116,26/4/2017,4:51,5:01,6:16,12:28,15:45,18:33,19:44
117,27/4/2017,4:51,5:01,6:15,12:28,15:45,18:33,19:44
118,28/4/2017,4:51,5:01,6:15,12:28,15:45,18:33,19:44
119,29/4/2017,4:50,5:00,6:15,12:27,15:45,18:33,19:44
120,30/4/2017,4:50,5:00,6:15,12:27,15:45,18:33,19:44
121,1/5/2017,4:50,5:00,6:15,12:27,15:46,18:33,19:44
122,2/5/2017,4:49,4:59,6:14,12:27,15:46,18:33,19:44
123,3/5/2017,4:49,4:59,6:14,12:27,15:46,18:33,19:44
124,4/5/2017,4:49,4:59,6:14,12:27,15:46,18:33,19:44
125,5/5/2017,4:48,4:58,6:14,12:27,15:46,18:33,19:45
126,6/5/2017,4:48,4:58,6:14,12:27,15:47,18:33,19:45
127,7/5/2017,4:48,4:58,6:14,12:27,15:47,18:33,19:45
128,8/5/2017,4:48,4:58,6:13,12:27,15:47,18:33,19:45
129,9/5/2017,4:47,4:57,6:13,12:27,15:47,18:33,19:45
130,10/5/2017,4:47,4:57,6:13,12:26,15:48,18:33,19:45
131,11/5/2017,4:47,4:57,6:13,12:26,15:48,18:33,19:45
132,12/5/2017,4:47,4:57,6:13,12:26,15:48,18:33,19:45
133,13/5/2017,4:47,4:57,6:13,12:26,15:48,18:33,19:46
134,14/5/2017,4:46,4:56,6:13,12:26,15:48,18:33,19:46
135,15/5/2017,4:46,4:56,6:13,12:26,15:49,18:33,19:46
136,16/5/2017,4:46,4:56,6:13,12:26,15:49,18:33,19:46
137,17/5/2017,4:46,4:56,6:13,12:26,15:49,18:33,19:46
138,18/5/2017,4:46,4:56,6:13,12:27,15:49,18:33,19:47
139,19/5/2017,4:46,4:56,6:13,12:27,15:50,18:33,19:47
140,20/5/2017,4:45,4:55,6:13,12:27,15:50,18:33,19:47
141,21/5/2017,4:45,4:55,6:13,12:27,15:50,18:33,19:47
142,22/5/2017,4:45,4:55,6:13,12:27,15:50,18:34,19:47
143,23/5/2017,4:45,4:55,6:13,12:27,15:50,18:34,19:48
144,24/5/2017,4:45,4:55,6:13,12:27,15:51,18:34,19:48
145,25/5/2017,4:45,4:55,6:13,12:27,15:51,18:34,19:48
146,26/5/2017,4:45,4:55,6:13,12:27,15:51,18:34,19:48
147,27/5/2017,4:45,4:55,6:13,12:27,15:51,18:34,19:49
148,28/5/2017,4:45,4:55,6:13,12:27,15:52,18:34,19:49
149,29/5/2017,4:45,4:55,6:13,12:28,15:52,18:35,19:49
150,30/5/2017,4:45,4:55,6:13,12:28,15:52,18:35,19:49
151,31/5/2017,4:45,4:55,6:13,12:28,15:52,18:35,19:50
152,1/6/2017,4:45,4:55,6:14,12:28,15:53,18:35,19:50
153,2/6/2017,4:45,4:55,6:14,12:28,15:53,18:35,19:50
154,3/6/2017,4:45,4:55,6:14,12:28,15:53,18:36,19:50
155,4/6/2017,4:45,4:55,6:14,12:28,15:53,18:36,19:51
156,5/6/2017,4:45,4:55,6:14,12:29,15:54,18:36,19:51
157,6/6/2017,4:45,4:55,6:14,12:29,15:54,18:36,19:51
158,7/6/2017,4:45,4:55,6:14,12:29,15:54,18:36,19:52
159,8/6/2017,4:46,4:56,6:15,12:29,15:54,18:37,19:52
160,9/6/2017,4:46,4:56,6:15,12:29,15:55,18:37,19:52
161,10/6/2017,4:46,4:56,6:15,12:30,15:55,18:37,19:52
162,11/6/2017,4:46,4:56,6:15,12:30,15:55,18:37,19:53
163,12/6/2017,4:46,4:56,6:15,12:30,15:55,18:37,19:53
164,13/6/2017,4:46,4:56,6:16,12:30,15:56,18:38,19:53
165,14/6/2017,4:46,4:56,6:16,12:30,15:56,18:38,19:53
166,15/6/2017,4:47,4:57,6:16,12:31,15:56,18:38,19:54
167,16/6/2017,4:47,4:57,6:16,12:31,15:56,18:38,19:54
168,17/6/2017,4:47,4:57,6:16,12:31,15:57,18:39,19:54
169,18/6/2017,4:47,4:57,6:17,12:31,15:57,18:39,19:54
170,19/6/2017,4:47,4:57,6:17,12:31,15:57,18:39,19:55
171,20/6/2017,4:48,4:58,6:17,12:32,15:57,18:39,19:55
172,21/6/2017,4:48,4:58,6:17,12:32,15:58,18:39,19:55
173,22/6/2017,4:48,4:58,6:17,12:32,15:58,18:40,19:55
174,23/6/2017,4:48,4:58,6:18,12:32,15:58,18:40,19:55
175,24/6/2017,4:48,4:58,6:18,12:33,15:58,18:40,19:56
176,25/6/2017,4:49,4:59,6:18,12:33,15:58,18:40,19:56
177,26/6/2017,4:49,4:59,6:18,12:33,15:59,18:41,19:56
178,27/6/2017,4:49,4:59,6:19,12:33,15:59,18:41,19:56
179,28/6/2017,4:49,4:59,6:19,12:33,15:59,18:41,19:56
180,29/6/2017,4:50,5:00,6:19,12:34,15:59,18:41,19:56
181,30/6/2017,4:50,5:00,6:19,12:34,15:59,18:41,19:57
182,1/7/2017,4:50,5:00,6:19,12:34,15:59,18:41,19:57
183,2/7/2017,4:50,5:00,6:20,12:34,16:00,18:42,19:57
184,3/7/2017,4:51,5:01,6:20,12:34,16:00,18:42,19:57
185,4/7/2017,4:51,5:01,6:20,12:35,16:00,18:42,19:57
186,5/7/2017,4:51,5:01,6:20,12:35,16:00,18:42,19:57
187,6/7/2017,4:51,5:01,6:20,12:35,16:00,18:42,19:57
188,7/7/2017,4:52,5:02,6:21,12:35,16:00,18:42,19:57
189,8/7/2017,4:52,5:02,6:21,12:35,16:00,18:42,19:57
190,9/7/2017,4:52,5:02,6:21,12:35,16:00,18:43,19:57
191,10/7/2017,4:53,5:03,6:21,12:35,16:00,18:43,19:58
192,11/7/2017,4:53,5:03,6:21,12:36,16:00,18:43,19:58
193,12/7/2017,4:53,5:03,6:21,12:36,16:00,18:43,19:58
194,13/7/2017,4:53,5:03,6:22,12:36,16:00,18:43,19:58
195,14/7/2017,4:54,5:04,6:22,12:36,16:00,18:43,19:58
196,15/7/2017,4:54,5:04,6:22,12:36,16:00,18:43,19:58
197,16/7/2017,4:54,5:04,6:22,12:36,16:00,18:43,19:57
198,17/7/2017,4:54,5:04,6:22,12:36,16:00,18:43,19:57
199,18/7/2017,4:54,5:04,6:22,12:36,16:00,18:43,19:57
200,19/7/2017,4:55,5:05,6:22,12:36,16:00,18:43,19:57
201,20/7/2017,4:55,5:05,6:23,12:36,16:00,18:43,19:57
202,21/7/2017,4:55,5:05,6:23,12:37,16:00,18:43,19:57
203,22/7/2017,4:55,5:05,6:23,12:37,16:00,18:43,19:57
204,23/7/2017,4:56,5:06,6:23,12:37,16:00,18:43,19:57
205,24/7/2017,4:56,5:06,6:23,12:37,15:59,18:43,19:57
206,25/7/2017,4:56,5:06,6:23,12:37,15:59,18:43,19:57
207,26/7/2017,4:56,5:06,6:23,12:37,15:59,18:43,19:56
208,27/7/2017,4:56,5:06,6:23,12:37,15:59,18:43,19:56
209,28/7/2017,4:56,5:06,6:23,12:37,15:59,18:43,19:56
210,29/7/2017,4:57,5:07,6:23,12:37,15:58,18:43,19:56
211,30/7/2017,4:57,5:07,6:23,12:37,15:58,18:43,19:56
212,31/7/2017,4:57,5:07,6:23,12:36,15:58,18:43,19:55
213,1/8/2017,4:57,5:07,6:23,12:36,15:58,18:43,19:55
214,2/8/2017,4:57,5:07,6:23,12:36,15:57,18:42,19:55
215,3/8/2017,4:57,5:07,6:23,12:36,15:57,18:42,19:55
216,4/8/2017,4:57,5:07,6:23,12:36,15:57,18:42,19:54
217,5/8/2017,4:57,5:07,6:23,12:36,15:56,18:42,19:54
218,6/8/2017,4:58,5:08,6:23,12:36,15:56,18:42,19:54
219,7/8/2017,4:58,5:08,6:23,12:36,15:55,18:42,19:54
220,8/8/2017,4:58,5:08,6:23,12:36,15:55,18:41,19:53
221,9/8/2017,4:58,5:08,6:23,12:36,15:55,18:41,19:53
222,10/8/2017,4:58,5:08,6:23,12:35,15:54,18:41,19:53
223,11/8/2017,4:58,5:08,6:23,12:35,15:54,18:41,19:52
224,12/8/2017,4:58,5:08,6:23,12:35,15:53,18:41,19:52
225,13/8/2017,4:58,5:08,6:22,12:35,15:53,18:40,19:52
226,14/8/2017,4:58,5:08,6:22,12:35,15:52,18:40,19:51
227,15/8/2017,4:58,5:08,6:22,12:35,15:51,18:40,19:51
228,16/8/2017,4:58,5:08,6:22,12:34,15:51,18:40,19:50
229,17/8/2017,4:58,5:08,6:22,12:34,15:50,18:39,19:50
230,18/8/2017,4:58,5:08,6:22,12:34,15:50,18:39,19:50
231,19/8/2017,4:58,5:08,6:22,12:34,15:49,18:39,19:49
232,20/8/2017,4:58,5:08,6:21,12:33,15:48,18:38,19:49
233,21/8/2017,4:58,5:08,6:21,12:33,15:48,18:38,19:48
234,22/8/2017,4:58,5:08,6:21,12:33,15:47,18:38,19:48
235,23/8/2017,4:57,5:07,6:21,12:33,15:46,18:37,19:48
236,24/8/2017,4:57,5:07,6:21,12:32,15:45,18:37,19:47
237,25/8/2017,4:57,5:07,6:21,12:32,15:45,18:37,19:47
238,26/8/2017,4:57,5:07,6:20,12:32,15:44,18:36,19:46
239,27/8/2017,4:57,5:07,6:20,12:32,15:43,18:36,19:46
240,28/8/2017,4:57,5:07,6:20,12:31,15:42,18:36,19:45
241,29/8/2017,4:57,5:07,6:20,12:31,15:41,18:35,19:45
242,30/8/2017,4:57,5:07,6:19,12:31,15:41,18:35,19:45
243,31/8/2017,4:56,5:06,6:19,12:30,15:40,18:34,19:44
244,1/9/2017,4:56,5:06,6:19,12:30,15:39,18:34,19:44
245,2/9/2017,4:56,5:06,6:19,12:30,15:38,18:34,19:43
246,3/9/2017,4:56,5:06,6:19,12:29,15:37,18:33,19:43
247,4/9/2017,4:56,5:06,6:18,12:29,15:36,18:33,19:42
248,5/9/2017,4:56,5:06,6:18,12:29,15:35,18:32,19:42
249,6/9/2017,4:55,5:05,6:18,12:28,15:34,18:32,19:41
250,7/9/2017,4:55,5:05,6:17,12:28,15:33,18:32,19:41
251,8/9/2017,4:55,5:05,6:17,12:28,15:32,18:31,19:40
252,9/9/2017,4:55,5:05,6:17,12:27,15:31,18:31,19:40
253,10/9/2017,4:55,5:05,6:17,12:27,15:30,18:30,19:39
254,11/9/2017,4:54,5:04,6:16,12:27,15:29,18:30,19:39
255,12/9/2017,4:54,5:04,6:16,12:26,15:28,18:29,19:38
256,13/9/2017,4:54,5:04,6:16,12:26,15:27,18:29,19:38
257,14/9/2017,4:54,5:04,6:16,12:26,15:26,18:29,19:37
258,15/9/2017,4:53,5:03,6:15,12:25,15:25,18:28,19:37
259,16/9/2017,4:53,5:03,6:15,12:25,15:25,18:28,19:37
260,17/9/2017,4:53,5:03,6:15,12:25,15:25,18:27,19:36
261,18/9/2017,4:53,5:03,6:14,12:24,15:26,18:27,19:36
262,19/9/2017,4:52,5:02,6:14,12:24,15:26,18:26,19:35
263,20/9/2017,4:52,5:02,6:14,12:24,15:26,18:26,19:35
264,21/9/2017,4:52,5:02,6:14,12:23,15:27,18:26,19:34
265,22/9/2017,4:52,5:02,6:13,12:23,15:27,18:25,19:34
266,23/9/2017,4:51,5:01,6:13,12:22,15:27,18:25,19:33
267,24/9/2017,4:51,5:01,6:13,12:22,15:27,18:24,19:33
268,25/9/2017,4:51,5:01,6:13,12:22,15:28,18:24,19:33
269,26/9/2017,4:51,5:01,6:12,12:21,15:28,18:23,19:32
270,27/9/2017,4:50,5:00,6:12,12:21,15:28,18:23,19:32
271,28/9/2017,4:50,5:00,6:12,12:21,15:28,18:23,19:31
272,29/9/2017,4:50,5:00,6:12,12:20,15:29,18:22,19:31
273,30/9/2017,4:49,4:59,6:11,12:20,15:29,18:22,19:31
274,1/10/2017,4:49,4:59,6:11,12:20,15:29,18:21,19:30
275,2/10/2017,4:49,4:59,6:11,12:19,15:29,18:21,19:30
276,3/10/2017,4:49,4:59,6:11,12:19,15:29,18:21,19:29
277,4/10/2017,4:48,4:58,6:10,12:19,15:30,18:20,19:29
278,5/10/2017,4:48,4:58,6:10,12:18,15:30,18:20,19:29
279,6/10/2017,4:48,4:58,6:10,12:18,15:30,18:19,19:28
280,7/10/2017,4:48,4:58,6:10,12:18,15:30,18:19,19:28
281,8/10/2017,4:47,4:57,6:09,12:18,15:30,18:19,19:28
282,9/10/2017,4:47,4:57,6:09,12:17,15:30,18:18,19:27
283,10/10/2017,4:47,4:57,6:09,12:17,15:31,18:18,19:27
284,11/10/2017,4:47,4:57,6:09,12:17,15:31,18:18,19:27
285,12/10/2017,4:46,4:56,6:09,12:17,15:31,18:17,19:27
286,13/10/2017,4:46,4:56,6:08,12:16,15:31,18:17,19:26
287,14/10/2017,4:46,4:56,6:08,12:16,15:31,18:17,19:26
288,15/10/2017,4:46,4:56,6:08,12:16,15:31,18:16,19:26
289,16/10/2017,4:45,4:55,6:08,12:16,15:31,18:16,19:26
290,17/10/2017,4:45,4:55,6:08,12:15,15:32,18:16,19:25
291,18/10/2017,4:45,4:55,6:08,12:15,15:32,18:16,19:25
292,19/10/2017,4:45,4:55,6:08,12:15,15:32,18:15,19:25
293,20/10/2017,4:45,4:55,6:08,12:15,15:32,18:15,19:25
294,21/10/2017,4:44,4:54,6:07,12:15,15:32,18:15,19:25
295,22/10/2017,4:44,4:54,6:07,12:15,15:32,18:15,19:25
296,23/10/2017,4:44,4:54,6:07,12:14,15:32,18:14,19:25
297,24/10/2017,4:44,4:54,6:07,12:14,15:32,18:14,19:24
298,25/10/2017,4:44,4:54,6:07,12:14,15:33,18:14,19:24
299,26/10/2017,4:44,4:54,6:07,12:14,15:33,18:14,19:24
300,27/10/2017,4:43,4:53,6:07,12:14,15:33,18:14,19:24
301,28/10/2017,4:43,4:53,6:07,12:14,15:33,18:14,19:24
302,29/10/2017,4:43,4:53,6:07,12:14,15:33,18:13,19:24
303,30/10/2017,4:43,4:53,6:07,12:14,15:33,18:13,19:24
304,31/10/2017,4:43,4:53,6:07,12:14,15:33,18:13,19:24
305,1/11/2017,4:43,4:53,6:07,12:14,15:34,18:13,19:24
306,2/11/2017,4:43,4:53,6:07,12:14,15:34,18:13,19:24
307,3/11/2017,4:43,4:53,6:07,12:14,15:34,18:13,19:24
308,4/11/2017,4:43,4:53,6:07,12:14,15:34,18:13,19:24
309,5/11/2017,4:43,4:53,6:07,12:14,15:34,18:13,19:24
310,6/11/2017,4:43,4:53,6:08,12:14,15:35,18:13,19:24
311,7/11/2017,4:43,4:53,6:08,12:14,15:35,18:13,19:24
312,8/11/2017,4:43,4:53,6:08,12:14,15:35,18:13,19:25
313,9/11/2017,4:43,4:53,6:08,12:14,15:35,18:13,19:25
314,10/11/2017,4:43,4:53,6:08,12:14,15:35,18:13,19:25
315,11/11/2017,4:43,4:53,6:08,12:14,15:36,18:13,19:25
316,12/11/2017,4:43,4:53,6:08,12:14,15:36,18:13,19:25
317,13/11/2017,4:43,4:53,6:09,12:14,15:36,18:13,19:25
318,14/11/2017,4:43,4:53,6:09,12:15,15:36,18:13,19:26
319,15/11/2017,4:43,4:53,6:09,12:15,15:37,18:13,19:26
320,16/11/2017,4:43,4:53,6:09,12:15,15:37,18:13,19:26
321,17/11/2017,4:43,4:53,6:09,12:15,15:37,18:14,19:26
322,18/11/2017,4:43,4:53,6:10,12:15,15:37,18:14,19:26
323,19/11/2017,4:44,4:54,6:10,12:16,15:38,18:14,19:27
324,20/11/2017,4:44,4:54,6:10,12:16,15:38,18:14,19:27
325,21/11/2017,4:44,4:54,6:11,12:16,15:38,18:14,19:27
326,22/11/2017,4:44,4:54,6:11,12:16,15:39,18:14,19:28
327,23/11/2017,4:44,4:54,6:11,12:17,15:39,18:15,19:28
328,24/11/2017,4:45,4:55,6:11,12:17,15:39,18:15,19:28
329,25/11/2017,4:45,4:55,6:12,12:17,15:40,18:15,19:29
330,26/11/2017,4:45,4:55,6:12,12:17,15:40,18:15,19:29
331,27/11/2017,4:45,4:55,6:13,12:18,15:40,18:16,19:29
332,28/11/2017,4:46,4:56,6:13,12:18,15:41,18:16,19:30
333,29/11/2017,4:46,4:56,6:13,12:18,15:41,18:16,19:30
334,30/11/2017,4:46,4:56,6:14,12:19,15:42,18:17,19:31
335,1/12/2017,4:46,4:56,6:14,12:19,15:42,18:17,19:31
336,2/12/2017,4:47,4:57,6:15,12:20,15:42,18:17,19:32
337,3/12/2017,4:47,4:57,6:15,12:20,15:43,18:18,19:32
338,4/12/2017,4:47,4:57,6:15,12:20,15:43,18:18,19:32
339,5/12/2017,4:48,4:58,6:16,12:21,15:44,18:19,19:33
340,6/12/2017,4:48,4:58,6:16,12:21,15:44,18:19,19:33
341,7/12/2017,4:49,4:59,6:17,12:22,15:45,18:19,19:34
342,8/12/2017,4:49,4:59,6:17,12:22,15:45,18:20,19:34
343,9/12/2017,4:49,4:59,6:18,12:22,15:45,18:20,19:35
344,10/12/2017,4:50,5:00,6:18,12:23,15:46,18:21,19:35
345,11/12/2017,4:50,5:00,6:19,12:23,15:46,18:21,19:36
346,12/12/2017,4:51,5:01,6:19,12:24,15:47,18:21,19:36
347,13/12/2017,4:51,5:01,6:20,12:24,15:47,18:22,19:37
348,14/12/2017,4:51,5:01,6:20,12:25,15:48,18:22,19:37
349,15/12/2017,4:52,5:02,6:20,12:25,15:48,18:23,19:38
350,16/12/2017,4:52,5:02,6:21,12:26,15:49,18:23,19:38
351,17/12/2017,4:53,5:03,6:21,12:26,15:49,18:24,19:39
352,18/12/2017,4:53,5:03,6:22,12:27,15:50,18:24,19:39
353,19/12/2017,4:54,5:04,6:22,12:27,15:50,18:25,19:40
354,20/12/2017,4:54,5:04,6:23,12:28,15:51,18:25,19:40
355,21/12/2017,4:55,5:05,6:23,12:28,15:51,18:26,19:41
356,22/12/2017,4:55,5:05,6:24,12:29,15:52,18:26,19:41
357,23/12/2017,4:56,5:06,6:24,12:29,15:52,18:27,19:42
358,24/12/2017,4:56,5:06,6:25,12:30,15:53,18:27,19:42
359,25/12/2017,4:57,5:07,6:25,12:30,15:53,18:28,19:43
360,26/12/2017,4:57,5:07,6:26,12:31,15:54,18:28,19:43
361,27/12/2017,4:58,5:08,6:26,12:31,15:54,18:29,19:44
362,28/12/2017,4:58,5:08,6:27,12:32,15:55,18:29,19:44
363,29/12/2017,4:59,5:09,6:27,12:32,15:55,18:30,19:45
364,30/12/2017,4:59,5:09,6:28,12:33,15:56,18:30,19:45
365,31/12/2017,5:00,5:10,6:28,12:33,15:56,18:31,19:45
