,,,,,,,,
,,,,,,,,
"  Zon : Ipoh, Batu Gajah, Kampar, Sg. Siput dan Kuala Kangsar",,,,,,,,
42,11/2/2017,6:04,6:14,7:29,13:33,16:53,19:31,20:42
43,12/2/2017,6:04,6:14,7:29,13:33,16:53,19:31,20:42
44,13/2/2017,6:04,6:14,7:29,13:33,16:53,19:31,20:42
45,14/2/2017,6:04,6:14,7:29,13:33,16:52,19:31,20:42
46,15/2/2017,6:04,6:14,7:29,13:33,16:52,19:31,20:42
47,16/2/2017,6:04,6:14,7:28,13:33,16:52,19:31,20:42
48,17/2/2017,6:04,6:14,7:28,13:33,16:52,19:31,20:41
49,18/2/2017,6:03,6:13,7:28,13:33,16:51,19:31,20:41
50,19/2/2017,6:03,6:13,7:28,13:33,16:51,19:31,20:41
51,20/2/2017,6:03,6:13,7:28,13:32,16:51,19:31,20:41
52,21/2/2017,6:03,6:13,7:27,13:32,16:50,19:31,20:41
53,22/2/2017,6:03,6:13,7:27,13:32,16:50,19:31,20:41
54,23/2/2017,6:03,6:13,7:27,13:32,16:49,19:31,20:41
55,24/2/2017,6:03,6:13,7:27,13:32,16:49,19:31,20:41
56,25/2/2017,6:02,6:12,7:26,13:32,16:48,19:31,20:41
57,26/2/2017,6:02,6:12,7:26,13:32,16:48,19:31,20:41
58,27/2/2017,6:02,6:12,7:26,13:31,16:48,19:31,20:41
59,28/2/2017,6:02,6:12,7:25,13:31,16:47,19:31,20:40
60,1/3/2017,6:01,6:11,7:25,13:31,16:46,19:31,20:40
61,2/3/2017,6:01,6:11,7:25,13:31,16:46,19:31,20:40
62,3/3/2017,6:01,6:11,7:24,13:31,16:45,19:31,20:40
63,4/3/2017,6:01,6:11,7:24,13:30,16:45,19:31,20:40
64,5/3/2017,6:00,6:10,7:24,13:30,16:44,19:31,20:40
65,6/3/2017,6:00,6:10,7:23,13:30,16:43,19:30,20:40
66,7/3/2017,6:00,6:10,7:23,13:30,16:43,19:30,20:39
67,8/3/2017,5:59,6:09,7:22,13:30,16:42,19:30,20:39
68,9/3/2017,5:59,6:09,7:22,13:29,16:41,19:30,20:39
69,10/3/2017,5:59,6:09,7:22,13:29,16:41,19:30,20:39
70,11/3/2017,5:58,6:08,7:21,13:29,16:40,19:30,20:39
71,12/3/2017,5:58,6:08,7:21,13:28,16:39,19:30,20:39
72,13/3/2017,5:57,6:07,7:20,13:28,16:39,19:30,20:38
73,14/3/2017,5:57,6:07,7:20,13:28,16:38,19:29,20:38
74,15/3/2017,5:57,6:07,7:20,13:28,16:37,19:29,20:38
75,16/3/2017,5:56,6:06,7:19,13:27,16:36,19:29,20:38
76,17/3/2017,5:56,6:06,7:19,13:27,16:35,19:29,20:38
77,18/3/2017,5:55,6:05,7:18,13:27,16:35,19:29,20:38
78,19/3/2017,5:55,6:05,7:18,13:26,16:34,19:29,20:37
79,20/3/2017,5:55,6:05,7:18,13:26,16:33,19:28,20:37
80,21/3/2017,5:54,6:04,7:17,13:26,16:32,19:28,20:37
81,22/3/2017,5:54,6:04,7:17,13:26,16:31,19:28,20:37
82,23/3/2017,5:53,6:03,7:16,13:25,16:30,19:28,20:37
83,24/3/2017,5:53,6:03,7:16,13:25,16:29,19:28,20:37
84,25/3/2017,5:52,6:02,7:15,13:25,16:28,19:28,20:36
85,26/3/2017,5:52,6:02,7:15,13:24,16:28,19:27,20:36
86,27/3/2017,5:51,6:01,7:14,13:24,16:27,19:27,20:36
87,28/3/2017,5:51,6:01,7:14,13:24,16:26,19:27,20:36
88,29/3/2017,5:51,6:01,7:14,13:23,16:25,19:27,20:36
89,30/3/2017,5:50,6:00,7:13,13:23,16:24,19:27,20:36
90,31/3/2017,5:50,6:00,7:13,13:23,16:23,19:26,20:36
91,1/4/2017,5:49,5:59,7:12,13:23,16:22,19:26,20:36
92,2/4/2017,5:49,5:59,7:12,13:22,16:23,19:26,20:35
93,3/4/2017,5:48,5:58,7:11,13:22,16:23,19:26,20:35
94,4/4/2017,5:48,5:58,7:11,13:22,16:24,19:26,20:35
95,5/4/2017,5:47,5:57,7:11,13:21,16:24,19:26,20:35
96,6/4/2017,5:47,5:57,7:10,13:21,16:25,19:25,20:35
97,7/4/2017,5:46,5:56,7:10,13:21,16:25,19:25,20:35
98,8/4/2017,5:46,5:56,7:09,13:21,16:26,19:25,20:35
99,9/4/2017,5:45,5:55,7:09,13:20,16:26,19:25,20:35
100,10/4/2017,5:45,5:55,7:09,13:20,16:26,19:25,20:35
101,11/4/2017,5:44,5:54,7:08,13:20,16:27,19:25,20:35
102,12/4/2017,5:44,5:54,7:08,13:20,16:27,19:25,20:34
103,13/4/2017,5:43,5:53,7:07,13:19,16:28,19:24,20:34
104,14/4/2017,5:43,5:53,7:07,13:19,16:28,19:24,20:34
105,15/4/2017,5:43,5:53,7:07,13:19,16:28,19:24,20:34
106,16/4/2017,5:42,5:52,7:06,13:19,16:29,19:24,20:34
107,17/4/2017,5:42,5:52,7:06,13:18,16:29,19:24,20:34
108,18/4/2017,5:41,5:51,7:06,13:18,16:29,19:24,20:34
109,19/4/2017,5:41,5:51,7:05,13:18,16:30,19:24,20:34
110,20/4/2017,5:40,5:50,7:05,13:18,16:30,19:24,20:34
111,21/4/2017,5:40,5:50,7:05,13:17,16:30,19:24,20:34
112,22/4/2017,5:39,5:49,7:04,13:17,16:31,19:23,20:34
113,23/4/2017,5:39,5:49,7:04,13:17,16:31,19:23,20:34
114,24/4/2017,5:39,5:49,7:04,13:17,16:31,19:23,20:34
115,25/4/2017,5:38,5:48,7:03,13:17,16:31,19:23,20:34
116,26/4/2017,5:38,5:48,7:03,13:17,16:32,19:23,20:34
117,27/4/2017,5:37,5:47,7:03,13:16,16:32,19:23,20:35
118,28/4/2017,5:37,5:47,7:03,13:16,16:32,19:23,20:35
119,29/4/2017,5:37,5:47,7:02,13:16,16:33,19:23,20:35
120,30/4/2017,5:36,5:46,7:02,13:16,16:33,19:23,20:35
121,1/5/2017,5:36,5:46,7:02,13:16,16:33,19:23,20:35
122,2/5/2017,5:36,5:46,7:02,13:16,16:33,19:23,20:35
123,3/5/2017,5:35,5:45,7:01,13:16,16:34,19:23,20:35
124,4/5/2017,5:35,5:45,7:01,13:16,16:34,19:23,20:35
125,5/5/2017,5:35,5:45,7:01,13:15,16:34,19:23,20:35
126,6/5/2017,5:34,5:44,7:01,13:15,16:34,19:23,20:36
127,7/5/2017,5:34,5:44,7:01,13:15,16:35,19:23,20:36
128,8/5/2017,5:34,5:44,7:00,13:15,16:35,19:23,20:36
129,9/5/2017,5:34,5:44,7:00,13:15,16:35,19:23,20:36
130,10/5/2017,5:33,5:43,7:00,13:15,16:36,19:23,20:36
131,11/5/2017,5:33,5:43,7:00,13:15,16:36,19:23,20:36
132,12/5/2017,5:33,5:43,7:00,13:15,16:36,19:23,20:37
133,13/5/2017,5:33,5:43,7:00,13:15,16:36,19:24,20:37
134,14/5/2017,5:32,5:42,7:00,13:15,16:37,19:24,20:37
135,15/5/2017,5:32,5:42,7:00,13:15,16:37,19:24,20:37
136,16/5/2017,5:32,5:42,7:00,13:15,16:37,19:24,20:37
137,17/5/2017,5:32,5:42,7:00,13:15,16:37,19:24,20:38
138,18/5/2017,5:32,5:42,7:00,13:15,16:38,19:24,20:38
139,19/5/2017,5:31,5:41,6:59,13:15,16:38,19:24,20:38
140,20/5/2017,5:31,5:41,6:59,13:15,16:38,19:24,20:38
141,21/5/2017,5:31,5:41,6:59,13:15,16:38,19:25,20:39
142,22/5/2017,5:31,5:41,6:59,13:15,16:39,19:25,20:39
143,23/5/2017,5:31,5:41,6:59,13:15,16:39,19:25,20:39
144,24/5/2017,5:31,5:41,6:59,13:16,16:39,19:25,20:40
145,25/5/2017,5:31,5:41,7:00,13:16,16:40,19:25,20:40
146,26/5/2017,5:31,5:41,7:00,13:16,16:40,19:25,20:40
147,27/5/2017,5:31,5:41,7:00,13:16,16:40,19:26,20:40
148,28/5/2017,5:31,5:41,7:00,13:16,16:40,19:26,20:41
149,29/5/2017,5:31,5:41,7:00,13:16,16:41,19:26,20:41
150,30/5/2017,5:31,5:41,7:00,13:16,16:41,19:26,20:41
151,31/5/2017,5:31,5:41,7:00,13:16,16:41,19:26,20:41
152,1/6/2017,5:31,5:41,7:00,13:17,16:42,19:27,20:42
153,2/6/2017,5:31,5:41,7:00,13:17,16:42,19:27,20:42
154,3/6/2017,5:31,5:41,7:00,13:17,16:42,19:27,20:42
155,4/6/2017,5:31,5:41,7:00,13:17,16:42,19:27,20:43
156,5/6/2017,5:31,5:41,7:00,13:17,16:43,19:27,20:43
157,6/6/2017,5:31,5:41,7:01,13:17,16:43,19:28,20:43
158,7/6/2017,5:31,5:41,7:01,13:18,16:43,19:28,20:44
159,8/6/2017,5:31,5:41,7:01,13:18,16:43,19:28,20:44
160,9/6/2017,5:31,5:41,7:01,13:18,16:44,19:28,20:44
161,10/6/2017,5:31,5:41,7:01,13:18,16:44,19:29,20:44
162,11/6/2017,5:31,5:41,7:01,13:18,16:44,19:29,20:45
163,12/6/2017,5:32,5:42,7:02,13:19,16:45,19:29,20:45
164,13/6/2017,5:32,5:42,7:02,13:19,16:45,19:29,20:45
165,14/6/2017,5:32,5:42,7:02,13:19,16:45,19:30,20:45
166,15/6/2017,5:32,5:42,7:02,13:19,16:45,19:30,20:46
167,16/6/2017,5:32,5:42,7:02,13:19,16:46,19:30,20:46
168,17/6/2017,5:32,5:42,7:03,13:20,16:46,19:30,20:46
169,18/6/2017,5:33,5:43,7:03,13:20,16:46,19:30,20:46
170,19/6/2017,5:33,5:43,7:03,13:20,16:46,19:31,20:47
171,20/6/2017,5:33,5:43,7:03,13:20,16:47,19:31,20:47
172,21/6/2017,5:33,5:43,7:03,13:20,16:47,19:31,20:47
173,22/6/2017,5:33,5:43,7:04,13:21,16:47,19:31,20:47
174,23/6/2017,5:34,5:44,7:04,13:21,16:47,19:32,20:48
175,24/6/2017,5:34,5:44,7:04,13:21,16:47,19:32,20:48
176,25/6/2017,5:34,5:44,7:04,13:21,16:48,19:32,20:48
177,26/6/2017,5:34,5:44,7:05,13:22,16:48,19:32,20:48
178,27/6/2017,5:35,5:45,7:05,13:22,16:48,19:32,20:48
179,28/6/2017,5:35,5:45,7:05,13:22,16:48,19:33,20:48
180,29/6/2017,5:35,5:45,7:05,13:22,16:48,19:33,20:49
181,30/6/2017,5:35,5:45,7:05,13:22,16:48,19:33,20:49
182,1/7/2017,5:36,5:46,7:06,13:23,16:49,19:33,20:49
183,2/7/2017,5:36,5:46,7:06,13:23,16:49,19:33,20:49
184,3/7/2017,5:36,5:46,7:06,13:23,16:49,19:33,20:49
185,4/7/2017,5:37,5:47,7:06,13:23,16:49,19:33,20:49
186,5/7/2017,5:37,5:47,7:07,13:23,16:49,19:34,20:49
187,6/7/2017,5:37,5:47,7:07,13:23,16:49,19:34,20:49
188,7/7/2017,5:37,5:47,7:07,13:24,16:49,19:34,20:49
189,8/7/2017,5:38,5:48,7:07,13:24,16:49,19:34,20:49
190,9/7/2017,5:38,5:48,7:07,13:24,16:49,19:34,20:49
191,10/7/2017,5:38,5:48,7:08,13:24,16:49,19:34,20:49
192,11/7/2017,5:38,5:48,7:08,13:24,16:49,19:34,20:49
193,12/7/2017,5:39,5:49,7:08,13:24,16:49,19:34,20:49
194,13/7/2017,5:39,5:49,7:08,13:24,16:49,19:34,20:49
195,14/7/2017,5:39,5:49,7:08,13:25,16:49,19:34,20:49
196,15/7/2017,5:40,5:50,7:08,13:25,16:49,19:34,20:49
197,16/7/2017,5:40,5:50,7:09,13:25,16:49,19:34,20:49
198,17/7/2017,5:40,5:50,7:09,13:25,16:49,19:34,20:49
199,18/7/2017,5:40,5:50,7:09,13:25,16:49,19:34,20:49
200,19/7/2017,5:41,5:51,7:09,13:25,16:49,19:34,20:49
201,20/7/2017,5:41,5:51,7:09,13:25,16:49,19:34,20:49
202,21/7/2017,5:41,5:51,7:09,13:25,16:49,19:34,20:49
203,22/7/2017,5:41,5:51,7:09,13:25,16:48,19:34,20:48
204,23/7/2017,5:41,5:51,7:10,13:25,16:48,19:34,20:48
205,24/7/2017,5:42,5:52,7:10,13:25,16:48,19:34,20:48
206,25/7/2017,5:42,5:52,7:10,13:25,16:48,19:34,20:48
207,26/7/2017,5:42,5:52,7:10,13:25,16:48,19:34,20:48
208,27/7/2017,5:42,5:52,7:10,13:25,16:47,19:34,20:48
209,28/7/2017,5:43,5:53,7:10,13:25,16:47,19:34,20:47
210,29/7/2017,5:43,5:53,7:10,13:25,16:47,19:34,20:47
211,30/7/2017,5:43,5:53,7:10,13:25,16:46,19:34,20:47
212,31/7/2017,5:43,5:53,7:10,13:25,16:46,19:33,20:47
213,1/8/2017,5:43,5:53,7:10,13:25,16:46,19:33,20:46
214,2/8/2017,5:43,5:53,7:10,13:25,16:45,19:33,20:46
215,3/8/2017,5:44,5:54,7:10,13:25,16:45,19:33,20:46
216,4/8/2017,5:44,5:54,7:10,13:25,16:45,19:33,20:45
217,5/8/2017,5:44,5:54,7:10,13:25,16:44,19:33,20:45
218,6/8/2017,5:44,5:54,7:10,13:25,16:44,19:32,20:45
219,7/8/2017,5:44,5:54,7:10,13:24,16:43,19:32,20:44
220,8/8/2017,5:44,5:54,7:10,13:24,16:43,19:32,20:44
221,9/8/2017,5:44,5:54,7:10,13:24,16:42,19:32,20:44
222,10/8/2017,5:44,5:54,7:10,13:24,16:42,19:31,20:43
223,11/8/2017,5:44,5:54,7:10,13:24,16:41,19:31,20:43
224,12/8/2017,5:44,5:54,7:10,13:24,16:41,19:31,20:43
225,13/8/2017,5:44,5:54,7:10,13:24,16:40,19:31,20:42
226,14/8/2017,5:44,5:54,7:10,13:23,16:39,19:30,20:42
227,15/8/2017,5:45,5:55,7:10,13:23,16:39,19:30,20:41
228,16/8/2017,5:45,5:55,7:10,13:23,16:38,19:30,20:41
229,17/8/2017,5:45,5:55,7:10,13:23,16:37,19:29,20:40
230,18/8/2017,5:45,5:55,7:09,13:23,16:37,19:29,20:40
231,19/8/2017,5:45,5:55,7:09,13:22,16:36,19:29,20:40
232,20/8/2017,5:45,5:55,7:09,13:22,16:35,19:28,20:39
233,21/8/2017,5:45,5:55,7:09,13:22,16:35,19:28,20:39
234,22/8/2017,5:44,5:54,7:09,13:22,16:34,19:28,20:38
235,23/8/2017,5:44,5:54,7:09,13:21,16:33,19:27,20:38
236,24/8/2017,5:44,5:54,7:09,13:21,16:32,19:27,20:37
237,25/8/2017,5:44,5:54,7:09,13:21,16:31,19:26,20:37
238,26/8/2017,5:44,5:54,7:08,13:21,16:30,19:26,20:36
239,27/8/2017,5:44,5:54,7:08,13:20,16:30,19:26,20:36
240,28/8/2017,5:44,5:54,7:08,13:20,16:29,19:25,20:35
241,29/8/2017,5:44,5:54,7:08,13:20,16:28,19:25,20:35
242,30/8/2017,5:44,5:54,7:08,13:19,16:27,19:24,20:34
243,31/8/2017,5:44,5:54,7:08,13:19,16:26,19:24,20:34
244,1/9/2017,5:44,5:54,7:07,13:19,16:25,19:24,20:33
245,2/9/2017,5:44,5:54,7:07,13:18,16:24,19:23,20:33
246,3/9/2017,5:43,5:53,7:07,13:18,16:23,19:23,20:32
247,4/9/2017,5:43,5:53,7:07,13:18,16:22,19:22,20:32
248,5/9/2017,5:43,5:53,7:07,13:17,16:21,19:22,20:31
249,6/9/2017,5:43,5:53,7:06,13:17,16:20,19:21,20:31
250,7/9/2017,5:43,5:53,7:06,13:17,16:19,19:21,20:30
251,8/9/2017,5:43,5:53,7:06,13:16,16:17,19:20,20:30
252,9/9/2017,5:43,5:53,7:06,13:16,16:16,19:20,20:29
253,10/9/2017,5:42,5:52,7:05,13:16,16:15,19:19,20:29
254,11/9/2017,5:42,5:52,7:05,13:15,16:15,19:19,20:28
255,12/9/2017,5:42,5:52,7:05,13:15,16:15,19:18,20:28
256,13/9/2017,5:42,5:52,7:05,13:15,16:16,19:18,20:27
257,14/9/2017,5:42,5:52,7:05,13:14,16:16,19:17,20:27
258,15/9/2017,5:41,5:51,7:04,13:14,16:16,19:17,20:26
259,16/9/2017,5:41,5:51,7:04,13:14,16:17,19:17,20:26
260,17/9/2017,5:41,5:51,7:04,13:13,16:17,19:16,20:25
261,18/9/2017,5:41,5:51,7:04,13:13,16:17,19:16,20:25
262,19/9/2017,5:41,5:51,7:03,13:13,16:17,19:15,20:24
263,20/9/2017,5:40,5:50,7:03,13:12,16:18,19:15,20:24
264,21/9/2017,5:40,5:50,7:03,13:12,16:18,19:14,20:23
265,22/9/2017,5:40,5:50,7:03,13:11,16:18,19:14,20:23
266,23/9/2017,5:40,5:50,7:03,13:11,16:18,19:13,20:22
267,24/9/2017,5:39,5:49,7:02,13:11,16:18,19:13,20:22
268,25/9/2017,5:39,5:49,7:02,13:10,16:18,19:12,20:21
269,26/9/2017,5:39,5:49,7:02,13:10,16:19,19:12,20:21
270,27/9/2017,5:39,5:49,7:02,13:10,16:19,19:11,20:20
271,28/9/2017,5:39,5:49,7:02,13:09,16:19,19:11,20:20
272,29/9/2017,5:38,5:48,7:01,13:09,16:19,19:10,20:19
273,30/9/2017,5:38,5:48,7:01,13:09,16:19,19:10,20:19
274,1/10/2017,5:38,5:48,7:01,13:08,16:19,19:10,20:18
275,2/10/2017,5:38,5:48,7:01,13:08,16:19,19:09,20:18
276,3/10/2017,5:37,5:47,7:01,13:08,16:20,19:09,20:18
277,4/10/2017,5:37,5:47,7:00,13:07,16:20,19:08,20:17
278,5/10/2017,5:37,5:47,7:00,13:07,16:20,19:08,20:17
279,6/10/2017,5:37,5:47,7:00,13:07,16:20,19:07,20:16
280,7/10/2017,5:37,5:47,7:00,13:07,16:20,19:07,20:16
281,8/10/2017,5:36,5:46,7:00,13:06,16:20,19:07,20:16
282,9/10/2017,5:36,5:46,7:00,13:06,16:20,19:06,20:15
283,10/10/2017,5:36,5:46,7:00,13:06,16:20,19:06,20:15
284,11/10/2017,5:36,5:46,6:59,13:05,16:20,19:05,20:15
285,12/10/2017,5:36,5:46,6:59,13:05,16:20,19:05,20:14
286,13/10/2017,5:35,5:45,6:59,13:05,16:20,19:05,20:14
287,14/10/2017,5:35,5:45,6:59,13:05,16:21,19:04,20:14
288,15/10/2017,5:35,5:45,6:59,13:05,16:21,19:04,20:14
289,16/10/2017,5:35,5:45,6:59,13:04,16:21,19:04,20:13
290,17/10/2017,5:35,5:45,6:59,13:04,16:21,19:03,20:13
291,18/10/2017,5:35,5:45,6:59,13:04,16:21,19:03,20:13
292,19/10/2017,5:34,5:44,6:59,13:04,16:21,19:03,20:13
293,20/10/2017,5:34,5:44,6:59,13:04,16:21,19:02,20:12
294,21/10/2017,5:34,5:44,6:59,13:03,16:21,19:02,20:12
295,22/10/2017,5:34,5:44,6:59,13:03,16:21,19:02,20:12
296,23/10/2017,5:34,5:44,6:59,13:03,16:21,19:02,20:12
297,24/10/2017,5:34,5:44,6:59,13:03,16:21,19:01,20:12
298,25/10/2017,5:34,5:44,6:59,13:03,16:21,19:01,20:12
299,26/10/2017,5:34,5:44,6:59,13:03,16:22,19:01,20:11
300,27/10/2017,5:33,5:43,6:59,13:03,16:22,19:01,20:11
301,28/10/2017,5:33,5:43,6:59,13:03,16:22,19:01,20:11
302,29/10/2017,5:33,5:43,6:59,13:02,16:22,19:00,20:11
303,30/10/2017,5:33,5:43,6:59,13:02,16:22,19:00,20:11
304,31/10/2017,5:33,5:43,6:59,13:02,16:22,19:00,20:11
305,1/11/2017,5:33,5:43,6:59,13:02,16:22,19:00,20:11
306,2/11/2017,5:33,5:43,6:59,13:02,16:22,19:00,20:11
307,3/11/2017,5:33,5:43,6:59,13:02,16:22,19:00,20:11
308,4/11/2017,5:33,5:43,6:59,13:02,16:23,19:00,20:11
309,5/11/2017,5:33,5:43,6:59,13:02,16:23,19:00,20:11
310,6/11/2017,5:33,5:43,6:59,13:02,16:23,19:00,20:11
311,7/11/2017,5:33,5:43,7:00,13:02,16:23,19:00,20:11
312,8/11/2017,5:33,5:43,7:00,13:02,16:23,18:59,20:11
313,9/11/2017,5:33,5:43,7:00,13:03,16:23,18:59,20:11
314,10/11/2017,5:33,5:43,7:00,13:03,16:24,18:59,20:11
315,11/11/2017,5:33,5:43,7:00,13:03,16:24,18:59,20:12
316,12/11/2017,5:34,5:44,7:01,13:03,16:24,19:00,20:12
317,13/11/2017,5:34,5:44,7:01,13:03,16:24,19:00,20:12
318,14/11/2017,5:34,5:44,7:01,13:03,16:25,19:00,20:12
319,15/11/2017,5:34,5:44,7:01,13:03,16:25,19:00,20:12
320,16/11/2017,5:34,5:44,7:02,13:03,16:25,19:00,20:12
321,17/11/2017,5:34,5:44,7:02,13:04,16:25,19:00,20:13
322,18/11/2017,5:35,5:45,7:02,13:04,16:26,19:00,20:13
323,19/11/2017,5:35,5:45,7:02,13:04,16:26,19:00,20:13
324,20/11/2017,5:35,5:45,7:03,13:04,16:26,19:00,20:13
325,21/11/2017,5:35,5:45,7:03,13:05,16:26,19:01,20:14
326,22/11/2017,5:35,5:45,7:03,13:05,16:27,19:01,20:14
327,23/11/2017,5:36,5:46,7:04,13:05,16:27,19:01,20:14
328,24/11/2017,5:36,5:46,7:04,13:05,16:27,19:01,20:15
329,25/11/2017,5:36,5:46,7:04,13:06,16:28,19:01,20:15
330,26/11/2017,5:36,5:46,7:05,13:06,16:28,19:02,20:15
331,27/11/2017,5:37,5:47,7:05,13:06,16:28,19:02,20:16
332,28/11/2017,5:37,5:47,7:06,13:07,16:29,19:02,20:16
333,29/11/2017,5:37,5:47,7:06,13:07,16:29,19:02,20:16
334,30/11/2017,5:38,5:48,7:06,13:07,16:30,19:03,20:17
335,1/12/2017,5:38,5:48,7:07,13:08,16:30,19:03,20:17
336,2/12/2017,5:38,5:48,7:07,13:08,16:30,19:03,20:18
337,3/12/2017,5:39,5:49,7:08,13:08,16:31,19:04,20:18
338,4/12/2017,5:39,5:49,7:08,13:09,16:31,19:04,20:18
339,5/12/2017,5:39,5:49,7:09,13:09,16:32,19:04,20:19
340,6/12/2017,5:40,5:50,7:09,13:10,16:32,19:05,20:19
341,7/12/2017,5:40,5:50,7:10,13:10,16:33,19:05,20:20
342,8/12/2017,5:41,5:51,7:10,13:11,16:33,19:06,20:20
343,9/12/2017,5:41,5:51,7:11,13:11,16:33,19:06,20:21
344,10/12/2017,5:42,5:52,7:11,13:11,16:34,19:06,20:21
345,11/12/2017,5:42,5:52,7:12,13:12,16:34,19:07,20:22
346,12/12/2017,5:42,5:52,7:12,13:12,16:35,19:07,20:22
347,13/12/2017,5:43,5:53,7:13,13:13,16:35,19:08,20:23
348,14/12/2017,5:43,5:53,7:13,13:13,16:36,19:08,20:23
349,15/12/2017,5:44,5:54,7:14,13:14,16:36,19:09,20:24
350,16/12/2017,5:44,5:54,7:14,13:14,16:37,19:09,20:24
351,17/12/2017,5:45,5:55,7:15,13:15,16:37,19:10,20:25
352,18/12/2017,5:45,5:55,7:15,13:15,16:38,19:10,20:25
353,19/12/2017,5:46,5:56,7:16,13:16,16:38,19:11,20:26
354,20/12/2017,5:46,5:56,7:16,13:16,16:39,19:11,20:26
355,21/12/2017,5:47,5:57,7:17,13:17,16:39,19:12,20:27
356,22/12/2017,5:47,5:57,7:17,13:17,16:40,19:12,20:27
357,23/12/2017,5:48,5:58,7:18,13:18,16:40,19:13,20:28
358,24/12/2017,5:48,5:58,7:18,13:18,16:41,19:13,20:28
359,25/12/2017,5:49,5:59,7:19,13:19,16:41,19:14,20:29
360,26/12/2017,5:49,5:59,7:19,13:19,16:42,19:14,20:29
361,27/12/2017,5:50,6:00,7:19,13:20,16:42,19:15,20:29
362,28/12/2017,5:50,6:00,7:20,13:20,16:43,19:15,20:30
363,29/12/2017,5:51,6:01,7:20,13:21,16:43,19:16,20:30
364,30/12/2017,5:51,6:01,7:21,13:21,16:44,19:16,20:31
365,31/12/2017,5:52,6:02,7:21,13:22,16:44,19:17,20:31
